player1,player2,odds1,odds2,event
Tommy Paul,Flavio Cobolli,1.58,2.30,ATP Cincinnati QF
Thiago Agustin Tirante,Arthur Fils,4.00,1.22,ATP Cincinnati QF
Amanda Anisimova,Jessica Pegula,2.10,1.69,WTA Cincinnati QF
Iga Swiatek,Elena Rybakina,1.58,2.30,WTA Cincinnati QF
Henrique Rocha,Hubert Hurkacz,4.50,1.15,Cancun CH R2
Vit Kopriva,Gauthier Onclin,1.63,2.10,Cancun CH R2
Alan Magadan,Coleman Wong,4.33,1.17,Cancun CH R2
Lloyd Harris,Pablo Llamas Ruiz,1.41,2.62,Cancun CH R2
Roman Safiullin,Stan Wawrinka,1.41,2.62,Cancun CH R2
Camilo Ugo Carabelli,Moez Echargui,1.27,3.40,Cancun CH R2
Moise Kouame,Roman Andres Burruchaga,2.20,1.58,Cancun CH R2
Sebastian Baez,Rodrigo Pacheco Mendez,1.41,2.62,Cancun CH R2
Jesper De Jong,Nicolai Budkov Kjaer,1.69,1.97,Quebec City CH R2
Rei Sakamoto,Luca Van Assche,2.20,1.58,Quebec City CH R2
Alexei Popyrin,Hugo Gaston,1.37,2.75,Quebec City CH R2
Stefanos Sakellaridis,Aleksandar Vukic,2.37,1.50,Quebec City CH R2
Benjamin Bonzi,Soonwoo Kwon,1.97,1.69,Quebec City CH R2
Jan Choinski,Taro Daniel,1.69,1.97,Quebec City CH R2
Zizou Bergs,Andrea Pellegrino,1.15,4.50,Quebec City CH R2
Jacob Fearnley,Alexis Galarneau,1.33,3.00,Quebec City CH R2
Daniil Glinka,Harold Mayot,2.25,1.54,Kingston CH QF
Valentin Royer,Gonzalo Bueno,1.13,4.50,Kingston CH QF
Juan Carlos Prado Angelo,Pedro Martinez,2.62,1.41,Kingston CH QF
Clement Chidekh,Lautaro Midon,1.37,2.75,Kingston CH QF
Maxim Mrva,Jan Kumstat,2.10,1.63,Prag CH QF
