tour,player,r16,qf,sf,f,w
atp,Alexander Zverev,87.9,81.4,72.2,55.5,39.2
atp,Alejandro Tabilo,12.1,7.7,4.0,1.3,0.3
atp,Luciano Darderi,89.5,10.8,4.5,1.1,0.2
atp,Dane Sweeny,10.5,0.2,0.0,0.0,0.0
atp,Michael Zheng,48.8,25.7,5.1,1.7,0.4
atp,Arthur Gea,51.2,27.6,5.7,1.9,0.5
atp,Zizou Bergs,47.6,21.6,3.9,1.1,0.3
atp,Botic Van De Zandschulp,52.4,25.0,4.7,1.5,0.4
atp,Karen Khachanov,55.7,14.6,4.7,1.0,0.2
atp,Benjamin Bonzi,44.3,9.6,2.6,0.5,0.1
atp,Jakub Mensik,46.9,35.0,19.2,7.3,3.3
atp,Learner Tien,53.1,40.7,23.4,9.5,4.6
atp,Taylor Fritz,61.5,38.5,21.9,8.8,4.2
atp,Francisco Cerundolo,38.5,19.7,9.1,2.8,1.0
atp,Alexander Blockx,36.9,12.5,4.7,1.2,0.3
atp,Flavio Cobolli,63.1,29.3,14.5,4.9,2.0
atp,Daniil Medvedev,77.7,47.7,34.3,17.4,7.9
atp,Arthur Rinderknech,22.3,7.2,3.1,0.7,0.2
atp,Valentin Vacherot,33.1,11.4,5.7,1.7,0.4
atp,Frances Tiafoe,66.9,33.8,22.6,10.1,4.0
atp,Alex Michelsen,53.9,37.7,15.4,5.4,1.7
atp,Daniel Merida Aguilar,46.1,30.7,11.5,3.6,1.0
atp,Tomas Martin Etcheverry,51.3,16.6,3.9,0.8,0.1
atp,Mariano Navone,48.7,15.1,3.4,0.6,0.1
atp,Ben Shelton,78.1,52.8,30.2,19.8,10.0
atp,Denis Shapovalov,21.9,8.2,2.3,0.8,0.2
atp,Jiri Lehecka,61.4,26.4,11.4,6.0,2.3
atp,Stefanos Tsitsipas,38.6,12.6,4.1,1.7,0.5
atp,Alexander Bublik,44.0,16.0,6.5,3.0,1.0
atp,Tommy Paul,56.0,23.4,10.8,5.7,2.2
atp,Yibing Wu,12.0,2.6,0.5,0.1,0.0
atp,Carlos Alcaraz,88.0,58.0,34.2,22.4,11.3
wta,Aryna Sabalenka,94.1,79.8,62.8,45.7,29.6
wta,Kamilla Rakhimova,5.9,1.6,0.3,0.1,0.0
wta,Taylor Townsend,39.4,6.0,2.1,0.6,0.1
wta,Diana Shnaider,60.6,12.6,5.6,2.1,0.6
wta,Marta Kostyuk,73.9,46.7,16.0,8.0,3.2
wta,Ekaterina Alexandrova,26.1,10.2,1.8,0.5,0.1
wta,Ann Li,25.3,6.5,0.9,0.2,0.0
wta,Linda Noskova,74.7,36.6,10.5,4.5,1.5
wta,Jessica Pegula,83.4,62.6,43.5,20.8,10.6
wta,Leylah Fernandez,16.6,6.4,2.1,0.4,0.1
wta,Jasmine Paolini,32.2,7.0,2.3,0.4,0.1
wta,Sorana Cirstea,67.8,24.0,11.9,3.5,1.1
wta,Elina Svitolina,67.7,52.6,26.6,10.5,4.4
wta,Anna Kalinskaya,32.3,20.1,6.9,1.7,0.5
wta,Emma Navarro,44.9,11.3,2.6,0.4,0.1
wta,Karolina Muchova,55.1,16.0,4.2,0.8,0.2
wta,Mirra Andreeva,74.3,46.4,19.3,7.2,2.6
wta,Nikola Bartunkova,25.7,9.6,2.0,0.4,0.1
wta,Anastasia Potapova,31.5,10.1,2.1,0.4,0.1
wta,Amanda Anisimova,68.5,33.9,12.0,3.8,1.1
wta,Iva Jovic,38.7,9.1,3.6,0.8,0.2
wta,Alexandra Eala,61.3,19.5,9.9,3.1,1.0
wta,Cristina Bucsa,8.6,2.0,0.4,0.0,0.0
wta,Coco Gauff,91.4,69.4,50.5,27.2,14.2
wta,Iga Swiatek,82.3,62.6,33.1,19.8,10.1
wta,Marie Bouzkova,17.7,7.3,1.5,0.4,0.1
wta,Madison Keys,64.3,21.9,6.9,2.6,0.8
wta,Qinwen Zheng,35.7,8.3,1.7,0.5,0.1
wta,Naomi Osaka,63.7,19.9,8.4,3.5,1.2
wta,Elise Mertens,36.3,7.8,2.4,0.7,0.2
wta,Yuliia Starodubtseva,6.6,1.3,0.2,0.0,0.0
wta,Elena Rybakina,93.4,71.0,45.7,29.4,16.3
