player,elo_overall,matches_played,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_carpet,matches_carpet
Sinner J.,2341.5,443,2301.6,287,2159.0,110,2137.3,46,1500.0,0
Alcaraz C.,2248.4,350,2184.3,193,2176.9,118,2146.7,39,1500.0,0
Barty A.,2179.4,268,2160.9,173,1958.1,53,1978.5,42,1500.0,0
Sabalenka A.,2177.2,542,2217.0,353,2044.5,128,1865.9,61,1500.0,0
Djokovic N.,2134.7,1019,2156.2,637,2010.9,269,2160.2,113,1500.0,0
Zverev A.,2102.0,744,2036.4,418,2062.3,247,1892.5,79,1500.0,0
Federer R.,2068.9,673,2097.1,448,1946.9,111,2053.9,114,1500.0,0
Rybakina E.,2068.4,422,2116.4,271,1967.3,98,1769.1,53,1500.0,0
Pegula J.,2065.2,422,2051.9,293,1868.6,84,1834.0,45,1500.0,0
Nadal R.,2053.9,794,2018.5,403,2129.6,332,1946.4,59,1500.0,0
Gauff C.,2047.3,379,2003.6,237,2032.0,102,1767.8,40,1500.0,0
Muchova K.,2042.0,267,2029.7,178,1870.8,54,1828.9,35,1500.0,0
Kostyuk M.,2031.4,263,1876.2,172,2007.5,62,1717.4,29,1500.0,0
Swiatek I.,2030.8,407,2010.1,239,2073.9,130,1893.2,38,1500.0,0
Noskova L.,2026.6,192,1864.4,120,1717.7,38,1936.9,34,1500.0,0
Andreeva M.,2026.2,178,1926.9,92,2080.1,69,1643.7,17,1500.0,0
Svitolina E.,2003.1,660,1952.7,437,2007.6,164,1705.8,59,1500.0,0
Li N.,2000.6,260,2075.2,167,1820.0,65,1748.0,28,1500.0,0
Fils A.,1996.7,160,1940.3,89,1957.7,58,1691.2,13,1500.0,0
Osaka N.,1984.2,373,1873.7,262,1825.7,69,1797.2,42,1500.0,0
Anisimova A.,1973.6,280,1965.0,173,1745.3,69,1827.6,38,1500.0,0
Mboko V.,1972.0,63,2046.9,47,1752.8,13,1472.8,3,1500.0,0
Keys M.,1966.9,573,1901.8,343,1874.0,146,1844.6,84,1500.0,0
Soderling R.,1962.2,118,1954.1,72,1932.5,38,1732.9,8,1500.0,0
Del Potro J.M.,1956.4,386,2003.2,285,1842.8,64,1796.4,37,1500.0,0
Fritz T.,1948.8,541,1892.9,364,1716.3,92,1922.6,85,1500.0,0
Bencic B.,1947.9,493,1913.2,318,1824.4,96,1784.1,79,1500.0,0
Auger-Aliassime F.,1946.5,448,1942.6,289,1788.6,103,1757.1,56,1500.0,0
Medvedev D.,1944.5,610,1983.5,437,1854.0,88,1817.4,85,1500.0,0
Jodar R.,1942.8,37,1614.7,11,1946.6,23,1547.7,3,1500.0,0
Draper J.,1934.3,172,1960.9,105,1819.7,35,1777.3,32,1500.0,0
Jovic I.,1930.6,69,1802.3,43,1731.0,17,1749.8,9,1500.0,0
Musetti L.,1927.1,308,1873.8,159,1945.5,120,1802.3,29,1500.0,0
Henin J.,1923.5,42,1852.1,23,1789.9,10,1760.5,9,1500.0,0
De Minaur A.,1923.2,473,1939.1,317,1845.3,89,1826.6,67,1500.0,0
Paul T.,1919.8,374,1867.7,249,1886.5,78,1780.1,47,1500.0,0
Halep S.,1917.9,649,1851.5,395,1935.3,190,1919.5,64,1500.0,0
Ruud C.,1904.8,445,1773.7,199,1969.7,233,1463.5,13,1500.0,0
Cirstea S.,1902.6,613,1872.1,378,1795.2,176,1516.0,59,1500.0,0
Krejcikova B.,1897.5,266,1882.1,157,1627.9,66,1784.1,43,1500.0,0
Lehecka J.,1897.3,216,1870.5,139,1786.3,48,1760.3,29,1500.0,0
Vondrousova M.,1895.8,271,1802.6,166,1812.7,73,1856.3,32,1500.0,0
Williams S.,1894.1,464,1982.9,292,1914.4,114,1914.6,58,1500.0,0
Tiafoe F.,1889.0,465,1834.2,310,1749.4,100,1774.1,55,1500.0,0
Cobolli F.,1888.4,170,1706.7,79,1892.2,69,1777.7,22,1500.0,0
Shelton B.,1883.9,221,1916.1,143,1735.7,47,1763.1,31,1500.0,0
Bautista R.,1882.2,223,1864.4,148,1746.9,56,1755.9,19,1500.0,0
Fonseca J.,1879.4,80,1899.4,28,1857.7,41,1584.2,11,1500.0,0
Rune H.,1877.3,270,1880.7,161,1889.1,88,1687.8,21,1500.0,0
Mensik J.,1875.9,124,1864.4,78,1895.1,30,1571.5,16,1500.0,0
Tien L.,1874.9,95,1895.2,64,1769.6,20,1561.1,11,1500.0,0
Rublev A.,1868.3,587,1794.4,397,1913.1,153,1688.8,37,1500.0,0
Paolini J.,1865.7,307,1829.6,180,1849.2,100,1790.6,27,1500.0,0
Kalinskaya A.,1864.2,258,1814.1,173,1789.9,56,1645.3,29,1500.0,0
Cerundolo F.,1862.2,272,1848.4,101,1813.2,148,1631.1,23,1500.0,0
Eala A.,1854.8,81,1807.4,46,1536.8,17,1773.7,18,1500.0,0
Mertens E.,1853.3,510,1773.9,316,1766.1,121,1768.4,73,1500.0,0
Korda S.,1853.1,259,1826.8,182,1708.1,52,1728.1,25,1500.0,0
Bublik A.,1851.5,375,1815.5,228,1729.3,81,1820.1,66,1500.0,0
Potapova A.,1851.0,295,1729.8,180,1906.0,89,1510.7,26,1500.0,0
Vacherot V.,1850.5,45,1832.3,28,1660.9,17,1500.0,0,1500.0,0
Fery A.,1849.8,19,1503.8,4,1500.0,0,1753.9,15,1500.0,0
Davidovich Fokina A.,1848.1,330,1794.7,192,1734.9,103,1766.4,35,1500.0,0
Kyrgios N.,1846.1,312,1822.2,210,1727.6,46,1796.5,56,1500.0,0
Raonic M.,1840.9,554,1835.3,378,1809.8,97,1793.5,79,1500.0,0
Zheng Q.,1840.9,211,1901.1,131,1879.0,59,1467.6,21,1500.0,0
Shnaider D.,1839.7,176,1767.6,102,1851.2,50,1601.4,24,1500.0,0
Pliskova Ka.,1838.9,666,1768.5,441,1777.6,135,1732.2,90,1500.0,0
Navarro E.,1838.6,191,1651.5,104,1733.2,49,1772.2,38,1500.0,0
Bouzkova M.,1838.3,296,1718.5,197,1750.3,61,1772.6,38,1500.0,0
Sharapova M.,1837.1,396,1813.5,235,2008.1,125,1740.0,36,1500.0,0
Chwalinska M.,1836.1,21,1546.7,6,1882.7,12,1472.6,3,1500.0,0
Baptiste H.,1828.9,117,1752.9,74,1748.6,39,1518.8,4,1500.0,0
Dimitrov G.,1827.3,777,1841.3,511,1723.9,181,1769.1,85,1500.0,0
Machac T.,1827.2,139,1791.5,93,1757.6,37,1549.9,9,1500.0,0
Collins D.,1823.9,284,1746.4,188,1882.2,78,1617.0,18,1500.0,0
Kartal S.,1819.7,55,1792.9,31,1546.5,7,1635.7,17,1500.0,0
Berrettini M.,1819.1,325,1788.8,160,1811.6,109,1863.8,56,1500.0,0
Wozniacki C.,1817.2,686,1815.9,497,1703.4,120,1778.2,69,1500.0,0
Merida Aguilar D.,1814.5,18,1468.9,1,1790.1,15,1530.4,2,1500.0,0
Pennetta F.,1813.3,289,1838.6,185,1664.6,81,1527.8,23,1500.0,0
Collignon R.,1812.7,40,1741.8,19,1708.0,15,1496.3,6,1500.0,0
Roddick A.,1811.8,147,1794.1,119,1369.4,6,1777.5,22,1500.0,0
Humbert U.,1809.4,336,1823.7,212,1551.2,59,1678.7,65,1500.0,0
Tsitsipas S.,1809.0,543,1766.5,323,1885.9,175,1584.0,45,1500.0,0
Ostapenko J.,1808.8,509,1721.1,306,1804.3,121,1748.3,82,1500.0,0
Hurkacz H.,1803.6,362,1742.1,233,1776.2,81,1766.6,48,1500.0,0
Bartunkova N.,1803.5,28,1664.8,16,1575.0,5,1646.5,7,1500.0,0
Dementieva E.,1803.1,58,1781.3,47,1726.6,11,1500.0,0,1500.0,0
Azarenka V.,1800.8,652,1805.1,439,1754.9,141,1673.0,72,1500.0,0
McNally C.,1796.7,56,1628.2,28,1683.9,13,1667.3,15,1500.0,0
Alexandrova E.,1795.2,428,1748.9,259,1679.2,102,1738.7,67,1500.0,0
Jabeur O.,1793.8,375,1762.3,221,1812.3,93,1753.3,61,1500.0,0
Raducanu E.,1793.2,164,1725.2,106,1656.7,26,1759.8,32,1500.0,0
Darderi L.,1790.7,151,1557.9,44,1868.0,93,1492.5,14,1500.0,0
Kerber A.,1790.5,691,1786.1,444,1713.3,144,1793.0,103,1500.0,0
Berdych T.,1790.5,596,1803.4,413,1782.5,122,1797.0,61,1500.0,0
Riske A.,1788.9,379,1795.6,237,1517.0,58,1688.6,84,1500.0,0
Podrez V.,1786.8,5,1500.0,0,1719.3,5,1500.0,0,1500.0,0
Bartoli M.,1784.7,247,1724.9,170,1577.2,44,1949.0,33,1500.0,0
Blockx A.,1784.3,28,1406.4,9,1790.7,17,1416.6,2,1500.0,0
Kvitova P.,1784.2,704,1798.3,468,1648.6,141,1837.6,95,1500.0,0
Badosa P.,1782.0,271,1764.3,151,1787.9,89,1655.5,31,1500.0,0
Nishikori K.,1781.9,607,1779.2,389,1799.2,158,1716.7,60,1500.0,0
Khachanov K.,1781.3,542,1759.0,344,1769.3,144,1716.1,54,1500.0,0
Cristian J.,1781.1,174,1776.0,109,1688.9,55,1388.9,10,1500.0,0
Konta J.,1780.0,297,1715.1,172,1735.9,53,1846.8,72,1500.0,0
Kontaveit A.,1777.8,345,1821.4,222,1754.7,87,1581.8,36,1500.0,0
Townsend T.,1774.7,153,1783.9,108,1547.5,36,1352.0,9,1500.0,0
Rinderknech A.,1774.7,230,1770.0,130,1667.3,66,1637.2,34,1500.0,0
Radwanska A.,1773.9,548,1747.9,401,1700.8,82,1787.0,65,1500.0,0
Nakashima B.,1773.0,259,1728.4,172,1641.0,46,1696.7,41,1500.0,0
Tirante T.A.,1772.2,51,1585.8,10,1784.5,40,1439.5,1,1500.0,0
Clijsters K.,1771.8,102,1782.2,80,1461.0,4,1755.2,18,1500.0,0
Borges N.,1770.9,177,1694.3,96,1748.5,57,1629.3,24,1500.0,0
Kudermetova V.,1770.3,349,1706.8,214,1710.1,91,1662.8,44,1500.0,0
Bergs Z.,1769.6,125,1726.4,75,1512.7,28,1650.2,22,1500.0,0
Muguruza G.,1768.1,476,1814.6,332,1729.4,94,1646.6,50,1500.0,0
Hampton J.,1765.9,82,1719.3,57,1668.2,15,1640.6,10,1500.0,0
Majchrzak K.,1765.5,101,1694.8,57,1470.4,25,1718.3,19,1500.0,0
Michelsen A.,1765.3,154,1812.9,100,1593.0,28,1584.2,26,1500.0,0
Norrie C.,1764.7,423,1755.7,253,1771.3,120,1670.7,50,1500.0,0
Goerges J.,1764.0,517,1759.3,321,1565.7,159,1799.7,37,1500.0,0
Bertens K.,1763.2,385,1810.2,203,1792.4,143,1622.0,39,1500.0,0
Sakkari M.,1762.8,462,1764.0,283,1727.5,123,1612.2,56,1500.0,0
Linette M.,1761.9,447,1701.0,290,1743.5,107,1544.8,50,1500.0,0
Molcan A.,1761.2,102,1645.3,35,1797.3,57,1504.0,10,1500.0,0
Stearns P.,1758.3,141,1680.3,88,1795.7,45,1331.9,8,1500.0,0
Kessler M.,1757.9,99,1750.5,68,1531.7,15,1661.0,16,1500.0,0
Cilic M.,1757.6,753,1747.1,474,1659.1,180,1806.4,99,1500.0,0
Vekic D.,1757.1,468,1670.6,297,1684.8,81,1721.5,90,1500.0,0
Sawangkaew M.,1756.7,16,1632.2,13,1500.0,0,1581.0,3,1500.0,0
Struff J.L.,1756.3,485,1593.9,256,1695.7,158,1762.0,71,1500.0,0
Brady J.,1755.9,145,1755.1,103,1629.2,30,1557.0,12,1500.0,0
Tabilo A.,1754.8,163,1676.2,70,1754.4,76,1548.6,17,1500.0,0
Cibulkova D.,1754.8,495,1753.9,342,1636.9,96,1741.3,57,1500.0,0
Siniakova K.,1754.0,467,1727.4,282,1570.4,123,1606.5,62,1500.0,0
Prizmic D.,1753.7,36,1516.1,10,1725.0,24,1522.5,2,1500.0,0
Kokkinakis T.,1752.5,165,1750.0,126,1611.5,26,1575.9,13,1500.0,0
Sierra S.,1750.3,36,1472.3,15,1744.9,12,1532.4,9,1500.0,0
Giorgi C.,1748.9,392,1727.1,226,1653.4,93,1660.9,73,1500.0,0
Safarova L.,1748.7,422,1727.4,262,1678.1,110,1726.2,50,1500.0,0
Thompson J.,1746.5,322,1740.2,207,1454.4,48,1685.1,67,1500.0,0
Boulter K.,1746.5,185,1740.3,106,1552.0,21,1679.2,58,1500.0,0
Ruse E.G.,1744.2,140,1576.1,66,1622.5,49,1677.0,25,1500.0,0
Zahlavova Strycova B.,1741.3,198,1694.0,125,1491.1,50,1759.2,23,1500.0,0
Parry D.,1741.2,127,1644.3,64,1680.0,45,1613.3,18,1500.0,0
Marozsan F.,1741.2,150,1719.5,88,1655.9,42,1579.6,20,1500.0,0
Munar J.,1740.9,293,1772.9,116,1612.3,152,1576.8,25,1500.0,0
Osorio M.,1740.3,187,1677.8,98,1714.7,70,1397.8,19,1500.0,0
Buse I.,1740.2,35,1418.3,2,1750.8,27,1541.5,6,1500.0,0
Zakopalova K.,1736.9,219,1692.5,134,1697.0,66,1664.2,19,1500.0,0
Krueger A.,1736.6,123,1685.2,87,1531.4,20,1623.4,16,1500.0,0
Carreno Busta P.,1735.9,402,1691.0,233,1731.6,150,1478.4,19,1500.0,0
Spizzirri E.,1733.4,22,1737.1,18,1465.9,1,1473.7,3,1500.0,0
Montgomery R.,1733.1,44,1535.1,22,1503.8,11,1776.4,11,1500.0,0
Tauson C.,1732.6,184,1749.6,130,1600.0,34,1546.0,20,1500.0,0
Pellegrino A.,1731.8,16,1500.0,0,1716.9,16,1500.0,0,1500.0,0
Dolgopolov O.,1731.4,410,1708.9,247,1711.7,120,1585.5,43,1500.0,0
Chung H.,1730.9,138,1707.1,106,1704.2,29,1435.9,3,1500.0,0
Fernandez L.A.,1730.5,255,1736.8,165,1651.4,60,1547.5,30,1500.0,0
Pavlyuchenkova A.,1730.1,685,1693.6,474,1660.3,158,1673.8,53,1500.0,0
Snigur D.,1730.0,32,1606.6,13,1599.1,5,1609.9,14,1500.0,0
Etcheverry T.,1729.7,218,1710.4,87,1735.7,114,1368.8,17,1500.0,0
Danilovic O.,1729.7,98,1635.2,44,1815.1,49,1442.1,5,1500.0,0
Cerundolo J.M.,1729.0,82,1595.5,18,1705.5,59,1504.6,5,1500.0,0
Sonmez Z.,1726.0,72,1652.0,41,1523.1,15,1593.2,16,1500.0,0
Samsonova L.,1725.8,297,1655.7,179,1693.6,68,1718.7,50,1500.0,0
