player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Adam Walton,28,9,19,0.33368365738307937,0.34622582657517154,0.11560693641618497,0.04203888596952181,0.2702479338842976,0.4444444444444444,0.16556291390728478,6.301324503311259,2.1026490066225167,74.5,91.75
Adolfo Daniel Vallejo,20,10,10,0.3825301204819277,0.38390611902766136,0.06400602409638555,0.03765060240963856,0.31137724550898205,0.5030425963488844,0.2621359223300971,6.446601941747573,2.466019417475728,80.5,115.45
Adrian Mannarino,40,14,26,0.3354838709677419,0.35684121621621623,0.11863799283154122,0.03261648745519713,0.24777282850779514,0.493963782696177,0.16923076923076924,6.131868131868132,2.057142857142857,58.5,75.1
Aleksandar Kovacevic,39,13,26,0.29796761970375474,0.32301255230125525,0.14467791939373062,0.03203582500861178,0.2174863387978142,0.43522833178005593,0.1037344398340249,6.022821576763485,1.7946058091286308,57.0,98.87179487179488
Aleksandar Vukic,28,10,18,0.31369339879978175,0.3255055446836269,0.12220403709765412,0.041462084015275506,0.23097112860892388,0.45072463768115945,0.1353135313531353,6.0495049504950495,1.8976897689768977,62.5,90.82142857142857
Alex Molcan,20,13,7,0.3940548780487805,0.40602836879432624,0.09527439024390244,0.04496951219512195,0.31227217496962334,0.5316973415132924,0.270935960591133,6.463054187192118,2.5467980295566504,58.0,60.85
Alexander Shevchenko,34,16,18,0.3340180772391126,0.33985102420856605,0.08340180772391126,0.03410024650780608,0.2506578947368421,0.47264770240700216,0.14173228346456693,6.388451443569553,2.1338582677165356,53.5,97.3529411764706
Arthur Gea,12,8,4,0.3845327604726101,0.3837072018890201,0.05477980665950591,0.03544575725026853,0.30659536541889487,0.5027027027027027,0.26573426573426573,6.510489510489511,2.5034965034965033,69.0,74.5
Botic Van De Zandschulp,44,21,23,0.36949152542372876,0.379948914431673,0.08192090395480225,0.03333333333333333,0.30074856891237345,0.49251379038613086,0.20517560073937152,6.543438077634011,2.4177449168207024,66.0,79.4090909090909
Camilo Ugo Carabelli,41,16,25,0.349233983286908,0.3583860759493671,0.08600278551532034,0.03377437325905292,0.28265642151481885,0.4647619047619047,0.17817371937639198,6.396436525612472,2.2338530066815143,66.0,76.1951219512195
Coleman Wong,19,10,9,0.3379446640316206,0.34787472035794187,0.08596837944664032,0.030632411067193676,0.27346278317152106,0.4390862944162437,0.1696969696969697,6.133333333333334,2.0727272727272728,65.0,130.1578947368421
Corentin Moutet,46,20,26,0.3799421407907425,0.38348495451364595,0.053680488588878174,0.027643844423015106,0.31859682844786164,0.503883495145631,0.2249488752556237,6.361963190184049,2.4171779141104293,63.0,78.46666666666667
Daniel Altmaier,49,20,29,0.3373530298462466,0.34518617913451866,0.07416340066324993,0.027132951462164608,0.2535211267605634,0.48778433024431345,0.1590909090909091,6.28219696969697,2.1193181818181817,53.0,65.12244897959184
Ethan Quinn,33,14,19,0.3327472527472527,0.3399089529590288,0.09362637362637363,0.03736263736263736,0.259393063583815,0.44668911335578,0.15977961432506887,6.267217630853994,2.0853994490358128,50.0,68.0909090909091
Fabian Marozsan,47,22,25,0.34688581314878897,0.3583115183246073,0.08765859284890427,0.031141868512110725,0.272975432211101,0.4748031496062992,0.17279411764705882,6.375,2.2113970588235294,48.0,62.97872340425532
Facundo Diaz Acosta,6,2,4,0.31487889273356406,0.32156862745098036,0.08650519031141868,0.031141868512110725,0.2432432432432432,0.4423076923076923,0.12244897959183673,5.8979591836734695,1.8571428571428572,127.5,120.16666666666667
Hamad Medjedovic,28,12,16,0.33517310587054694,0.3547619047619047,0.12092323130958355,0.03612644254892122,0.259567387687188,0.450063211125158,0.15873015873015872,6.326984126984127,2.1206349206349207,48.0,60.357142857142854
Hugo Gaston,14,5,9,0.3751743375174338,0.3704866562009419,0.06555090655509066,0.04602510460251046,0.2689655172413793,0.5390070921985816,0.22807017543859648,6.2894736842105265,2.3596491228070176,72.0,97.35714285714286
Jacob Fearnley,17,5,12,0.3514376996805112,0.3679417122040073,0.09424920127795527,0.02875399361022364,0.2781289506953224,0.47722342733188716,0.19072164948453607,6.453608247422681,2.268041237113402,56.0,64.52941176470588
Jaime Faria,22,12,10,0.35111411208642807,0.3585626911314985,0.08237677245104659,0.03443619176232275,0.27181208053691275,0.4718909710391823,0.19915254237288135,6.27542372881356,2.2033898305084745,58.5,63.5
James Duckworth,26,10,16,0.3267376966007103,0.339622641509434,0.1050228310502283,0.03450025367833587,0.24095394736842102,0.4649006622516556,0.12956810631229235,6.548172757475083,2.13953488372093,53.5,112.15384615384616
Jan Choinski,11,3,8,0.33753943217665616,0.36020151133501255,0.12828601472134596,0.03680336487907466,0.23893805309734517,0.4818652849740933,0.14864864864864866,6.425675675675675,2.168918918918919,64.0,97.18181818181819
Jaume Munar,39,18,21,0.3604465709728868,0.36003560302625726,0.06618819776714513,0.03787878787878788,0.28255372945638435,0.4935205183585313,0.18829516539440203,6.3816793893129775,2.300254452926209,43.5,68.45
Jenson Brooksby,38,16,22,0.36356435643564355,0.37295625276182054,0.07445544554455445,0.029306930693069305,0.2842486421243211,0.5149769585253456,0.20759493670886076,6.3924050632911396,2.3240506329113924,38.5,79.55263157894737
Jesper De Jong,25,9,16,0.33596554199569273,0.3499184339314845,0.09188801148600144,0.02799712849964106,0.24547511312217196,0.4931237721021611,0.1506849315068493,6.360730593607306,2.136986301369863,55.0,94.72
Juan Manuel Cerundolo,34,16,18,0.34758909853249476,0.34157722818478764,0.06079664570230608,0.04067085953878407,0.2606666666666667,0.4949152542372881,0.16886543535620052,6.2928759894459105,2.187335092348285,59.0,67.28571428571429
Kamil Majchrzak,35,17,18,0.358214161144053,0.3705688375927453,0.10917335193582142,0.04464597139867457,0.26800670016750416,0.508364312267658,0.18140589569160998,6.501133786848072,2.328798185941043,47.0,63.371428571428574
Lorenzo Sonego,37,17,20,0.33550253073029646,0.32751091703056767,0.052060737527114966,0.03723788864786696,0.2680705748434832,0.45292368681863227,0.1643835616438356,6.315068493150685,2.1187214611872145,51.0,86.54054054054055
Marco Trungelliti,21,8,13,0.3797101449275362,0.3853820598006644,0.08405797101449275,0.043478260869565216,0.28706998813760376,0.5251396648044693,0.22488038277511962,6.6028708133971294,2.507177033492823,88.0,101.33333333333333
Marcos Giron,40,16,24,0.3395378690629012,0.3574610244988864,0.10494223363286265,0.03048780487804878,0.2570162481536189,0.49400921658986174,0.17131474103585656,6.207171314741036,2.1075697211155378,50.0,76.9
Marin Cilic,39,17,22,0.33205668326311755,0.3581884720951509,0.13060130218307162,0.032171581769437,0.23472474289171208,0.5,0.15876777251184834,6.187203791469194,2.0545023696682465,43.0,56.575
Martin Damm,18,7,11,0.3006939090208173,0.31554737810487576,0.12567463377023902,0.036237471087124135,0.21085080147965474,0.4506172839506173,0.1179245283018868,6.117924528301887,1.8396226415094339,52.5,51.333333333333336
Martin Landaluce,27,12,15,0.34707724425887265,0.34918723660445516,0.08872651356993737,0.044363256784968684,0.2345786272806255,0.5163398692810457,0.19528619528619529,6.451178451178452,2.239057239057239,66.0,80.18518518518519
Mattia Bellucci,27,10,17,0.33280590717299574,0.34321280379371666,0.08280590717299578,0.027426160337552744,0.2683912691996766,0.45371775417298943,0.1456953642384106,6.2781456953642385,2.089403973509934,40.0,65.48148148148148
Miomir Kecmanovic,46,19,27,0.3530864197530864,0.37404832836809,0.1281207133058985,0.043072702331961595,0.2508833922261484,0.5206372194062274,0.18947368421052632,6.394736842105263,2.2578947368421054,53.0,71.84782608695652
Pablo Carreno Busta,28,12,16,0.36604774535809015,0.37578616352201255,0.10742705570291777,0.04907161803713528,0.25565610859728505,0.5224358974358974,0.21428571428571427,6.336134453781512,2.319327731092437,50.5,85.32142857142857
Quentin Halys,41,21,20,0.3341387642388678,0.3467138921684376,0.09285467725233,0.030031066620642043,0.2640692640692641,0.4575786463298379,0.14666666666666667,6.437777777777778,2.151111111111111,51.0,80.075
Rinky Hijikata,32,14,18,0.3539518900343642,0.3737322515212982,0.11554982817869416,0.037371134020618556,0.25874125874125875,0.5055679287305123,0.1878453038674033,6.430939226519337,2.276243093922652,44.0,71.25
Roman Andres Burruchaga,25,12,13,0.4060941828254848,0.404138770541692,0.05152354570637119,0.03822714681440443,0.3413506012950971,0.5027624309392265,0.28832116788321166,6.587591240875913,2.6751824817518246,58.0,66.76
Roman Safiullin,6,3,3,0.35493372606774665,0.37478411053540583,0.11192930780559647,0.035346097201767304,0.2800875273522976,0.509009009009009,0.18,6.79,2.41,21.5,35.166666666666664
Sebastian Korda,33,20,13,0.37426035502958577,0.3884057971014493,0.07951183431952663,0.027366863905325445,0.30452203777904985,0.5015673981191222,0.2019704433497537,6.6600985221674875,2.4926108374384235,45.0,80.57575757575758
Sho Shimabukuro,16,5,11,0.3134674922600619,0.3233151183970856,0.11145510835913312,0.03869969040247678,0.24438902743142144,0.42653061224489797,0.10396039603960396,6.396039603960396,2.004950495049505,69.0,82.8
Stefanos Tsitsipas,44,25,19,0.33879051119278314,0.3359230484646689,0.061476779151353154,0.035415970598062146,0.2526483050847458,0.4859728506787331,0.16129032258064516,6.436559139784946,2.1806451612903226,42.0,83.0909090909091
Tallon Griekspoor,38,16,22,0.31106321839080464,0.3354755784061697,0.13182471264367815,0.029813218390804596,0.22969187675070024,0.4564564564564565,0.13174946004319654,6.012958963282937,1.8704103671706263,55.5,66.425
Terence Atmane,42,17,25,0.31096275474349966,0.31664037854889593,0.08011243851018975,0.02881236823612087,0.22025171624713957,0.4553734061930783,0.13953488372093023,6.016913319238901,1.8710359408033828,39.0,76.14285714285714
Tomas Machac,30,15,15,0.3535681186283596,0.3654346694429984,0.08155699721964782,0.028266913809082483,0.2811334824757643,0.4724602203182374,0.18950437317784258,6.291545189504373,2.2244897959183674,37.0,56.1875
Valentin Royer,35,11,24,0.32963549920760693,0.3450671607225567,0.11014263074484945,0.034469096671949286,0.2465172622652938,0.48682703321878584,0.1477832512315271,6.216748768472907,2.0492610837438425,53.0,59.82857142857143
Vit Kopriva,38,19,19,0.3653404743687835,0.37925021795989533,0.08990053557765876,0.032517214996174444,0.29616306954436455,0.4873150105708245,0.2261904761904762,6.223809523809524,2.2738095238095237,57.5,74.15789473684211
Yannick Hanfmann,50,30,20,0.3541721161391578,0.3659916617033949,0.08893539105414595,0.03269683494637719,0.29275130156187423,0.4698340874811463,0.18696397941680962,6.55746140651801,2.322469982847341,64.0,90.48
Zachary Svajda,22,9,13,0.31941544885177453,0.3387888707037643,0.11830201809324982,0.031315240083507306,0.23555555555555552,0.45996275605214154,0.15677966101694915,6.088983050847458,1.944915254237288,48.0,69.4090909090909
