player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Adam Walton,5,2,3,0.34838709677419355,0.3356643356643356,0.03870967741935484,0.03870967741935484,0.2924528301886793,0.4693877551020408,0.2,6.2,2.16,77.0,57.0
Adolfo Daniel Vallejo,14,8,6,0.39110604332953247,0.3893034825870647,0.04903078677309008,0.03420752565564424,0.3315217391304348,0.49230769230769234,0.26717557251908397,6.694656488549619,2.618320610687023,80.5,117.57142857142857
Adrian Mannarino,7,0,7,0.3367088607594937,0.34718100890207715,0.10632911392405063,0.04050632911392405,0.26515151515151514,0.48091603053435117,0.13114754098360656,6.475409836065574,2.180327868852459,58.0,68.0
Aleksandar Kovacevic,7,3,4,0.3470319634703196,0.3419023136246787,0.0684931506849315,0.04337899543378995,0.2649253731343284,0.4764705882352941,0.16666666666666666,6.083333333333333,2.111111111111111,57.0,65.0
Aleksandar Vukic,4,1,3,0.375609756097561,0.3867403314917127,0.08292682926829269,0.03414634146341464,0.2936507936507936,0.5063291139240507,0.23529411764705882,6.029411764705882,2.264705882352941,75.5,189.0
Alex Molcan,14,10,4,0.40421052631578946,0.40909090909090906,0.07578947368421053,0.04421052631578947,0.3377926421404682,0.5170454545454546,0.3006535947712418,6.209150326797386,2.5098039215686274,58.0,57.142857142857146
Alexander Shevchenko,12,5,7,0.36386138613861385,0.363762102351314,0.06683168316831684,0.038366336633663366,0.26315789473684215,0.5075075075075075,0.1774193548387097,6.516129032258065,2.370967741935484,61.5,136.33333333333334
Arthur Gea,2,0,2,0.34426229508196726,0.3584905660377359,0.09836065573770492,0.03278688524590164,0.2432432432432432,0.5,0.2,6.1,2.1,54.5,54.5
Benjamin Bonzi,3,1,2,0.28,0.30409356725146197,0.125,0.02,0.20512820512820518,0.3855421686746988,0.03125,6.25,1.75,3.0,39.0
Botic Van De Zandschulp,13,7,6,0.39749430523917995,0.39903846153846156,0.03302961275626424,0.0193621867881549,0.37082601054481545,0.44660194174757284,0.2765957446808511,6.226950354609929,2.475177304964539,76.0,98.23076923076923
Camilo Ugo Carabelli,23,12,11,0.3701723113487819,0.3700527704485488,0.062388591800356503,0.0368389780154486,0.3132183908045977,0.46322378716744916,0.2,6.6,2.443137254901961,77.0,91.21739130434783
Coleman Wong,2,0,2,0.2549019607843137,0.23404255319148937,0.0392156862745098,0.0392156862745098,0.23333333333333328,0.2857142857142857,0.0,5.666666666666667,1.4444444444444444,36.0,36.0
