player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Adam Walton,19,5,14,0.3318152244632401,0.35043409629044986,0.13272608978529604,0.04294079375406636,0.25315126050420167,0.45982905982905986,0.16049382716049382,6.325102880658436,2.0987654320987654,69.0,64.6842105263158
Adolfo Daniel Vallejo,1,0,1,0.2142857142857143,0.17948717948717952,0.023809523809523808,0.047619047619047616,0.18518518518518523,0.2666666666666667,0.1111111111111111,4.666666666666667,1.0,281.0,281.0
Adrian Mannarino,27,12,15,0.34017175572519087,0.3609534619750284,0.1226145038167939,0.036736641221374045,0.2467631378522468,0.4968071519795658,0.1855072463768116,6.07536231884058,2.066666666666667,59.0,72.81481481481481
Aleksandar Kovacevic,27,9,18,0.2912621359223301,0.3222748815165877,0.1533980582524272,0.027184466019417475,0.21444866920152095,0.4268456375838926,0.10465116279069768,5.988372093023256,1.744186046511628,71.0,122.74074074074075
Aleksandar Vukic,23,9,14,0.3211503894547634,0.3318872017353579,0.12522468544038345,0.046135410425404436,0.23300970873786409,0.46322378716744916,0.13703703703703704,6.181481481481481,1.9851851851851852,60.0,75.26086956521739
Alex Molcan,3,2,1,,,,,,,,,,49.0,93.33333333333333
Alexander Shevchenko,21,11,10,0.32179487179487176,0.32922407541696885,0.08525641025641026,0.03076923076923077,0.25176946410515677,0.4430823117338003,0.12653061224489795,6.36734693877551,2.048979591836735,41.0,77.57142857142857
Arthur Gea,10,8,2,0.3873563218390804,0.38539042821158687,0.05172413793103448,0.035632183908045977,0.3110687022900763,0.5028901734104047,0.2706766917293233,6.541353383458647,2.5338345864661656,69.0,78.5
Benjamin Bonzi,13,6,7,0.34541062801932365,0.36822429906542054,0.11030595813204509,0.02818035426731079,0.2632911392405063,0.48893805309734517,0.15736040609137056,6.304568527918781,2.1776649746192893,57.0,47.61538461538461
Botic Van De Zandschulp,25,11,14,0.3562945368171021,0.3716028840820854,0.10546318289786223,0.03800475059382423,0.27117384843982173,0.5072463768115942,0.16927899686520376,6.598746081504702,2.3510971786833856,38.0,64.72
Camilo Ugo Carabelli,17,4,13,0.3089430894308943,0.33298097251585623,0.12104787714543812,0.024390243902439025,0.2308743169398907,0.4613333333333334,0.13186813186813187,6.082417582417582,1.879120879120879,58.0,55.0
Coleman Wong,19,12,7,0.35048231511254024,0.35602575896964117,0.08681672025723473,0.03938906752411576,0.2745625841184388,0.4630738522954092,0.19306930693069307,6.158415841584159,2.1584158415841586,72.0,131.94736842105263
Corentin Moutet,30,14,16,0.37942425672487023,0.38593750000000004,0.06418121755545068,0.02973100519112789,0.3157894736842105,0.5,0.2287390029325513,6.214076246334311,2.3577712609970676,55.0,56.9
Daniel Altmaier,23,9,14,0.3145869947275922,0.3276566757493188,0.10720562390158173,0.032806092560046865,0.20790216368767633,0.49068322981366463,0.12915129151291513,6.2988929889298895,1.981549815498155,42.0,53.78260869565217
Ethan Quinn,17,6,11,0.32861896838602334,0.3408203125,0.10981697171381032,0.03826955074875208,0.26258503401360545,0.4325481798715204,0.15104166666666666,6.260416666666667,2.0572916666666665,55.0,71.76470588235294
Fabian Marozsan,26,12,14,0.3589494163424124,0.37478991596638656,0.09824902723735408,0.03356031128404669,0.27782162588792425,0.4892268694550064,0.19325153374233128,6.306748466257669,2.263803680981595,37.0,61.42307692307692
Giovanni Mpetshi Perricard,29,11,18,0.2613929492691316,0.2672540381791483,0.09501289767841789,0.026655202063628546,0.2196078431372549,0.3417085427135679,0.07142857142857142,5.933673469387755,1.5510204081632653,46.0,79.03448275862068
Hamad Medjedovic,14,4,10,0.31826401446654606,0.3514689880304679,0.14285714285714285,0.026220614828209764,0.2342606149341142,0.45390070921985815,0.11494252873563218,6.35632183908046,2.0229885057471266,45.5,68.42857142857143
Hubert Hurkacz,15,7,8,0.31444533120510776,0.3256669733210672,0.1005586592178771,0.03192338387869114,0.24677002583979324,0.4237995824634656,0.10101010101010101,6.328282828282828,1.9898989898989898,43.0,54.0
Hugo Gaston,5,1,4,0.3395522388059702,0.34199134199134196,0.09328358208955224,0.04477611940298507,0.2075471698113207,0.5321100917431192,0.20833333333333334,5.583333333333333,1.8958333333333333,46.0,50.8
Jaime Faria,4,1,3,0.3317307692307693,0.32625994694960214,0.057692307692307696,0.036057692307692304,0.2566037735849057,0.4635761589403974,0.1791044776119403,6.208955223880597,2.0597014925373136,70.0,68.5
James Duckworth,17,6,11,0.3257686676427526,0.3327645051194539,0.10175695461200586,0.04026354319180088,0.22754491017964074,0.480225988700565,0.125,6.5673076923076925,2.139423076923077,68.0,105.41176470588235
Jan Choinski,3,0,3,0.2983193277310925,0.33668341708542715,0.14705882352941177,0.01680672268907563,0.22499999999999998,0.4487179487179487,0.1,5.95,1.775,42.0,69.33333333333333
Jenson Brooksby,26,13,13,0.3698284561049445,0.3765432098765432,0.06962663975782038,0.03128153380423814,0.2840189873417721,0.520891364902507,0.20860927152317882,6.562913907284768,2.4271523178807946,30.5,80.11538461538461
Juan Manuel Cerundolo,6,2,4,0.3198458574181118,0.3137254901960784,0.07321772639691715,0.04238921001926782,0.23964497041420119,0.4696132596685083,0.09876543209876543,6.407407407407407,2.049382716049383,59.0,64.28571428571429
Kamil Majchrzak,25,12,13,0.36631385181776344,0.3811881188118812,0.11596870685687989,0.04739990796134377,0.2665706051873199,0.5426751592356688,0.20059880239520958,6.505988023952096,2.3832335329341316,47.0,73.76
Lorenzo Sonego,21,10,11,0.3546268656716418,0.34342105263157896,0.04955223880597015,0.04298507462686567,0.28095238095238095,0.47840000000000005,0.19615384615384615,6.4423076923076925,2.2846153846153845,54.0,84.71428571428571
Luca Van Assche,2,0,2,0.35121951219512193,0.3579545454545454,0.0975609756097561,0.04390243902439024,0.2786885245901639,0.45783132530120485,0.16666666666666666,6.833333333333333,2.4,137.5,137.5
Marco Trungelliti,2,0,2,,,,,,,,,,367.5,367.5
Marcos Giron,31,14,17,0.35988902100673803,0.3767313019390581,0.10503369005152596,0.0364645263575109,0.27002427184466016,0.5291428571428571,0.20199501246882792,6.291770573566085,2.264339152119701,51.0,82.16129032258064
Marin Cilic,25,12,13,0.3214871514488792,0.3526697429136454,0.14160743575724438,0.028977583378895572,0.20552677029360966,0.5216095380029806,0.13851351351351351,6.179054054054054,1.9864864864864864,30.0,52.2
Martin Damm,12,5,7,0.30177514792899407,0.31748251748251743,0.12071005917159763,0.033136094674556214,0.22242990654205608,0.43870967741935485,0.1267605633802817,5.950704225352113,1.795774647887324,60.0,78.66666666666667
Martin Landaluce,10,4,6,0.33023872679045096,0.34077380952380953,0.08222811671087533,0.026525198938992044,0.22338204592901878,0.5163636363636364,0.18487394957983194,6.336134453781512,2.092436974789916,53.0,74.0
Marton Fucsovics,22,8,14,0.3716502115655853,0.377847604084839,0.06981664315937941,0.03244005641748942,0.30135440180586903,0.4887218045112782,0.21171171171171171,6.387387387387387,2.373873873873874,45.0,76.86363636363636
Mattia Bellucci,14,4,10,0.33440514469453375,0.34516523867809057,0.09217577706323687,0.03215434083601286,0.25370675453047775,0.48466257668711654,0.1292517006802721,6.346938775510204,2.122448979591837,39.0,48.214285714285715
Miomir Kecmanovic,30,13,17,0.3581376840429765,0.38576960309777353,0.1368881814564266,0.040986868284918425,0.25269841269841264,0.535181236673774,0.19689119170984457,6.510362694300518,2.33160621761658,52.0,69.76666666666667
Pablo Carreno Busta,13,4,9,0.35214446952595935,0.36968838526912184,0.1455981941309255,0.05756207674943566,0.22612085769980506,0.5254691689008043,0.18705035971223022,6.374100719424461,2.2446043165467624,47.0,69.07692307692308
Quentin Halys,23,9,14,0.3404856013551666,0.35844155844155845,0.10163749294184077,0.028797289666854884,0.27598253275109175,0.4584664536741214,0.16,6.44,2.192727272727273,57.0,82.47826086956522
Rinky Hijikata,19,8,11,0.3436154949784792,0.35756551141166526,0.11119081779053085,0.040172166427546625,0.2638248847926268,0.47528517110266155,0.18834080717488788,6.251121076233184,2.1479820627802693,45.0,62.05263157894737
Roman Andres Burruchaga,1,0,1,0.2934782608695652,0.33783783783783783,0.17391304347826086,0.021739130434782608,0.27692307692307694,0.33333333333333337,0.125,5.75,1.6875,139.0,139.0
Sebastian Baez,23,12,11,0.373015873015873,0.40014419610670515,0.11904761904761904,0.03418803418803419,0.2862488306828812,0.5360281195079086,0.24444444444444444,6.066666666666666,2.262962962962963,48.0,77.56521739130434
Sebastian Korda,34,20,14,0.37275341480948954,0.38600723763570566,0.07836089144500359,0.027677929547088427,0.30267558528428096,0.5,0.19664268585131894,6.671462829736211,2.486810551558753,44.5,79.23529411764706
Sho Shimabukuro,9,2,7,0.3176638176638177,0.3184713375796179,0.07264957264957266,0.03276353276353276,0.2727272727272727,0.3838028169014085,0.09523809523809523,6.685714285714286,2.123809523809524,74.0,101.33333333333333
Tallon Griekspoor,28,14,14,0.3030004918839154,0.33432835820895523,0.1485489424495819,0.027545499262174127,0.2146636432350718,0.46760563380281694,0.11538461538461539,6.014792899408284,1.8224852071005917,39.5,56.96666666666667
Tomas Machac,22,12,10,0.3458282950423216,0.3587257617728532,0.094316807738815,0.032648125755743655,0.26104023552502453,0.4818897637795275,0.20220588235294118,6.080882352941177,2.1029411764705883,41.5,70.77272727272727
Valentin Royer,27,10,17,0.33486449242076255,0.35462555066079293,0.1267799724391364,0.03904455672944419,0.2464887640449438,0.50199203187251,0.15406976744186046,6.328488372093023,2.119186046511628,44.0,52.111111111111114
