player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Adam Walton,30,10,20,0.3333333333333333,0.6288857006217121,0.6090185676392573,167.0,0.07986609277857484,39.0,0.018651362984218076,0.050980392156862744,0.6341463414634146,0.6900452488687783,0.5228758169934641,0.5509641873278237,0.7919254658385093,6.4937888198757765,2.409937888198758
Adolfo Daniel Vallejo,22,11,11,0.5,0.6128803963198868,0.6227730441518203,62.0,0.043878273177636234,60.0,0.04246284501061571,0.11049723756906077,0.6157112526539278,0.6873563218390805,0.49355432780847147,0.5548654244306418,0.7523364485981309,6.602803738317757,2.55607476635514
Adrian Mannarino,41,14,27,0.34146341463414637,0.6239583333333333,0.6170294005345551,181.0,0.06284722222222222,80.0,0.027777777777777776,0.07259528130671507,0.6173611111111111,0.6968503937007874,0.5063520871143375,0.5459882583170255,0.756043956043956,6.329670329670329,2.38021978021978
Aleksandar Kovacevic,43,16,27,0.37209302325581395,0.6687462863933452,0.6499454743729552,463.0,0.13755199049316696,152.0,0.0451574569221628,0.1130952380952381,0.6007130124777184,0.7754698318496538,0.5081845238095238,0.572986577181208,0.8579439252336448,6.291588785046729,2.0841121495327104
Aleksandar Vukic,28,10,18,0.35714285714285715,0.6172967374417401,0.5954730121880442,166.0,0.0859658208182289,42.0,0.021750388399792854,0.05078597339782346,0.5717244950802693,0.6902173913043478,0.5199516324062878,0.5477707006369427,0.7609427609427609,6.501683501683502,2.4882154882154883
Alex Molcan,20,13,7,0.65,0.6422310756972112,0.6434707903780069,57.0,0.04541832669322709,34.0,0.027091633466135457,0.07692307692307693,0.6478087649402391,0.6924969249692496,0.5497737556561086,0.5955882352941176,0.803030303030303,6.338383838383838,2.2676767676767677
Alexander Shevchenko,34,16,18,0.47058823529411764,0.6372950819672131,0.6269621421975993,197.0,0.08073770491803278,77.0,0.03155737704918033,0.08315334773218143,0.6204918032786885,0.7087186261558784,0.5205183585313174,0.5677267373380448,0.7872340425531915,6.48936170212766,2.353723404255319
Arthur Gea,12,8,4,0.6666666666666666,0.6504854368932039,0.6699147381242387,53.0,0.05717367853290183,53.0,0.05717367853290183,0.13451776649746192,0.5749730312837109,0.7392120075046904,0.5304568527918782,0.6129032258064516,0.8263888888888888,6.4375,2.25
Benjamin Bonzi,22,11,11,0.5,0.6527196652719666,0.6498338870431893,114.0,0.06814106395696354,54.0,0.032277346084877465,0.09152542372881356,0.6473401075911536,0.7349953831948292,0.5016949152542373,0.5522388059701493,0.8095238095238095,6.128205128205129,2.128205128205128
Botic Van De Zandschulp,47,23,24,0.48936170212765956,0.638994050838291,0.6442612555485099,331.0,0.08950784207679827,213.0,0.057598702001081664,0.14968376669009137,0.6151974040021634,0.7432967032967033,0.47224174279690795,0.5553719008264463,0.8181818181818182,6.591800356506239,2.379679144385027
