player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Adam Walton,5,2,3,0.4,0.546448087431694,0.5344827586206896,7.0,0.03825136612021858,2.0,0.01092896174863388,0.02666666666666667,0.5901639344262295,0.5740740740740741,0.5066666666666667,0.5205479452054794,0.6538461538461539,7.038461538461538,3.1923076923076925
Adolfo Daniel Vallejo,14,8,6,0.5714285714285714,0.6213592233009708,0.6243523316062176,30.0,0.03640776699029126,22.0,0.02669902912621359,0.07692307692307693,0.6529126213592233,0.6858736059479554,0.5,0.5416666666666666,0.7698412698412699,6.5396825396825395,2.4761904761904763
Adrian Mannarino,7,0,7,0.0,0.5278514588859416,0.5305555555555556,8.0,0.021220159151193633,9.0,0.023872679045092837,0.07142857142857142,0.6657824933687002,0.5936254980079682,0.3968253968253968,0.42735042735042733,0.603448275862069,6.5,3.0689655172413794
Aleksandar Kovacevic,7,3,4,0.42857142857142855,0.6399132321041214,0.6479217603911981,30.0,0.0650759219088937,22.0,0.04772234273318872,0.1164021164021164,0.5900216919739696,0.7205882352941176,0.5238095238095238,0.592814371257485,0.821917808219178,6.315068493150685,2.2739726027397262
Aleksandar Vukic,4,1,3,0.25,0.5877192982456141,0.5728155339805825,16.0,0.07017543859649122,6.0,0.02631578947368421,0.058823529411764705,0.5526315789473685,0.6825396825396826,0.47058823529411764,0.5,0.6857142857142857,6.514285714285714,2.6857142857142855
Alex Molcan,14,10,4,0.7142857142857143,0.6408602150537634,0.643598615916955,38.0,0.04086021505376344,25.0,0.026881720430107527,0.07331378299120235,0.6333333333333333,0.6926994906621392,0.5513196480938416,0.5949367088607594,0.7933333333333333,6.2,2.2266666666666666
Alexander Shevchenko,12,5,7,0.4166666666666667,0.6342710997442456,0.6348074179743224,51.0,0.06521739130434782,30.0,0.03836317135549872,0.09345794392523364,0.5895140664961637,0.7006507592190889,0.5389408099688473,0.5945017182130584,0.776,6.256,2.288
Arthur Gea,2,0,2,0.0,0.5285714285714286,0.603448275862069,2.0,0.02857142857142857,10.0,0.14285714285714285,0.2857142857142857,0.5,0.6285714285714286,0.42857142857142855,0.6,0.6,7.0,3.3
Benjamin Bonzi,3,1,2,0.3333333333333333,0.6974358974358974,0.7065217391304348,6.0,0.03076923076923077,5.0,0.02564102564102564,0.07575757575757576,0.6615384615384615,0.7596899224806202,0.5757575757575758,0.6229508196721312,0.9032258064516129,6.290322580645161,1.903225806451613
Botic Van De Zandschulp,13,7,6,0.5384615384615384,0.618995633187773,0.6320293398533008,50.0,0.05458515283842795,48.0,0.05240174672489083,0.13953488372093023,0.6244541484716157,0.6958041958041958,0.49127906976744184,0.5709459459459459,0.7753623188405797,6.63768115942029,2.528985507246377
Camilo Ugo Carabelli,23,12,11,0.5217391304347826,0.6077968103957472,0.6107211231652839,72.0,0.042528056704075605,54.0,0.0318960425280567,0.08059701492537313,0.6042528056704075,0.6930596285434996,0.47761194029850745,0.5194805194805194,0.7637795275590551,6.665354330708661,2.6141732283464565
Coleman Wong,2,0,2,0.0,0.5522388059701493,0.5333333333333333,5.0,0.07462686567164178,2.0,0.029850746268656716,0.06896551724137931,0.5671641791044776,0.6052631578947368,0.4827586206896552,0.5185185185185185,0.6666666666666666,7.444444444444445,3.3333333333333335
Corentin Moutet,12,5,7,0.4166666666666667,0.6030405405405406,0.6107142857142858,15.0,0.02533783783783784,17.0,0.028716216216216218,0.08018867924528301,0.6418918918918919,0.6578947368421053,0.5047169811320755,0.5487179487179488,0.7311827956989247,6.365591397849462,2.5268817204301075
Daniel Altmaier,19,8,11,0.42105263157894735,0.6271056661562021,0.620050547598989,83.0,0.06355283307810107,36.0,0.027565084226646247,0.07692307692307693,0.6416539050535988,0.7028639618138425,0.49145299145299143,0.5324074074074074,0.7832512315270936,6.433497536945813,2.399014778325123
