player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Adam Walton,19,5,14,0.2631578947368421,0.6305609284332688,0.6107480029048656,137.0,0.08833010960670536,37.0,0.02385557704706641,0.06654676258992806,0.6415215989684074,0.6924623115577889,0.5197841726618705,0.5568400770712909,0.7932489451476793,6.544303797468355,2.4177215189873418
Adolfo Daniel Vallejo,1,0,1,0.0,0.5342465753424658,0.546875,4.0,0.0547945205479452,5.0,0.0684931506849315,0.13157894736842105,0.4794520547945205,0.6571428571428571,0.42105263157894735,0.48484848484848486,0.5555555555555556,8.11111111111111,3.7777777777777777
Adrian Mannarino,27,12,15,0.4444444444444444,0.6498612395929695,0.6392177045805455,163.0,0.0753931544865865,56.0,0.025901942645698426,0.06526806526806526,0.603145235892692,0.7338957055214724,0.5221445221445221,0.5586034912718204,0.8187134502923976,6.321637426900585,2.2134502923976607
Aleksandar Kovacevic,27,9,18,0.3333333333333333,0.6710887465690759,0.6448491747296529,334.0,0.15279048490393413,95.0,0.043458371454711806,0.11176470588235295,0.6111619396157365,0.7761976047904192,0.5058823529411764,0.5695364238410596,0.8624641833810889,6.263610315186247,2.0601719197707737
Aleksandar Vukic,23,9,14,0.391304347826087,0.6254355400696864,0.6014445173998687,161.0,0.09349593495934959,38.0,0.022067363530778164,0.05184174624829468,0.5743321718931476,0.704752275025278,0.5184174624829468,0.5467625899280576,0.7781954887218046,6.473684210526316,2.424812030075188
Alex Molcan,3,2,1,0.6666666666666666,,,,,,,,,,,,,,
Alexander Shevchenko,21,11,10,0.5238095238095238,0.6382978723404256,0.6215429403202329,136.0,0.08768536428110896,41.0,0.026434558349451968,0.07180385288966724,0.6318504190844616,0.7112244897959183,0.5131348511383538,0.5528301886792453,0.7866108786610879,6.489539748953975,2.3472803347280333
Arthur Gea,10,8,2,0.8,0.6604434072345391,0.6749672346002621,51.0,0.059509918319719954,43.0,0.050175029171528586,0.11977715877437325,0.5810968494749125,0.7469879518072289,0.5403899721448467,0.6139240506329114,0.8432835820895522,6.395522388059701,2.171641791044776
Benjamin Bonzi,13,6,7,0.46153846153846156,0.6388888888888888,0.6331521739130435,83.0,0.06781045751633986,37.0,0.03022875816993464,0.08624708624708624,0.6495098039215687,0.7069182389937106,0.5128205128205128,0.5612244897959183,0.7828282828282829,6.181818181818182,2.2323232323232323
Botic Van De Zandschulp,25,11,14,0.44,0.650691699604743,0.6600234466588512,191.0,0.09436758893280632,127.0,0.06274703557312253,0.16302952503209242,0.6151185770750988,0.757429718875502,0.48010269576379977,0.5736196319018405,0.8343949044585988,6.445859872611465,2.251592356687898
Camilo Ugo Carabelli,17,4,13,0.23529411764705882,0.5812244897959183,0.5817694369973191,61.0,0.04979591836734694,45.0,0.036734693877551024,0.08637236084452975,0.5746938775510204,0.6534090909090909,0.4836852207293666,0.5294117647058824,0.6815642458100558,6.843575418994414,2.8659217877094973
Coleman Wong,19,12,7,0.631578947368421,0.6487730061349694,0.6131117266851339,182.0,0.13957055214723926,39.0,0.0299079754601227,0.0755813953488372,0.6042944785276073,0.7233502538071066,0.5348837209302325,0.5786163522012578,0.803921568627451,6.392156862745098,2.2450980392156863
Corentin Moutet,30,14,16,0.4666666666666667,0.6132572431957858,0.6160458452722063,107.0,0.04697102721685689,77.0,0.033801580333625986,0.09210526315789473,0.6330114135206322,0.6685159500693482,0.5179425837320574,0.5704874835309618,0.7662721893491125,6.739644970414201,2.606508875739645
Daniel Altmaier,23,9,14,0.391304347826087,0.6193693693693694,0.6023622047244095,182.0,0.10247747747747747,70.0,0.039414414414414414,0.10401188707280833,0.6210585585585585,0.7126019945602902,0.46656760772659733,0.5207296849087893,0.7601476014760148,6.553505535055351,2.4944649446494465
Ethan Quinn,17,6,11,0.35294117647058826,0.6412593206296603,0.6259615384615385,123.0,0.10190555095277548,44.0,0.03645401822700911,0.0967032967032967,0.6230323115161558,0.7300531914893617,0.4945054945054945,0.5474452554744526,0.8020833333333334,6.286458333333333,2.2552083333333335
Fabian Marozsan,26,12,14,0.46153846153846156,0.6471725471242146,0.641688654353562,123.0,0.05944900918318028,51.0,0.024649589173513776,0.07369942196531792,0.6655389076848719,0.7022512708787219,0.5375722543352601,0.5803432137285491,0.8132530120481928,6.231927710843373,2.1987951807228914
Giovanni Mpetshi Perricard,29,11,18,0.3793103448275862,0.7048016701461378,0.6661193212917351,471.0,0.1966597077244259,97.0,0.04050104384133612,0.14017341040462428,0.7110647181628392,0.7827363476218439,0.5130057803468208,0.5966386554621849,0.8837209302325582,6.188630490956072,1.82687338501292
Hamad Medjedovic,14,4,10,0.2857142857142857,0.631175468483816,0.6111675126903553,139.0,0.11839863713798977,50.0,0.04258943781942078,0.11655011655011654,0.6345826235093697,0.7181208053691275,0.4801864801864802,0.5435356200527705,0.7797619047619048,6.988095238095238,2.5773809523809526
