player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Adolfo Daniel Vallejo,53,42,11,0.4569573807507762,0.4524025385312783,0.03161162856336438,0.034434095399379056,0.3919925512104283,0.556989247311828,0.4033457249070632,6.58550185873606,3.009293680297398,235.0,279.6923076923077
Alejandro Moro Canas,57,32,25,0.3971518987341772,0.3950344149459194,0.04656419529837252,0.033905967450271246,0.329100145137881,0.5095923261390887,0.2515151515151515,6.703030303030303,2.662121212121212,260.0,351.375
Alex Barrena,58,29,29,0.4065650038769708,0.39861111111111114,0.033858878263117086,0.03566813130007754,0.3438818565400844,0.5056704469646431,0.2973421926910299,6.426910299003322,2.6129568106312293,271.5,275.63793103448273
Alexis Galarneau,49,29,20,0.3825593952483801,0.3892288861689106,0.07856371490280778,0.03914686825053996,0.29288888888888887,0.5213204951856947,0.25043478260869567,6.441739130434782,2.4643478260869567,237.0,299.48979591836735
Alvaro Guillen Meza,58,31,27,0.42239685658153237,0.4113821138211382,0.024448810303427198,0.035800043658589825,0.3687606112054329,0.5189486552567237,0.3181148748159057,6.746686303387334,2.849779086892489,277.0,287.96491228070175
Andre Ilagan,62,35,27,0.3878687848153497,0.40422975246335013,0.10068083350526098,0.04085001031565917,0.28645833333333337,0.5363497712252161,0.2591587516960651,6.576662143826323,2.5508819538670284,301.5,393.258064516129
Bernard Tomic,44,25,19,0.38127990430622005,0.39115290839428773,0.09599282296650717,0.045454545454545456,0.30676691729323313,0.49147516679021497,0.23921568627450981,6.556862745098039,2.5,325.0,398.8222222222222
Clement Chidekh,54,33,21,0.41376015289058765,0.4279924344771683,0.08050645007166746,0.035355948399426664,0.3424036281179138,0.5363636363636364,0.2908496732026144,6.839869281045751,2.8300653594771243,275.0,303.4259259259259
Dan Added,42,19,23,0.3647942521227956,0.3739867354458364,0.08033964728935336,0.033311561071195296,0.2907764460656592,0.48906386701662297,0.1888412017167382,6.570815450643777,2.3969957081545066,275.0,314.6744186046512
Daniel Rincon,47,26,21,0.4089057043073341,0.3986275733000624,0.029976717112922,0.0369615832363213,0.3516232281664381,0.5092073658927141,0.2887189292543021,6.569789674952199,2.6864244741873806,246.0,281.17021276595744
Daniil Glinka,59,36,23,0.3775091240875912,0.37807039756900485,0.062271897810218975,0.03695255474452555,0.29613095238095233,0.5064858490566038,0.22056631892697467,6.533532041728763,2.4664679582712368,256.0,402.8474576271187
Dimitar Kuzmanov,47,21,26,0.40691405011100534,0.41030999651689304,0.056137012369172214,0.03330161750713606,0.35404040404040404,0.4961636828644501,0.30303030303030304,6.36969696969697,2.591919191919192,296.0,348.6458333333333
Duje Ajdukovic,41,21,20,0.38802353755624786,0.38701201201201196,0.04672897196261682,0.03115264797507788,0.3257868580894533,0.49257884972170685,0.2511013215859031,6.363436123348017,2.4691629955947136,264.0,313.609756097561
Edas Butvilas,51,27,24,0.3922681805893484,0.3794221698113207,0.03865909705325764,0.04433630711002974,0.3286219081272085,0.4926829268292683,0.2570921985815603,6.558510638297872,2.5726950354609928,253.0,335.4313725490196
Facundo Diaz Acosta,73,52,21,0.437089715536105,0.43265465935786995,0.03446389496717724,0.034099197665937275,0.3718285214348207,0.545985401459854,0.3374536464771323,6.778739184177997,2.9629171817058095,273.0,344.65277777777777
Fajing Sun,47,24,23,0.38727168949771684,0.4024592888002658,0.09960045662100457,0.041666666666666664,0.2953020134228188,0.5225669957686883,0.24293785310734464,6.598870056497175,2.5555555555555554,335.0,416.1489361702128
Federico Agustin Gomez,49,25,24,0.38534756273435244,0.3730407523510971,0.037784828381886355,0.042111335448514566,0.3296296296296296,0.47742922723794945,0.24105461393596986,6.529190207156309,2.5160075329566856,321.5,423.0416666666667
Franco Agamenone,45,23,22,0.4256716417910448,0.4123743718592965,0.01582089552238806,0.03373134328358209,0.37671557027922387,0.5092966855295069,0.3392857142857143,6.646825396825397,2.8293650793650795,268.5,299.1818181818182
Franco Roncadelli,49,27,22,0.43860720830788025,0.43100065402223675,0.029932803909590716,0.03604153940134392,0.3748787584869059,0.5470297029702971,0.3668639053254438,6.457593688362919,2.8323471400394475,303.0,377.44897959183675
Frederico Ferreira Silva,62,33,29,0.4061012548680225,0.4075498918009137,0.060796192124621375,0.039376893119861534,0.3332151719248494,0.5202665186007773,0.28347578347578345,6.584045584045584,2.673789173789174,255.5,294.8225806451613
Genaro Alberto Olivieri,49,24,25,0.4064768285873813,0.39331163065995856,0.02121719709659408,0.03545505304299274,0.34782608695652173,0.5060240963855422,0.2916666666666667,6.489130434782608,2.63768115942029,224.0,253.3877551020408
Gonzalo Bueno,62,35,27,0.4309352517985612,0.4236057068741894,0.03621103117505995,0.039328537170263786,0.3687694704049844,0.5305867665418227,0.3400309119010819,6.4451313755795985,2.7774343122102008,290.0,360.35483870967744
Gonzalo Villanueva,45,19,26,0.41899968543567156,0.41485013623978206,0.04057879836426549,0.03586033343818811,0.3557451078775715,0.5252951096121417,0.32857142857142857,6.487755102040817,2.7183673469387757,280.0,332.0
Guido Ivan Justo,67,39,28,0.43841931942919865,0.4265470004723666,0.02854006586169045,0.04193194291986828,0.37456324248777084,0.5463673951565269,0.35488505747126436,6.544540229885057,2.8692528735632186,355.0,391.9850746268657
Harry Wendelken,44,28,16,0.430921052631579,0.442450914014895,0.07655502392344497,0.04007177033492823,0.3497109826589595,0.5638801261829653,0.3399602385685885,6.648111332007952,2.8648111332007953,311.5,335.04545454545456
Henri Squire,53,29,24,0.38721047331319236,0.39938939772411874,0.06797583081570997,0.024924471299093656,0.32295719844357973,0.5049928673323822,0.2542087542087542,6.686868686868687,2.589225589225589,214.0,258.54716981132077
Henrique Rocha,46,30,16,0.4121540312876053,0.4026974951830443,0.028279181708784597,0.03489771359807461,0.34866259971844205,0.5255658005029338,0.30326295585412666,6.380038387715931,2.629558541266795,234.5,268.60869565217394
Hugo Dellien,45,30,15,0.42056364199442553,0.4119612429001003,0.034375967791886036,0.0387116754413131,0.36787819253438114,0.5104777870913664,0.3203285420944558,6.630390143737166,2.7885010266940453,264.0,298.3333333333333
Hynek Barton,52,28,24,0.38216867469879523,0.368421052631579,0.02216867469879518,0.03469879518072289,0.31062355658198615,0.5019329896907216,0.23137876386687797,6.576862123613312,2.5134706814580032,264.0,289.46153846153845
Ilia Simakin,51,30,21,0.3783028455284553,0.37299126021990414,0.05665650406504065,0.04217479674796748,0.3075050709939148,0.4969408565601632,0.2176759410801964,6.44189852700491,2.436988543371522,326.0,363.7647058823529
Jan Choinski,51,38,13,0.4004149377593361,0.40682788051209107,0.05886929460580913,0.029564315352697094,0.3306209850107067,0.507560815253123,0.2685810810810811,6.513513513513513,2.608108108108108,241.0,266.5686274509804
Jay Clarke,51,28,23,0.4127352410415055,0.41437091735302467,0.05568445475638051,0.03660737303428719,0.3421487603305785,0.5298149417409184,0.30103806228373703,6.711072664359862,2.7698961937716264,406.0,456.3529411764706
Joao Lucas Reis Da Silva,48,23,25,0.3858267716535433,0.38885288399222295,0.0641586468358122,0.03587051618547681,0.32895377128953773,0.47088791848617173,0.25,6.397388059701493,2.468283582089552,262.0,293.8979591836735
Joel Schwaerzler,51,31,20,0.3558013892462053,0.35933467163751076,0.06946231026498585,0.033444816053511704,0.2689316414244781,0.502770083102493,0.19572368421052633,6.3930921052631575,2.2746710526315788,277.0,314.9230769230769
Juan Bautista Torres,57,29,28,0.44691119691119696,0.4417162057379168,0.03185328185328185,0.03450772200772201,0.3854084060269627,0.5425400739827373,0.3748006379585327,6.609250398724083,2.9537480063795853,306.0,322.6140350877193
Juan Carlos Prado Angelo,54,32,22,0.4062260780811432,0.39794786466999443,0.03980607297780046,0.04006124011227354,0.3400910219280099,0.5126498002663116,0.28929765886287623,6.553511705685619,2.6622073578595318,265.5,283.75
Juan Pablo Varillas,55,31,24,0.40149176954732513,0.39342857142857146,0.05246913580246913,0.047325102880658436,0.3258134490238612,0.5116866708780796,0.28833333333333333,6.48,2.6016666666666666,269.0,377.8545454545455
Jurij Rodionov,53,34,19,0.39023779724655816,0.3948689347462354,0.06658322903629536,0.03579474342928661,0.30953346855983777,0.5202614379084967,0.25,6.703020134228188,2.615771812080537,287.0,340.811320754717
Kimmer Coppejans,49,29,20,0.4383930978700459,0.4377556984219755,0.04286869776220006,0.03451064977082772,0.37097485663872964,0.544382801664355,0.3641304347826087,6.719202898550725,2.9456521739130435,261.0,300.59183673469386
Lautaro Midon,51,30,21,0.42791528451135497,0.42001618559482057,0.02347537637152335,0.030620056136769585,0.3766179540709812,0.5085301837270342,0.3294314381270903,6.553511705685619,2.8043478260869565,272.0,342.5098039215686
Lorenzo Giustino,53,31,22,0.3928477517749145,0.38494685435219766,0.04417565080199842,0.040494346568498554,0.33568172399502694,0.4920863309352518,0.2699490662139219,6.4567062818336165,2.536502546689304,312.0,332.14814814814815
Marco Cecchinato,61,37,24,0.38749999999999996,0.3795918367346939,0.03571428571428571,0.03459821428571429,0.33022130013831263,0.49181360201511337,0.25146198830409355,6.549707602339181,2.538011695906433,225.5,260.23333333333335
Mark Lajal,53,33,20,0.3802019207091849,0.3790366721401204,0.061068702290076333,0.03915291800049249,0.29708658186294623,0.5049261083743842,0.2353870458135861,6.415481832543444,2.439178515007899,219.0,260.462962962963
Matej Dodig,48,26,22,0.36465061655901354,0.36594785967170906,0.05695830886670581,0.03082795067527892,0.2905747126436782,0.49553208773354995,0.20848708487084872,6.284132841328414,2.291512915129151,256.5,299.9375
Maxim Mrva,55,30,25,0.4347406513872135,0.42375518672199175,0.02919179734620024,0.040530759951749096,0.38316679477325133,0.5217109526895658,0.3648,6.632,2.8832,293.0,310.3272727272727
Michael Mmoh,45,27,18,0.3996810207336523,0.3971929824561403,0.052312599681020734,0.03859649122807018,0.32306057385759834,0.5147645650438947,0.2863070539419087,6.504149377593361,2.599585062240664,303.0,430.68888888888887
