player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alexis Galarneau,7,5,2,0.38673139158576053,0.3840579710144928,0.06310679611650485,0.043689320388349516,0.2853333333333333,0.5432098765432098,0.26595744680851063,6.574468085106383,2.5425531914893615,197.0,211.28571428571428
Andre Ilagan,2,1,1,0.3892215568862275,0.38607594936708856,0.029940119760479042,0.023952095808383235,0.32499999999999996,0.5531914893617021,0.32,6.68,2.6,211.0,211.0
Bernard Tomic,3,1,2,0.3686274509803922,0.3842592592592593,0.10980392156862745,0.043137254901960784,0.2803030303030303,0.46341463414634143,0.25,6.375,2.35,325.0,499.6666666666667
Clement Chidekh,7,4,3,0.4182776801405975,0.4223107569721115,0.07205623901581722,0.04569420035149385,0.35180055401662047,0.5336538461538461,0.3048780487804878,6.939024390243903,2.902439024390244,368.0,419.85714285714283
Daniil Glinka,2,0,2,0.34911242603550297,0.3311688311688312,0.04142011834319527,0.047337278106508875,0.2727272727272727,0.4571428571428572,0.12,6.76,2.36,172.5,172.5
Harry Wendelken,2,1,1,0.32335329341317365,0.3779527559055118,0.20359281437125748,0.03592814371257485,0.26126126126126126,0.4464285714285714,0.15384615384615385,6.423076923076923,2.076923076923077,437.0,437.0
Henrique Rocha,1,0,1,0.2909090909090909,0.30612244897959184,0.09090909090909091,0.01818181818181818,0.19999999999999996,0.44999999999999996,0.2,5.5,1.6,156.0,156.0
Jay Clarke,2,1,1,0.37569060773480667,0.39375000000000004,0.08839779005524862,0.027624309392265192,0.2660550458715596,0.5416666666666667,0.19230769230769232,6.961538461538462,2.6153846153846154,177.0,177.0
Jurij Rodionov,5,4,1,0.4084084084084084,0.4139072847682119,0.06006006006006006,0.03303303303303303,0.35609756097560974,0.4921875,0.2553191489361702,7.085106382978723,2.893617021276596,253.0,272.4
Mark Lajal,5,2,3,0.37337662337662336,0.36704119850187267,0.07792207792207792,0.05519480519480519,0.26881720430107525,0.5327868852459017,0.25,5.923076923076923,2.2115384615384617,166.0,177.0
Nicolas Mejia,2,1,1,0.40437158469945356,0.4,0.03825136612021858,0.03278688524590164,0.3363636363636363,0.5068493150684932,0.24,7.32,2.96,225.5,225.5
Oliver Crawford,2,1,1,0.4088397790055248,0.4342105263157895,0.11602209944751381,0.04419889502762431,0.28181818181818186,0.6056338028169015,0.3103448275862069,6.241379310344827,2.5517241379310347,179.0,179.0
Rio Noguchi,2,0,2,0.4098360655737705,0.4011976047904192,0.04371584699453552,0.04371584699453552,0.33913043478260874,0.5294117647058824,0.24,7.32,3.0,229.5,229.5
Sho Shimabukuro,3,2,1,0.3919597989949749,0.4011299435028248,0.07537688442211055,0.035175879396984924,0.3025210084033614,0.525,0.2903225806451613,6.419354838709677,2.5161290322580645,130.0,133.0
Stefanos Sakellaridis,3,2,1,0.35398230088495575,0.34928229665071775,0.04424778761061947,0.030973451327433628,0.28873239436619713,0.4642857142857143,0.15625,7.0625,2.5,196.0,319.0
Tomas Barrios Vera,1,0,1,0.3943661971830986,0.4117647058823529,0.04225352112676056,0.0,0.38888888888888884,0.4117647058823529,0.3076923076923077,5.461538461538462,2.1538461538461537,99.0,99.0
Yu Hsiou Hsu,2,1,1,0.31707317073170727,0.33333333333333337,0.0975609756097561,0.024390243902439025,0.25,0.46153846153846156,0.10526315789473684,6.473684210526316,2.0526315789473686,260.0,260.0
