player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alejandro Moro Canas,27,17,10,0.3733463988241058,0.38210075026795287,0.061734443900048994,0.0240078392944635,0.29844961240310075,0.5019973368841545,0.21766561514195584,6.438485804416404,2.4037854889589907,265.0,378.7307692307692
Alex Barrena,1,0,1,0.37735849056603776,0.3695652173913043,0.07547169811320754,0.05660377358490566,0.14814814814814814,0.6153846153846154,0.25,6.625,2.5,241.0,241.0
Alexis Galarneau,42,24,18,0.38172391445236553,0.39027982326951394,0.08165910563836681,0.03823720025923526,0.2944,0.5169281585466556,0.24740124740124741,6.415800415800415,2.449064449064449,237.5,314.1904761904762
Andre Ilagan,60,34,26,0.3878205128205128,0.40494629028228823,0.1032051282051282,0.04145299145299145,0.2847826086956522,0.5359375,0.25702247191011235,6.573033707865169,2.5491573033707864,310.5,399.3333333333333
Bernard Tomic,39,23,16,0.3801680672268908,0.390539483971853,0.0957983193277311,0.044369747899159664,0.3079488604780434,0.4906462585034014,0.2345132743362832,6.581858407079646,2.502212389380531,321.5,391.875
Clement Chidekh,44,28,16,0.41356228172293363,0.4305464121132324,0.0829452852153667,0.03288707799767171,0.33996299722479184,0.5384615384615384,0.28884462151394424,6.844621513944223,2.8306772908366535,264.0,291.02272727272725
Dan Added,39,19,20,0.36647926914968376,0.37554585152838427,0.08081517919887561,0.03408292340126493,0.292368125701459,0.4906015037593985,0.19168591224018475,6.572748267898383,2.4087759815242493,307.0,327.325
Daniel Rincon,13,8,5,0.40986908358509566,0.40130151843817785,0.03423967774420947,0.03726082578046324,0.33983739837398375,0.5238095238095238,0.304635761589404,6.576158940397351,2.6953642384105962,244.0,309.53846153846155
Daniil Glinka,46,30,16,0.37094458799885155,0.376406300225008,0.0720643123743899,0.03474016652311226,0.287329251059821,0.5014705882352941,0.2137546468401487,6.473977695167286,2.4014869888475836,251.0,369.7173913043478
Dimitar Kuzmanov,25,12,13,0.41377132027795327,0.41388888888888886,0.053063802905874924,0.037271004421983576,0.367827868852459,0.4876441515650741,0.31620553359683795,6.256916996047431,2.588932806324111,341.0,362.11538461538464
Duje Ajdukovic,19,10,9,0.3876525484565686,0.39319620253164556,0.06173725771715721,0.030868628858578606,0.32086167800453513,0.50293542074364,0.26785714285714285,6.21875,2.4107142857142856,250.0,316.42105263157896
Edas Butvilas,38,22,16,0.4004336826888327,0.3904761904761904,0.044452475605348755,0.04481387784604265,0.32815301852958756,0.5109689213893966,0.2789598108747045,6.541371158392435,2.619385342789598,248.5,312.6578947368421
Facundo Diaz Acosta,5,3,2,0.4114285714285715,0.39682539682539686,0.045714285714285714,0.054285714285714284,0.31840796019900497,0.5369127516778524,0.28,7.0,2.88,485.0,575.8
Fajing Sun,47,24,23,0.38727168949771684,0.4024592888002658,0.09960045662100457,0.041666666666666664,0.2953020134228188,0.5225669957686883,0.24293785310734464,6.598870056497175,2.5555555555555554,335.0,416.1489361702128
Federico Agustin Gomez,14,9,5,0.3913452492944497,0.38181818181818183,0.03292568203198495,0.03574788334901223,0.33282904689863846,0.48756218905472637,0.26582278481012656,6.727848101265823,2.632911392405063,419.0,528.7692307692307
Frederico Ferreira Silva,27,18,9,0.4191435768261965,0.4240362811791383,0.0690176322418136,0.04231738035264484,0.33582709891936824,0.5473145780051151,0.31986531986531985,6.683501683501683,2.8013468013468015,263.0,310.037037037037
Gonzalo Villanueva,4,2,2,0.3754646840148699,0.35245901639344257,0.03717472118959108,0.055762081784386616,0.2748538011695907,0.5510204081632653,0.26666666666666666,5.977777777777778,2.2444444444444445,316.0,313.75
Harry Wendelken,40,27,13,0.44001307616868257,0.45025792188651437,0.07224583197123242,0.040536122915985615,0.35759162303664926,0.577023498694517,0.35667396061269147,6.693654266958425,2.9452954048140043,314.0,336.2
Henri Squire,12,6,6,0.34231200897867564,0.37516170763260026,0.11560044893378227,0.016835016835016835,0.2852233676975945,0.44983818770226536,0.17518248175182483,6.5036496350364965,2.2262773722627736,259.5,277.9166666666667
Henrique Rocha,12,6,6,0.37247924080664296,0.35989717223650386,0.036773428232502965,0.04033214709371293,0.31462925851703405,0.45639534883720934,0.22695035460992907,5.9787234042553195,2.226950354609929,247.5,312.4166666666667
Hynek Barton,15,8,7,0.3965375103050288,0.3823008849557522,0.028029678483099753,0.0403957131079967,0.3306451612903226,0.5010660980810235,0.24571428571428572,6.9314285714285715,2.7485714285714287,231.0,291.93333333333334
Ilia Simakin,43,29,14,0.38188002473716764,0.3785738890802618,0.06029684601113173,0.042053184910327765,0.3054455445544555,0.5090609555189456,0.22924901185770752,6.391304347826087,2.440711462450593,326.0,376.0
Jan Choinski,5,2,3,0.33810888252148996,0.3728813559322034,0.1318051575931232,0.022922636103151862,0.25,0.4883720930232558,0.15789473684210525,6.12280701754386,2.0701754385964914,199.0,255.2
Jay Clarke,23,14,9,0.4033564814814815,0.40771175726927944,0.05439814814814815,0.03009259259259259,0.35008976660682223,0.5,0.28627450980392155,6.776470588235294,2.7333333333333334,446.0,528.5217391304348
