player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alexis Galarneau,7,5,2,0.7142857142857143,0.631404958677686,0.6488970588235294,29.0,0.047933884297520664,32.0,0.05289256198347107,0.12167300380228137,0.5652892561983471,0.7105263157894737,0.5285171102661597,0.6017316017316018,0.7446808510638298,6.4361702127659575,2.372340425531915
Andre Ilagan,2,1,1,0.5,0.5524861878453039,0.5523255813953488,5.0,0.027624309392265192,4.0,0.022099447513812154,0.06666666666666667,0.6685082872928176,0.6115702479338843,0.43333333333333335,0.4642857142857143,0.6538461538461539,6.961538461538462,3.1153846153846154
Bernard Tomic,3,1,2,0.3333333333333333,0.6305220883534136,0.6363636363636364,10.0,0.040160642570281124,8.0,0.0321285140562249,0.08163265306122448,0.606425702811245,0.7019867549668874,0.5204081632653061,0.5666666666666667,0.7692307692307693,6.384615384615385,2.358974358974359
Clement Chidekh,7,4,3,0.5714285714285714,0.6422594142259415,0.6704805491990846,14.0,0.029288702928870293,27.0,0.056485355648535567,0.14285714285714285,0.604602510460251,0.7301038062283737,0.5079365079365079,0.5925925925925926,0.8,5.975,2.1375
Daniil Glinka,2,0,2,0.0,0.5759493670886076,0.5338345864661654,20.0,0.12658227848101267,5.0,0.03164556962025317,0.07575757575757576,0.5822784810126582,0.717391304347826,0.3787878787878788,0.4098360655737705,0.6923076923076923,6.076923076923077,2.576923076923077
Henrique Rocha,1,0,1,0.0,0.53125,0.5245901639344263,2.0,0.03125,1.0,0.015625,0.045454545454545456,0.65625,0.5952380952380952,0.4090909090909091,0.42857142857142855,0.5555555555555556,7.111111111111111,3.3333333333333335
Jay Clarke,2,1,1,0.5,0.6745562130177515,0.6827586206896552,15.0,0.08875739644970414,9.0,0.05325443786982249,0.1111111111111111,0.5207100591715976,0.7727272727272727,0.5679012345679012,0.6388888888888888,0.8518518518518519,6.2592592592592595,2.037037037037037
Jurij Rodionov,5,4,1,0.8,0.6733333333333333,0.6768060836501901,24.0,0.08,13.0,0.043333333333333335,0.13402061855670103,0.6766666666666666,0.729064039408867,0.5567010309278351,0.6428571428571429,0.875,6.25,2.0416666666666665
Mark Lajal,5,2,3,0.4,0.6163141993957704,0.6056338028169014,32.0,0.09667673716012085,15.0,0.045317220543806644,0.12096774193548387,0.6253776435045317,0.7246376811594203,0.43548387096774194,0.4954128440366973,0.75,6.365384615384615,2.4423076923076925
Nicolas Mejia,2,1,1,0.5,0.5885714285714285,0.5833333333333334,12.0,0.06857142857142857,7.0,0.04,0.10144927536231885,0.6057142857142858,0.6698113207547169,0.463768115942029,0.5161290322580645,0.76,7.0,2.88
Oliver Crawford,2,1,1,0.5,0.5781990521327014,0.5939086294416244,5.0,0.023696682464454975,9.0,0.04265402843601896,0.11392405063291139,0.6255924170616114,0.6515151515151515,0.45569620253164556,0.5142857142857142,0.75,7.535714285714286,3.1785714285714284
Otto Virtanen,9,7,2,0.7777777777777778,0.7044270833333334,0.6638078902229846,154.0,0.20052083333333334,31.0,0.040364583333333336,0.09841269841269841,0.58984375,0.8278145695364238,0.526984126984127,0.5845070422535211,0.963963963963964,6.918918918918919,2.045045045045045
Rio Noguchi,2,0,2,0.0,0.5822784810126582,0.5921052631578947,2.0,0.012658227848101266,4.0,0.02531645569620253,0.08695652173913043,0.7088607594936709,0.625,0.4782608695652174,0.5238095238095238,0.64,6.32,2.64
Stefanos Sakellaridis,3,2,1,0.6666666666666666,0.6355140186915887,0.6461538461538462,10.0,0.04672897196261682,9.0,0.04205607476635514,0.0967741935483871,0.5654205607476636,0.6942148760330579,0.5591397849462365,0.6190476190476191,0.7428571428571429,6.114285714285714,2.2285714285714286
Tomas Barrios Vera,1,0,1,0.0,0.5714285714285714,0.5714285714285714,4.0,0.05194805194805195,3.0,0.03896103896103896,0.1111111111111111,0.6493506493506493,0.64,0.4444444444444444,0.5,0.6153846153846154,5.923076923076923,2.5384615384615383
Tyler Zink,1,0,1,0.0,0.5471698113207547,0.5576923076923077,0.0,0.0,1.0,0.018867924528301886,0.058823529411764705,0.6792452830188679,0.5833333333333334,0.47058823529411764,0.5,0.625,6.625,3.0
Yu Hsiou Hsu,2,1,1,0.5,0.6875,0.6991869918699187,2.0,0.015625,3.0,0.0234375,0.07142857142857142,0.671875,0.8372093023255814,0.38095238095238093,0.41025641025641024,0.9,6.4,2.0
