player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alejandro Davidovich Fokina,10,5,5,0.358,0.3553191489361702,0.036,0.024,0.2911392405063291,0.47282608695652173,0.2235294117647059,5.882352941176471,2.1058823529411765,73.5,61.5
Alejandro Tabilo,25,15,10,0.37316176470588236,0.38973647711511794,0.08762254901960784,0.028799019607843136,0.30694037145650044,0.4844006568144499,0.22088353413654618,6.554216867469879,2.4457831325301207,72.0,110.92592592592592
Alex De Minaur,13,7,6,0.39637599093997733,0.3952380952380953,0.028312570781426953,0.020385050962627407,0.32358318098720296,0.5148809523809523,0.2631578947368421,6.639097744360902,2.6315789473684212,32.0,55.357142857142854
Alex Michelsen,12,6,6,0.3810316139767055,0.39439252336448594,0.07986688851913477,0.029950083194675542,0.28767123287671237,0.5254237288135593,0.21978021978021978,6.604395604395604,2.5164835164835164,71.5,69.83333333333333
Alexander Blockx,21,15,6,0.35895721925133695,0.35222381635581057,0.0374331550802139,0.03074866310160428,0.2874186550976139,0.4738675958188153,0.19583333333333333,6.233333333333333,2.2375,31.5,78.5
Alexander Bublik,16,8,8,0.3357215967246674,0.3474178403755869,0.09518935516888434,0.032753326509723645,0.24958677685950414,0.47580645161290325,0.18404907975460122,5.993865030674846,2.0122699386503067,80.0,82.1875
Alexander Zverev,24,20,4,0.40198511166253104,0.3978494623655914,0.04218362282878412,0.034739454094292806,0.31359353970390313,0.5429184549356223,0.30158730158730157,6.396825396825397,2.5714285714285716,38.5,43.916666666666664
Andrey Rublev,22,16,6,0.3918813427010148,0.389554794520548,0.05152224824355972,0.03669008587041374,0.33210784313725494,0.49677419354838714,0.2755102040816326,6.535714285714286,2.561224489795918,50.5,59.13636363636363
Arthur Fils,11,9,2,0.37244201909959074,0.38484398216939075,0.06275579809004093,0.019099590723055934,0.30977130977130973,0.4920634920634921,0.22807017543859648,6.4298245614035086,2.3947368421052633,33.0,47.81818181818182
Arthur Rinderknech,15,8,7,0.3641975308641975,0.36089385474860336,0.047325102880658436,0.03189300411522634,0.29888712241653415,0.4839650145772595,0.1780821917808219,6.657534246575342,2.4246575342465753,60.0,85.13333333333334
Ben Shelton,13,8,5,0.31879543094496365,0.3169642857142857,0.04569055036344756,0.023883696780893044,0.23063380281690138,0.4455696202531646,0.1,6.42,2.046666666666667,84.0,95.92307692307692
Brandon Nakashima,10,5,5,0.3772727272727273,0.39682539682539686,0.10454545454545454,0.03636363636363636,0.29588014981273403,0.5028901734104047,0.25333333333333335,5.866666666666666,2.2133333333333334,87.5,80.9
Cameron Norrie,11,5,6,0.3634085213032582,0.3653846153846154,0.05764411027568922,0.03007518796992481,0.2896995708154506,0.4668674698795181,0.2047244094488189,6.283464566929134,2.283464566929134,55.0,52.36363636363637
Carlos Alcaraz,6,5,1,0.45959595959595956,0.44946808510638303,0.017676767676767676,0.03282828282828283,0.4041666666666667,0.5448717948717949,0.423728813559322,6.711864406779661,3.0847457627118646,30.0,44.0
Casper Ruud,23,17,6,0.4313099041533547,0.4285714285714286,0.03514376996805112,0.031150159744408944,0.3307493540051679,0.5941422594142259,0.3298429319371728,6.554973821989528,2.8272251308900525,42.0,45.91304347826087
Daniel Merida Aguilar,16,11,5,0.42587832047986285,0.41735159817351597,0.027420736932305057,0.03427592116538132,0.37297297297297294,0.5175644028103045,0.33879781420765026,6.377049180327869,2.7158469945355193,78.5,132.4375
Daniil Medvedev,9,5,4,0.403755868544601,0.3990066225165563,0.028169014084507043,0.026604068857589983,0.36049382716049383,0.4786324786324786,0.27835051546391754,6.587628865979381,2.6597938144329896,79.5,73.4
Denis Shapovalov,7,2,5,0.3368146214099217,0.323943661971831,0.03655352480417755,0.03655352480417755,0.30350194552529186,0.40476190476190477,0.16923076923076924,5.892307692307693,1.9846153846153847,91.0,90.0
Felix Auger Aliassime,13,8,5,0.36007130124777187,0.35238095238095235,0.0338680926916221,0.030303030303030304,0.2994505494505495,0.47208121827411165,0.18823529411764706,6.6,2.376470588235294,51.0,51.46153846153846
Flavio Cobolli,21,14,7,0.3771486349848332,0.3692992213570634,0.04954499494438827,0.041456016177957536,0.2889245585874799,0.5273224043715847,0.2064516129032258,6.380645161290323,2.4064516129032256,62.0,64.36363636363636
Frances Tiafoe,11,7,4,0.37745098039215685,0.39629629629629626,0.08986928104575163,0.027777777777777776,0.2983425414364641,0.492,0.23655913978494625,6.580645161290323,2.4838709677419355,99.0,103.9090909090909
Francisco Cerundolo,23,15,8,0.43977812995245646,0.43511450381679384,0.03248811410459588,0.03328050713153724,0.3649350649350649,0.556910569105691,0.37967914438502676,6.748663101604278,2.9679144385026737,60.0,73.8695652173913
Hubert Hurkacz,8,4,4,0.3837429111531191,0.3904382470119522,0.03780718336483932,0.013232514177693762,0.34769230769230774,0.4411764705882353,0.19736842105263158,6.9605263157894735,2.6710526315789473,32.0,44.25
Ignacio Buse,26,16,10,0.38034425319267073,0.3764988009592326,0.0421987784564131,0.03164908384230983,0.31433659839715045,0.4896755162241888,0.2671232876712329,6.167808219178082,2.345890410958904,54.5,75.76923076923077
Jakub Mensik,12,8,4,0.3278688524590164,0.3387978142076503,0.1053864168618267,0.03747072599531616,0.23106060606060608,0.48466257668711654,0.11940298507462686,6.373134328358209,2.08955223880597,34.0,44.916666666666664
Jan Lennard Struff,9,4,5,0.34553775743707094,0.3395225464190982,0.08466819221967964,0.05263157894736842,0.24087591240875916,0.5214723926380368,0.19718309859154928,6.154929577464789,2.1267605633802815,47.0,60.333333333333336
Jannik Sinner,19,18,1,0.44932735426008974,0.44466209598432904,0.042152466367713005,0.042152466367713005,0.3966817496229261,0.5265486725663717,0.375,6.636904761904762,2.982142857142857,34.0,54.526315789473685
Jiri Lehecka,10,6,4,0.34615384615384615,0.34410339256865907,0.05325443786982249,0.03106508875739645,0.26888888888888884,0.5,0.1523809523809524,6.438095238095238,2.2285714285714286,38.0,46.4
Joao Fonseca,17,10,7,0.3632478632478633,0.36749116607773846,0.06303418803418803,0.029914529914529916,0.27068965517241383,0.5140449438202247,0.21052631578947367,6.157894736842105,2.236842105263158,43.5,62.388888888888886
Juan Manuel Cerundolo,21,10,11,0.3697798025816249,0.363788767812238,0.053910402429764616,0.040242976461655276,0.28167281672816724,0.5119047619047619,0.215311004784689,6.301435406698564,2.3301435406698565,59.0,66.0952380952381
Karen Khachanov,13,7,6,0.36387782204515273,0.36959761549925485,0.07436918990703852,0.034528552456839307,0.2763157894736842,0.49831649831649827,0.1794871794871795,6.435897435897436,2.341880341880342,79.0,73.38461538461539
Learner Tien,13,9,4,0.41235813366960905,0.4065484311050478,0.03909205548549811,0.03656998738965952,0.3618677042801557,0.5053763440860215,0.2796610169491525,6.720338983050848,2.7711864406779663,77.0,73.23076923076923
Lorenzo Musetti,10,6,4,0.3577235772357723,0.343859649122807,0.03414634146341464,0.03902439024390244,0.29442970822281167,0.45798319327731096,0.21782178217821782,6.089108910891089,2.1782178217821784,30.5,40.5
Luca Van Assche,12,9,3,0.430379746835443,0.4338422391857506,0.05753739930955121,0.0379746835443038,0.33532934131736525,0.5597826086956521,0.3533834586466165,6.533834586466165,2.81203007518797,88.0,92.75
Luciano Darderi,33,22,11,0.3992281303602059,0.4009389671361502,0.05360205831903945,0.0330188679245283,0.33515731874145005,0.506896551724138,0.28160919540229884,6.7011494252873565,2.675287356321839,66.5,70.11764705882354
Mariano Navone,27,17,10,0.4494142705005325,0.4441926345609065,0.028221512247071354,0.03194888178913738,0.38111888111888115,0.555858310626703,0.37992831541218636,6.731182795698925,3.025089605734767,49.0,64.22222222222223
Matteo Arnaldi,12,8,4,0.3679727427597955,0.3601462522851919,0.03577512776831346,0.03236797274275979,0.3054830287206266,0.4852941176470589,0.20652173913043478,6.380434782608695,2.347826086956522,62.0,77.6923076923077
Matteo Berrettini,17,9,8,0.36900369003690037,0.36973684210526314,0.041820418204182044,0.023370233702337023,0.3159922928709056,0.4625850340136054,0.1774193548387097,6.556451612903226,2.4193548387096775,85.0,89.17647058823529
Novak Djokovic,4,2,2,0.34615384615384615,0.34246575342465757,0.038461538461538464,0.02564102564102564,0.3111111111111111,0.3939393939393939,0.15384615384615385,6.0,2.076923076923077,76.5,66.5
Nuno Borges,18,8,10,0.3945885005636979,0.3928571428571429,0.0496054114994363,0.03494926719278467,0.33150183150183155,0.49560117302052786,0.25,6.71969696969697,2.6515151515151514,54.0,130.55555555555554
Rafael Jodar,23,19,4,0.437962202136401,0.4275491949910555,0.036154478225143796,0.04519309778142974,0.38219178082191785,0.5215605749486654,0.3532608695652174,6.614130434782608,2.8967391304347827,55.0,57.30434782608695
Raphael Collignon,13,9,4,0.32981927710843373,0.33114754098360655,0.05572289156626506,0.025602409638554216,0.2674418604651163,0.4444444444444444,0.12380952380952381,6.3238095238095235,2.085714285714286,83.0,194.53846153846155
Taylor Fritz,2,0,2,0.23636363636363633,0.23404255319148937,0.10909090909090909,0.03636363636363636,0.22580645161290325,0.25,0.0,5.5,1.3,104.5,104.5
Thiago Agustin Tirante,22,15,7,0.37366003062787134,0.37052810902896083,0.06049004594180704,0.04058192955589587,0.30569306930693074,0.4839357429718876,0.23786407766990292,6.339805825242719,2.3689320388349513,66.0,68.6086956521739
Tomas Martin Etcheverry,28,18,10,0.36281070745697896,0.36521282186022075,0.05975143403441682,0.030592734225621414,0.29005315110098706,0.4864516129032258,0.20180722891566266,6.301204819277109,2.286144578313253,69.5,74.75
Tommy Paul,16,12,4,0.4091350826044704,0.4097859327217125,0.028182701652089408,0.0184645286686103,0.3660714285714286,0.4901960784313726,0.3092105263157895,6.769736842105263,2.7697368421052633,61.0,61.625
Ugo Humbert,10,5,5,0.3572679509632224,0.3634615384615385,0.06304728546409807,0.02626970227670753,0.29558011049723754,0.46411483253588515,0.1956521739130435,6.206521739130435,2.217391304347826,56.0,91.4
Valentin Vacherot,10,6,4,0.37453646477132263,0.38,0.08899876390605686,0.04573547589616811,0.3036093418259024,0.47337278106508873,0.19672131147540983,6.631147540983607,2.4836065573770494,51.0,78.45454545454545
Zizou Bergs,8,3,5,0.36340206185567014,0.3670520231213873,0.07216494845360824,0.03608247422680412,0.3138075313807531,0.4429530201342282,0.2318840579710145,5.6231884057971016,2.0434782608695654,44.5,60.625
