player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alejandro Davidovich Fokina,12,9,3,0.3851992409867173,0.39713971397139713,0.09487666034155598,0.04269449715370019,0.3090332805071315,0.49881796690307334,0.22012578616352202,6.628930817610063,2.5534591194968552,57.5,60.583333333333336
Alejandro Tabilo,3,0,3,0.27638190954773867,0.3195266272189349,0.1457286432160804,0.005025125628140704,0.2137404580152672,0.3970588235294118,0.058823529411764705,5.852941176470588,1.6176470588235294,62.0,70.33333333333333
Alex De Minaur,11,8,3,0.4388888888888889,0.437192118226601,0.05333333333333334,0.044444444444444446,0.348294434470377,0.5860058309037901,0.3656716417910448,6.7164179104477615,2.9477611940298507,65.0,61.18181818181818
Alex Michelsen,1,0,1,0.3691275167785235,0.3560606060606061,0.06040268456375839,0.053691275167785234,0.2857142857142857,0.4769230769230769,0.13636363636363635,6.7727272727272725,2.5,159.0,159.0
Alexander Blockx,1,0,1,0.22962962962962963,0.22429906542056077,0.15555555555555556,0.05185185185185185,0.160377358490566,0.48275862068965514,0.043478260869565216,5.869565217391305,1.3478260869565217,3.0,3.0
Alexander Bublik,8,5,3,0.3146603098927294,0.34457478005865105,0.15256257449344457,0.03456495828367104,0.22243713733075432,0.4627329192546584,0.1015625,6.5546875,2.0625,75.5,113.625
Alexander Zverev,11,9,2,0.33676975945017185,0.3552894211576846,0.10824742268041238,0.030927835051546393,0.2493438320209974,0.5024875621890548,0.14689265536723164,6.576271186440678,2.214689265536723,51.0,47.45454545454545
Andrey Rublev,2,0,2,0.22959183673469385,0.23976608187134507,0.10714285714285714,0.02040816326530612,0.15909090909090906,0.375,0.05714285714285714,5.6,1.2857142857142858,117.5,117.5
Arthur Fery,11,8,3,0.3828326180257511,0.3804878048780488,0.07210300429184549,0.048068669527897,0.30601092896174864,0.5127020785219399,0.24293785310734464,6.581920903954802,2.519774011299435,45.0,69.72727272727273
Arthur Fils,2,1,1,0.36363636363636365,0.3771428571428571,0.11483253588516747,0.04784688995215311,0.2647058823529411,0.547945205479452,0.20588235294117646,6.147058823529412,2.235294117647059,47.0,47.0
Arthur Rinderknech,5,2,3,0.3048327137546468,0.30703624733475476,0.09107806691449814,0.03717472118959108,0.23563218390804597,0.43157894736842106,0.09411764705882353,6.329411764705882,1.9294117647058824,67.0,115.0
Ben Shelton,8,6,2,0.2965186074429772,0.3154929577464789,0.12004801920768307,0.027611044417767107,0.21535580524344566,0.44147157190635455,0.09848484848484848,6.3106060606060606,1.871212121212121,65.5,61.625
Brandon Nakashima,6,4,2,0.375,0.38979591836734695,0.11993243243243243,0.052364864864864864,0.24925816023738867,0.5411764705882354,0.23863636363636365,6.7272727272727275,2.522727272727273,54.5,59.333333333333336
Cameron Norrie,2,0,2,0.32113821138211385,0.34883720930232553,0.10975609756097561,0.016260162601626018,0.20945945945945943,0.4897959183673469,0.08108108108108109,6.648648648648648,2.135135135135135,83.0,83.0
Casper Ruud,1,0,1,0.2934782608695652,0.32432432432432434,0.16304347826086957,0.03260869565217391,0.18181818181818177,0.45945945945945943,0.06666666666666667,6.133333333333334,1.8,96.0,96.0
Daniel Merida Aguilar,2,1,1,0.38888888888888884,0.39267015706806285,0.07407407407407407,0.041666666666666664,0.26717557251908397,0.5764705882352941,0.23529411764705882,6.352941176470588,2.4705882352941178,34.0,34.0
Daniil Medvedev,9,6,3,0.40423031727379555,0.41475826972010177,0.055229142185663924,0.021151586368977675,0.3172541743970315,0.5544871794871795,0.2459016393442623,6.975409836065574,2.819672131147541,74.0,142.88888888888889
Denis Shapovalov,4,1,3,0.36187845303867405,0.34513274336283184,0.024861878453038673,0.03867403314917127,0.28099173553719003,0.525,0.17307692307692307,6.961538461538462,2.519230769230769,59.0,67.75
Felix Auger Aliassime,10,7,3,0.33333333333333337,0.32799145299145294,0.05,0.03235294117647059,0.2848837209302325,0.4337349397590361,0.1625,6.375,2.125,64.5,61.3
Flavio Cobolli,6,4,2,0.3491827637444279,0.3594771241830066,0.06835066864784546,0.022288261515601784,0.2806603773584906,0.46586345381526106,0.1941747572815534,6.533980582524272,2.2815533980582523,32.0,47.5
Frances Tiafoe,11,9,2,0.33872598584428715,0.3754693366708386,0.15672396359959556,0.03538928210313448,0.2231139646869984,0.53551912568306,0.1987179487179487,6.339743589743589,2.1474358974358974,52.0,51.54545454545455
Francisco Cerundolo,6,5,1,0.3930530164533821,0.40160642570281124,0.062157221206581355,0.027422303473491772,0.28955223880597014,0.5566037735849056,0.2926829268292683,6.670731707317073,2.6219512195121952,56.0,64.16666666666667
Hubert Hurkacz,7,4,3,0.33156498673740054,0.33333333333333337,0.09018567639257294,0.042440318302387266,0.2319474835886215,0.48484848484848486,0.15517241379310345,6.5,2.1551724137931036,74.0,55.714285714285715
Ignacio Buse,6,3,3,0.3444676409185804,0.35128805620608894,0.07724425887265135,0.031315240083507306,0.2679738562091504,0.47976878612716767,0.17105263157894737,6.302631578947368,2.1710526315789473,83.5,73.5
Jakub Mensik,3,1,2,0.3411214953271028,0.3350253807106599,0.04672897196261682,0.03271028037383177,0.28515625,0.42441860465116277,0.16666666666666666,6.484848484848484,2.212121212121212,123.0,104.33333333333333
Jan Lennard Struff,9,6,3,0.31894934333958724,0.35260115606936415,0.15572232645403378,0.03283302063789869,0.21294964028776975,0.5175202156334231,0.12574850299401197,6.383233532934132,2.035928143712575,53.0,55.888888888888886
Jannik Sinner,7,7,0,0.3671970624235006,0.37449664429530205,0.06242350061199511,0.025703794369645042,0.2656546489563567,0.5517241379310345,0.2032520325203252,6.642276422764228,2.4390243902439024,50.0,59.285714285714285
Jiri Lehecka,9,6,3,0.3386243386243386,0.34684147794994036,0.08148148148148149,0.030687830687830688,0.2755775577557755,0.4513274336283186,0.15384615384615385,6.608391608391608,2.237762237762238,47.0,56.888888888888886
Joao Fonseca,4,2,2,0.35649546827794565,0.36,0.0634441087613293,0.030211480362537766,0.2544642857142857,0.5700934579439252,0.1568627450980392,6.490196078431373,2.3137254901960786,102.5,111.75
Karen Khachanov,4,2,2,0.3874458874458875,0.39608801955990225,0.07792207792207792,0.0367965367965368,0.28205128205128205,0.5396825396825398,0.21428571428571427,6.6,2.557142857142857,61.0,71.75
Learner Tien,4,2,2,0.38095238095238093,0.3905472636815921,0.08874458874458875,0.04112554112554113,0.2968197879858657,0.5139664804469274,0.23880597014925373,6.895522388059701,2.626865671641791,94.0,132.0
Luca Van Assche,1,0,1,0.39473684210526316,0.38888888888888884,0.02631578947368421,0.02631578947368421,0.30434782608695654,0.5333333333333333,0.16666666666666666,6.333333333333333,2.5,76.0,76.0
Luciano Darderi,3,1,2,0.2626728110599078,0.2947976878612717,0.17511520737327188,0.027649769585253458,0.17567567567567566,0.4492753623188406,0.08108108108108109,5.864864864864865,1.5405405405405406,53.0,51.666666666666664
Mariano Navone,2,0,2,0.38617886178861793,0.41150442477876104,0.07317073170731707,0.008130081300813009,0.26388888888888884,0.5588235294117647,0.2647058823529412,7.235294117647059,2.7941176470588234,41.0,41.0
