player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alejandro Davidovich Fokina,32,19,13,0.35729298024379996,0.38040775733465937,0.11895754518705338,0.03572929802437999,0.2648037258815702,0.5159817351598174,0.20052770448548812,6.277044854881266,2.242744063324538,49.5,54.9375
Alejandro Tabilo,26,14,12,0.31837160751565763,0.34253450439146804,0.13465553235908143,0.033402922755741124,0.22708505367464904,0.475177304964539,0.13924050632911392,6.063291139240507,1.9303797468354431,42.5,53.30769230769231
Alex De Minaur,50,34,16,0.3961763143919278,0.408816425120773,0.08390865639936272,0.03664365374402549,0.30306960657155213,0.5443909153475568,0.25486725663716814,6.665486725663717,2.64070796460177,42.0,65.34
Alex Michelsen,34,19,15,0.36189747513389436,0.37367021276595747,0.09755164498852334,0.03940321346595256,0.261166253101737,0.5239520958083832,0.18765432098765433,6.454320987654321,2.3358024691358024,42.0,53.970588235294116
Alexander Blockx,9,5,4,0.3533519553072626,0.3463855421686747,0.040502793296089384,0.03212290502793296,0.30593607305936077,0.42805755395683454,0.15454545454545454,6.509090909090909,2.3,132.5,122.6
Alexander Bublik,39,26,13,0.3394173394173394,0.3552578156719448,0.10319410319410319,0.03229203229203229,0.2636312535132097,0.4654205607476636,0.15894039735099338,6.289183222958058,2.1346578366445916,62.0,81.73684210526316
Alexander Zverev,44,29,15,0.3468258590564939,0.355702479338843,0.0856144437973209,0.03348864298194525,0.2702099151406878,0.4903765690376569,0.17929759704251386,6.347504621072089,2.201478743068392,29.0,38.355555555555554
Andrey Rublev,28,15,13,0.36,0.3724465558194774,0.09525773195876289,0.036701030927835054,0.29276315789473684,0.4729281767955801,0.20266666666666666,6.466666666666667,2.328,43.0,72.32142857142857
Arthur Fery,5,2,3,0.3495145631067961,0.3566176470588235,0.08414239482200647,0.03559870550161812,0.301980198019802,0.4392523364485982,0.1702127659574468,6.574468085106383,2.297872340425532,51.0,133.2
Arthur Fils,23,16,7,0.3531645569620253,0.36245487364620943,0.0879746835443038,0.035443037974683546,0.26782077393075354,0.49331103678929766,0.21161825726141079,6.556016597510373,2.315352697095436,25.0,52.21739130434783
Arthur Rinderknech,32,18,14,0.3183460457647531,0.3207885304659498,0.07306302689682859,0.03091128061019671,0.24501607717041796,0.44017094017094016,0.14603960396039603,6.165841584158416,1.9628712871287128,40.0,56.484848484848484
Ben Shelton,36,24,12,0.33310510099281065,0.3378274268104776,0.07839780896953098,0.0328654570352619,0.2557773109243697,0.47787610619469023,0.16595744680851063,6.214893617021277,2.070212765957447,33.5,47.611111111111114
Brandon Nakashima,42,25,17,0.33728710462287104,0.3564781675017895,0.11587591240875912,0.034367396593673966,0.256712199717381,0.4841201716738197,0.15851272015655576,6.4344422700587085,2.1702544031311155,51.0,58.642857142857146
Cameron Norrie,43,27,16,0.36858698767555176,0.3921634293369055,0.11120664946976211,0.03296073373459444,0.2779850746268657,0.5130111524163569,0.20825515947467166,6.545966228893058,2.4127579737335836,63.0,89.74418604651163
Carlos Alcaraz,39,34,5,0.4083946078431373,0.41596212377409536,0.0625,0.03155637254901961,0.33413926499032887,0.5367892976588629,0.2889344262295082,6.688524590163935,2.7315573770491803,21.0,28.564102564102566
Casper Ruud,32,19,13,0.34875,0.36309226932668326,0.11916666666666667,0.04541666666666667,0.2564102564102564,0.4879832810867294,0.18652849740932642,6.217616580310881,2.16839378238342,54.0,59.03125
Daniel Merida Aguilar,6,4,2,0.4033018867924528,0.39230769230769236,0.03773584905660377,0.04245283018867924,0.303030303030303,0.56875,0.3230769230769231,6.523076923076923,2.6307692307692307,43.0,68.5
Daniil Medvedev,46,34,12,0.4143995603187689,0.4184002343978904,0.04012091233855455,0.021984061555372355,0.34854245880861845,0.5369496855345912,0.3030852994555354,6.604355716878403,2.736842105263158,42.5,58.541666666666664
Denis Shapovalov,31,17,14,0.3892508143322475,0.37631578947368416,0.03175895765472313,0.039902280130293157,0.3050624589086127,0.5262032085561497,0.25263157894736843,6.463157894736842,2.5157894736842104,69.0,95.58064516129032
Felix Auger Aliassime,48,36,12,0.3554860568152203,0.36231462634486766,0.07297367735209799,0.030753192598384153,0.29097531363820317,0.47218155197657397,0.1783876500857633,6.58147512864494,2.339622641509434,43.0,61.666666666666664
Flavio Cobolli,34,18,16,0.34189473684210525,0.3493635077793493,0.07705263157894737,0.029894736842105262,0.2625348189415042,0.46325878594249204,0.17506631299734748,6.29973474801061,2.1538461538461537,57.5,76.76470588235294
Frances Tiafoe,32,18,14,0.34917267713194744,0.38280450358239504,0.1391599490878235,0.03182011030971574,0.2630890052356021,0.5078407720144753,0.2020997375328084,6.186351706036746,2.1601049868766404,54.5,73.28125
Francisco Cerundolo,28,15,13,0.38095238095238093,0.3827160493827161,0.06025267249757046,0.034499514091350825,0.30448465774980327,0.5044472681067345,0.23780487804878048,6.274390243902439,2.3902439024390243,43.0,71.25
Ignacio Buse,3,0,3,0.30364372469635625,0.29074889867841414,0.044534412955465584,0.03643724696356275,0.23750000000000004,0.4252873563218391,0.05128205128205128,6.333333333333333,1.9230769230769231,37.0,39.666666666666664
Jakub Mensik,38,25,13,0.36673483299250176,0.370105421686747,0.06305385139740968,0.03169734151329243,0.2928176795580111,0.4857651245551602,0.20758928571428573,6.549107142857143,2.4017857142857144,49.5,83.125
Jan Lennard Struff,20,8,12,0.3551839464882943,0.3646237393328161,0.09698996655518395,0.04080267558528428,0.2541073384446878,0.5137457044673539,0.1774891774891775,6.471861471861472,2.2987012987012987,53.5,82.95
Jannik Sinner,50,46,4,0.4138406396470913,0.4242424242424242,0.07802591673559416,0.03942652329749104,0.32656587473002163,0.5678353658536586,0.3087971274685817,6.511669658886894,2.6947935368043088,24.5,32.12
Jaume Munar,28,16,12,0.3731495661051557,0.3720136518771331,0.06329760081674324,0.039305768249106685,0.2892976588628763,0.5045871559633027,0.22903225806451613,6.319354838709677,2.358064516129032,32.0,49.93103448275862
Jiri Lehecka,38,24,14,0.3626117372716673,0.36907953529937443,0.08861251457442675,0.041585697629226585,0.2861538461538462,0.49367088607594933,0.2,6.597435897435897,2.3923076923076922,50.0,83.76315789473684
Joao Fonseca,22,15,7,0.3533980582524272,0.3630188679245283,0.10032362459546926,0.042071197411003236,0.26604554865424435,0.49913644214162345,0.1951219512195122,6.280487804878049,2.2195121951219514,24.0,43.0
Karen Khachanov,25,10,15,0.34266958424507654,0.35215453194650814,0.08490153172866521,0.03150984682713348,0.25343953656770457,0.47898230088495575,0.17464788732394365,6.436619718309859,2.2056338028169016,71.0,88.44
Learner Tien,47,33,14,0.38642437199358637,0.40605143721633885,0.08898984500267237,0.02779262426509888,0.30471029595664856,0.5323901712583767,0.25728987993138935,6.41852487135506,2.4802744425385934,47.0,67.14893617021276
Lorenzo Musetti,44,29,15,0.38095238095238093,0.3945489941596366,0.07723577235772358,0.027874564459930314,0.2926383173296754,0.5346062052505967,0.24584103512014788,6.365988909426987,2.425138632162662,41.5,52.04545454545455
Luciano Darderi,25,11,14,0.3498721227621483,0.3779385171790235,0.12225063938618926,0.029156010230179028,0.2676282051282052,0.49504950495049505,0.1891025641025641,6.266025641025641,2.1923076923076925,82.0,84.2
