player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alejandro Davidovich Fokina,52,32,20,0.6153846153846154,0.6624563289438323,0.6563503649635036,217.0,0.0583176565439398,79.0,0.02123085192152647,0.06810344827586207,0.6882558452029024,0.7145646231940648,0.5474137931034483,0.5874190564292322,0.845360824742268,6.393470790378007,2.1580756013745703
Alejandro Tabilo,55,30,25,0.5454545454545454,0.6621870882740448,0.6476134354743666,315.0,0.08300395256916997,86.0,0.02266139657444005,0.06615384615384616,0.6574440052700923,0.7394789579158316,0.5138461538461538,0.5502471169686985,0.8447712418300654,6.200980392156863,2.0947712418300655
Alex De Minaur,72,47,25,0.6527777777777778,0.648107786804042,0.6513501742160279,280.0,0.05547850208044383,175.0,0.03467406380027739,0.08333333333333333,0.5839112343966713,0.7098744485917883,0.5614285714285714,0.6124675324675325,0.8276299112801014,6.396704689480355,2.2509505703422055
Alex Michelsen,48,26,22,0.5416666666666666,0.6406810035842294,0.633523681558616,259.0,0.07735961768219833,112.0,0.03345280764635603,0.09688581314878893,0.6547192353643967,0.7130474452554745,0.5034602076124568,0.5574712643678161,0.803030303030303,6.340909090909091,2.278409090909091
Alexander Blockx,33,21,12,0.6363636363636364,0.6609841146842309,0.6509139545251895,246.0,0.09531189461449051,92.0,0.03564509879891515,0.09037328094302555,0.6055792328554823,0.7696737044145874,0.49410609037328096,0.5431965442764579,0.8407960199004975,6.420398009950249,2.1766169154228856
Alexander Bublik,59,36,23,0.6101694915254238,0.6876621844774711,0.6667637634721818,626.0,0.1476763387591413,180.0,0.04246284501061571,0.12219959266802444,0.6525123849964615,0.7845263919016631,0.5057705363204344,0.5761794276875484,0.8840579710144928,6.143478260869565,1.9188405797101449
Alexander Zverev,79,58,21,0.7341772151898734,0.7016052880075543,0.6791044776119403,621.0,0.11728045325779037,118.0,0.022285174693106705,0.08043626448534424,0.7229461756373937,0.7560083594566354,0.5596455351056578,0.6085989621942179,0.8755555555555555,5.883333333333334,1.7555555555555555
Andrey Rublev,50,29,21,0.58,0.6582241630276565,0.6502167389129709,311.0,0.09053857350800583,125.0,0.036390101892285295,0.09356287425149701,0.6110625909752547,0.747498808956646,0.5179640718562875,0.5714285714285714,0.8324125230202578,6.3259668508287294,2.162062615101289
Arthur Fery,18,11,7,0.6111111111111112,0.6325263811297331,0.625250501002004,83.0,0.051520794537554315,31.0,0.019242706393544383,0.05040650406504065,0.6182495344506518,0.6897590361445783,0.5398373983739837,0.5684931506849316,0.7928286852589641,6.418326693227091,2.358565737051793
Arthur Fils,42,32,10,0.7619047619047619,0.6834607366226546,0.6807766990291262,214.0,0.07435719249478805,89.0,0.03092425295343989,0.08516746411483253,0.6369006254343293,0.7501363884342608,0.5665071770334928,0.6192468619246861,0.8663793103448276,6.202586206896552,1.9633620689655173
Arthur Rinderknech,49,25,24,0.5102040816326531,0.6817565735971808,0.6551047120418848,513.0,0.13906207644348062,120.0,0.03252914068853348,0.09029345372460497,0.6397397668744917,0.7711864406779662,0.5229495861550038,0.5748552522746071,0.88,6.415652173913044,2.0417391304347827
Ben Shelton,55,36,19,0.6545454545454545,0.7070207020702071,0.692063492063492,526.0,0.11836183618361837,138.0,0.031053105310531053,0.09643605870020965,0.677992799279928,0.7673415200796548,0.5800139762403913,0.6419180201082754,0.9037138927097662,6.112792297111417,1.7909215955983493
Brandon Nakashima,61,37,24,0.6065573770491803,0.6814017407237746,0.6435828877005347,568.0,0.13009619789280807,58.0,0.013284470911589555,0.0388739946380697,0.6582684379294549,0.7738343771746694,0.5033512064343163,0.5237099023709902,0.8701854493580599,6.228245363766049,1.9843081312410842
Cameron Norrie,55,31,24,0.5636363636363636,0.6485057471264368,0.6476070528967255,250.0,0.05747126436781609,130.0,0.029885057471264367,0.08217446270543616,0.6363218390804598,0.7084537572254336,0.5436156763590392,0.5922865013774105,0.8229166666666666,6.473214285714286,2.275297619047619
Carlos Alcaraz,38,32,6,0.8421052631578947,0.6767640769779045,0.673861852433281,182.0,0.06486101211689238,76.0,0.0270848182466144,0.08251900108577633,0.6717747683535281,0.7336870026525198,0.5602605863192183,0.6106508875739645,0.8888888888888888,6.235555555555556,2.0155555555555558
Casper Ruud,55,35,20,0.6363636363636364,0.6789069171648164,0.6716608224418233,278.0,0.07913464275547964,98.0,0.02789638485624822,0.08361774744027303,0.6663820096783376,0.73771892353695,0.5614334470989761,0.6126629422718808,0.8660869565217392,6.109565217391304,1.9617391304347827
Daniel Merida Aguilar,27,18,9,0.6666666666666666,0.6109181141439206,0.6176470588235294,76.0,0.03771712158808933,69.0,0.03424317617866005,0.10599078341013825,0.676923076923077,0.6700879765395894,0.4869431643625192,0.5446735395189003,0.7637540453074434,6.5210355987055015,2.5372168284789645
Daniil Medvedev,65,46,19,0.7076923076923077,0.6519688269073011,0.6524077242727939,510.0,0.10459392945036916,275.0,0.05639868744872847,0.15905147484094853,0.6454060705496308,0.748013981569749,0.47715442452284557,0.5674002751031637,0.8357050452781372,6.307891332470892,2.1953428201811125
Denis Shapovalov,41,19,22,0.4634146341463415,0.6244784422809457,0.6341973244147158,279.0,0.09700973574408901,205.0,0.07127955493741307,0.1722689075630252,0.586230876216968,0.7123368920521945,0.5,0.6040609137055838,0.7574468085106383,6.1191489361702125,2.297872340425532
Felix Auger Aliassime,68,48,20,0.7058823529411765,0.701895837873175,0.676657824933687,670.0,0.1460013074743953,149.0,0.03246894748311179,0.10060769750168805,0.6772717367618217,0.7853925353925354,0.5266711681296421,0.5855855855855856,0.9024064171122995,6.135026737967914,1.8288770053475936
Flavio Cobolli,63,38,25,0.6031746031746031,0.633890214797136,0.6279633620689655,325.0,0.07756563245823389,153.0,0.03651551312649165,0.0828819068255688,0.5594272076372315,0.7248293515358362,0.5184182015167931,0.5652687536916716,0.7922480620155039,6.496124031007752,2.378294573643411
Frances Tiafoe,57,37,20,0.6491228070175439,0.6604414261460102,0.6502157497303128,312.0,0.0756730536017463,103.0,0.024981809362114964,0.06156604901374776,0.5942275042444821,0.7440816326530613,0.5379557680812911,0.5732484076433121,0.8385579937304075,6.462382445141066,2.19435736677116
Francisco Cerundolo,56,34,22,0.6071428571428571,0.6175115207373272,0.6182732111176819,187.0,0.05069124423963134,120.0,0.03252914068853348,0.0814111261872456,0.6004337218758471,0.6844243792325057,0.5169606512890095,0.5627769571639586,0.7585585585585586,6.646846846846847,2.542342342342342
Hubert Hurkacz,32,16,16,0.5,0.695400077309625,0.6556741028128031,447.0,0.17278701198299187,78.0,0.03015075376884422,0.08378088077336197,0.6401236954000773,0.8007246376811594,0.5080558539205156,0.5545134818288394,0.8973747016706444,6.174224343675418,1.8806682577565632
