player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alejandro Davidovich Fokina,10,5,5,0.5,0.6003490401396161,0.5974499089253188,16.0,0.027923211169284468,8.0,0.013961605584642234,0.045454545454545456,0.6928446771378709,0.6397984886649875,0.5113636363636364,0.5357142857142857,0.7411764705882353,6.741176470588235,2.6941176470588237
Alejandro Tabilo,25,15,10,0.6,0.6686274509803921,0.6581013561741613,101.0,0.06601307189542484,28.0,0.018300653594771243,0.05223880597014925,0.6496732026143791,0.7474849094567404,0.5223880597014925,0.5511811023622047,0.8392156862745098,6.0,1.988235294117647
Alex De Minaur,13,7,6,0.5384615384615384,0.6015452538631346,0.6167452830188679,22.0,0.024282560706401765,36.0,0.039735099337748346,0.08372093023255814,0.5253863134657837,0.6827731092436975,0.5116279069767442,0.5583756345177665,0.7443609022556391,6.81203007518797,2.7142857142857144
Alex Michelsen,12,6,6,0.5,0.6014234875444839,0.6086105675146771,27.0,0.04804270462633452,24.0,0.042704626334519574,0.11320754716981132,0.6227758007117438,0.6742857142857143,0.4811320754716981,0.5425531914893617,0.7222222222222222,6.2444444444444445,2.488888888888889
Alexander Blockx,21,15,6,0.7142857142857143,0.6536989795918368,0.6525484565685571,116.0,0.07397959183673469,59.0,0.03762755102040816,0.09161490683229814,0.5892857142857143,0.7651515151515151,0.4937888198757764,0.5435897435897435,0.8237704918032787,6.426229508196721,2.2254098360655736
Alexander Bublik,16,8,8,0.5,0.6535508637236085,0.6484375,100.0,0.09596928982725528,46.0,0.044145873320537425,0.1270718232044199,0.6525911708253359,0.7352941176470589,0.5,0.5727848101265823,0.8502994011976048,6.2395209580838324,2.161676646706587
Alexander Zverev,24,20,4,0.8333333333333334,0.666965085049239,0.6596806387225549,84.0,0.07520143240823635,31.0,0.02775290957923008,0.09365558912386707,0.7036705461056401,0.712468193384224,0.5589123867069486,0.6166666666666667,0.8092783505154639,5.757731958762887,1.9175257731958764
Andrey Rublev,22,16,6,0.7272727272727273,0.6526748971193416,0.6464088397790055,91.0,0.07489711934156379,38.0,0.031275720164609055,0.079002079002079,0.6041152263374485,0.7247956403269755,0.5426195426195426,0.5891647855530474,0.8238341968911918,6.295336787564767,2.1865284974093266
Arthur Fils,11,9,2,0.8181818181818182,0.6806136680613668,0.6920777279521674,25.0,0.03486750348675035,23.0,0.03207810320781032,0.08712121212121213,0.6317991631799164,0.7571743929359823,0.5492424242424242,0.6016597510373444,0.8717948717948718,6.128205128205129,1.9572649572649572
Arthur Rinderknech,15,8,7,0.5333333333333333,0.6846747519294377,0.6689098250336474,124.0,0.13671444321940462,40.0,0.044101433296582136,0.12158054711246201,0.6372657111356119,0.7802768166089965,0.5167173252279635,0.5882352941176471,0.8827586206896552,6.255172413793104,1.9724137931034482
Ben Shelton,13,8,5,0.6153846153846154,0.7138297872340426,0.7046568627450981,96.0,0.10212765957446808,28.0,0.029787234042553193,0.08536585365853659,0.6510638297872341,0.7679738562091504,0.6128048780487805,0.67,0.9139072847682119,6.225165562913907,1.781456953642384
Brandon Nakashima,10,5,5,0.5,0.6439232409381663,0.6202830188679245,39.0,0.08315565031982942,6.0,0.01279317697228145,0.03571428571428571,0.6417910447761194,0.7375415282392026,0.47619047619047616,0.49382716049382713,0.7792207792207793,6.090909090909091,2.168831168831169
Cameron Norrie,11,5,6,0.45454545454545453,0.6102683780630105,0.61489898989899,36.0,0.042007001166861145,29.0,0.0338389731621937,0.08814589665653495,0.6161026837806302,0.678030303030303,0.5015197568389058,0.55,0.7698412698412699,6.801587301587301,2.6507936507936507
Carlos Alcaraz,6,5,1,0.8333333333333334,0.634020618556701,0.6475644699140402,20.0,0.05154639175257732,19.0,0.04896907216494845,0.13194444444444445,0.6288659793814433,0.6844262295081968,0.5486111111111112,0.632,0.8421052631578947,6.807017543859649,2.491228070175439
Casper Ruud,23,17,6,0.7391304347826086,0.67008547008547,0.6755760368663595,51.0,0.04358974358974359,34.0,0.02905982905982906,0.08436724565756824,0.6555555555555556,0.7105606258148631,0.5930521091811415,0.6476964769647696,0.8316326530612245,5.969387755102041,1.969387755102041
Daniel Merida Aguilar,16,11,5,0.6875,0.610738255033557,0.6187943262411347,30.0,0.025167785234899327,34.0,0.028523489932885907,0.09315068493150686,0.6937919463087249,0.6638452237001209,0.4904109589041096,0.540785498489426,0.7540983606557377,6.5136612021857925,2.5355191256830603
Daniil Medvedev,9,5,4,0.5555555555555556,0.6071428571428571,0.6226053639846744,32.0,0.05442176870748299,34.0,0.05782312925170068,0.15668202764976957,0.6309523809523809,0.7223719676549866,0.41013824884792627,0.48633879781420764,0.7395833333333334,6.125,2.40625
Denis Shapovalov,7,2,5,0.2857142857142857,0.5923076923076923,0.6352941176470588,15.0,0.038461538461538464,35.0,0.08974358974358974,0.1912568306010929,0.5307692307692308,0.6763285024154589,0.4972677595628415,0.6148648648648649,0.71875,6.09375,2.484375
Felix Auger Aliassime,13,8,5,0.6153846153846154,0.6598890942698706,0.643298969072165,45.0,0.08317929759704251,11.0,0.02033271719038817,0.06321839080459771,0.678373382624769,0.7220708446866485,0.5287356321839081,0.5644171779141104,0.8488372093023255,6.290697674418604,2.13953488372093
Flavio Cobolli,21,14,7,0.6666666666666666,0.6421370967741935,0.65,52.0,0.05241935483870968,40.0,0.04032258064516129,0.08771929824561403,0.5403225806451613,0.7164179104477612,0.5548245614035088,0.6081730769230769,0.8164556962025317,6.2784810126582276,2.2468354430379747
Frances Tiafoe,11,7,4,0.6363636363636364,0.6298701298701299,0.6252189141856392,31.0,0.05032467532467533,14.0,0.022727272727272728,0.05405405405405406,0.5795454545454546,0.7086834733893558,0.5212355212355212,0.5510204081632653,0.8131868131868132,6.769230769230769,2.5054945054945055
Francisco Cerundolo,23,15,8,0.6521739130434783,0.6238019169329073,0.6309420916162489,51.0,0.04073482428115016,44.0,0.03514376996805112,0.08712871287128712,0.5966453674121406,0.6800535475234271,0.5405940594059406,0.5921908893709328,0.7777777777777778,6.624338624338624,2.492063492063492
