player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alejandro Davidovich Fokina,30,18,12,0.6,0.6631912964641886,0.657920792079208,134.0,0.06074342701722575,52.0,0.02357207615593835,0.07738095238095238,0.6953762466001813,0.7222946544980443,0.5282738095238095,0.5725806451612904,0.8563049853372434,6.469208211143695,2.1788856304985336
Alejandro Tabilo,27,15,12,0.5555555555555556,0.6669931439764937,0.6480758505298383,200.0,0.0979431929480901,49.0,0.023996082272282077,0.07227138643067847,0.6679725759059746,0.7404692082111437,0.5191740412979351,0.5596184419713831,0.8699690402476781,6.321981424148607,2.1052631578947367
Alex De Minaur,48,32,16,0.6666666666666666,0.6609808102345416,0.659919028340081,214.0,0.0651842826682912,105.0,0.031982942430703626,0.08064516129032258,0.603411513859275,0.7152953054013125,0.5783410138248848,0.6290726817042607,0.8527724665391969,6.277246653919694,2.12810707456979
Alex Michelsen,35,20,15,0.5714285714285714,0.6518939393939394,0.6411789833404528,220.0,0.08333333333333333,79.0,0.029924242424242423,0.08876404494382023,0.6628787878787878,0.7217142857142858,0.5146067415730337,0.5647348951911221,0.8245192307692307,6.346153846153846,2.2091346153846154
Alexander Blockx,11,6,5,0.5454545454545454,0.6685779816513762,0.6398362892223738,114.0,0.13073394495412843,25.0,0.028669724770642203,0.07716049382716049,0.6284403669724771,0.7737226277372263,0.49074074074074076,0.5317725752508361,0.8592592592592593,6.45925925925926,2.140740740740741
Alexander Bublik,35,23,12,0.6571428571428571,0.6918963389551624,0.669917864476386,377.0,0.15508021390374332,106.0,0.04360345536816125,0.12155963302752294,0.6412998765939942,0.7940987812700449,0.5091743119266054,0.5796344647519582,0.8982188295165394,6.185750636132315,1.905852417302799
Alexander Zverev,44,29,15,0.6590909090909091,0.6977707006369427,0.6706231454005934,383.0,0.12197452229299363,61.0,0.019426751592356687,0.07126168224299065,0.7273885350318471,0.7543782837127846,0.5467289719626168,0.5886792452830188,0.8790170132325141,5.935727788279773,1.7939508506616257
Andrey Rublev,26,13,13,0.5,0.6637887252412392,0.6522248243559718,193.0,0.09801929913661757,68.0,0.03453529710512951,0.09018567639257294,0.617064499746064,0.762962962962963,0.5039787798408488,0.5539358600583091,0.8386075949367089,6.231012658227848,2.0949367088607596
Arthur Fery,7,3,4,0.42857142857142855,0.6044176706827309,0.5904139433551199,30.0,0.060240963855421686,9.0,0.018072289156626505,0.04411764705882353,0.5903614457831325,0.6530612244897959,0.5343137254901961,0.558974358974359,0.7297297297297297,6.72972972972973,2.6621621621621623
Arthur Fils,29,22,7,0.7586206896551724,0.6829516539440204,0.6762839007501442,170.0,0.08651399491094147,62.0,0.03155216284987277,0.08635097493036212,0.6346055979643765,0.7433841218925421,0.5779944289693594,0.6326219512195121,0.8626198083067093,6.277955271565495,1.9904153354632588
Arthur Rinderknech,29,15,14,0.5172413793103449,0.6669615214506855,0.6399790685504971,285.0,0.12605042016806722,65.0,0.028748341441839895,0.08024691358024691,0.6417514374170721,0.7553411440385941,0.508641975308642,0.553020134228188,0.8658892128279884,6.591836734693878,2.19533527696793
Ben Shelton,34,22,12,0.6470588235294118,0.7029067572668931,0.6848888888888889,321.0,0.12117780294450736,78.0,0.02944507361268403,0.09263657957244656,0.6821442053605135,0.7675705589374654,0.5641330166270784,0.6217277486910995,0.8934240362811792,6.006802721088436,1.784580498866213
Brandon Nakashima,45,28,17,0.6222222222222222,0.6864101022248947,0.6452870304748405,462.0,0.13890559230306676,42.0,0.012627781118460614,0.03723404255319149,0.6608538785327721,0.7747952684258417,0.5141843971631206,0.5340699815837937,0.8822429906542056,6.216822429906542,1.949532710280374
Cameron Norrie,42,26,16,0.6190476190476191,0.6613251155624037,0.6579749407382323,203.0,0.062557781201849,89.0,0.027426810477657937,0.07606837606837606,0.6394453004622496,0.7190361445783132,0.558974358974359,0.6049953746530989,0.8392156862745098,6.362745098039215,2.1549019607843136
Carlos Alcaraz,32,27,5,0.84375,0.6836228287841191,0.6780354706684857,162.0,0.06699751861042183,57.0,0.02357320099255583,0.07335907335907337,0.6786600496277916,0.741011578305911,0.5624195624195624,0.6069444444444444,0.8956743002544529,6.152671755725191,1.9465648854961832
Casper Ruud,31,18,13,0.5806451612903226,0.6868867082961642,0.6725978647686833,217.0,0.0967885816235504,58.0,0.025869759143621766,0.07869742198100407,0.6712756467439785,0.7514950166112957,0.5549525101763908,0.6023564064801178,0.8901098901098901,6.15934065934066,1.9285714285714286
Daniel Merida Aguilar,9,6,3,0.6666666666666666,0.6168831168831169,0.6276978417266187,31.0,0.05032467532467533,29.0,0.04707792207792208,0.1288888888888889,0.6347402597402597,0.6930946291560103,0.48444444444444446,0.5561224489795918,0.8043478260869565,6.695652173913044,2.5652173913043477
Daniil Medvedev,47,35,12,0.7446808510638298,0.6581704899461909,0.6571233810497614,396.0,0.11214953271028037,201.0,0.05692438402718777,0.16368078175895764,0.6522231662418578,0.7516283108988276,0.4828990228013029,0.5774099318403116,0.8504504504504504,6.3621621621621625,2.1747747747747748
Denis Shapovalov,30,16,14,0.5333333333333333,0.6299539170506913,0.6342412451361867,226.0,0.10414746543778802,145.0,0.06682027649769585,0.16514806378132119,0.5953917050691244,0.7213622291021672,0.49544419134396356,0.5934515688949522,0.7740112994350282,6.129943502824859,2.268361581920904
