player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alina Korneeva,3,1,2,0.3492063492063492,0.34426229508196726,0.015873015873015872,0.015873015873015872,0.36111111111111116,0.33333333333333337,0.2,6.3,2.2,38.0,44.333333333333336
Alycia Parks,11,5,6,0.3916666666666667,0.3761301989150091,0.03333333333333333,0.045,0.3252688172043011,0.5,0.2826086956521739,6.521739130434782,2.5543478260869565,82.0,90.18181818181819
Anna Blinkova,5,1,4,0.46808510638297873,0.4360189573459715,0.02553191489361702,0.07659574468085106,0.40909090909090906,0.5802469135802469,0.43243243243243246,6.351351351351352,2.972972972972973,123.0,154.8
Anna Bondar,22,14,8,0.4427148194271482,0.43275632490013316,0.026774595267745952,0.03798256537982565,0.36746411483253594,0.5828877005347594,0.37130801687763715,6.776371308016878,3.0,91.0,99.9090909090909
Antonia Ruzic,6,2,4,0.389344262295082,0.4009009009009009,0.06557377049180328,0.02459016393442623,0.302158273381295,0.5047619047619047,0.25,6.1,2.375,46.0,52.333333333333336
Ashlyn Krueger,4,1,3,0.42543859649122806,0.419047619047619,0.039473684210526314,0.039473684210526314,0.34751773049645385,0.5517241379310345,0.3611111111111111,6.333333333333333,2.6944444444444446,66.0,61.75
Camila Osorio,10,6,4,0.5059523809523809,0.48394004282655245,0.015873015873015872,0.057539682539682536,0.422360248447205,0.6538461538461539,0.5068493150684932,6.904109589041096,3.493150684931507,72.0,90.8
Caty Mcnally,11,6,5,0.4782608695652174,0.46345256609642305,0.021739130434782608,0.0463768115942029,0.4273318872017353,0.5807860262008734,0.46464646464646464,6.96969696969697,3.3333333333333335,42.0,52.36363636363637
Daria Kasatkina,9,4,5,0.4817073170731707,0.48237885462555063,0.04065040650406504,0.036585365853658534,0.43108504398826974,0.5960264900662251,0.4444444444444444,6.833333333333333,3.2916666666666665,63.0,69.33333333333333
Darja Vidmanova,1,0,1,0.426829268292683,0.40506329113924056,0.0,0.036585365853658534,0.3529411764705882,0.5483870967741935,0.3333333333333333,6.833333333333333,2.9166666666666665,68.0,68.0
Elena Gabriela Ruse,9,4,5,0.45718432510885343,0.4306451612903226,0.030478955007256895,0.06966618287373004,0.37922077922077924,0.555921052631579,0.39,6.89,3.15,46.0,43.0
Elisabetta Cocciaretto,9,4,5,0.44405594405594406,0.4315589353612167,0.033216783216783216,0.0472027972027972,0.3835227272727273,0.5409090909090909,0.37209302325581395,6.651162790697675,2.953488372093023,103.0,89.66666666666667
Emiliana Arango,10,5,5,0.4697173620457604,0.445095168374817,0.020188425302826378,0.06056527590847914,0.4043956043956044,0.5729166666666667,0.42857142857142855,7.076190476190476,3.323809523809524,122.5,115.1
Emma Raducanu,2,0,2,0.4320987654320988,0.4415584415584416,0.037037037037037035,0.012345679012345678,0.4098360655737705,0.5,0.36363636363636365,7.363636363636363,3.1818181818181817,81.0,81.0
Eva Lys,8,3,5,0.44017094017094016,0.4240196078431373,0.057692307692307696,0.07051282051282051,0.33766233766233766,0.6375,0.3472222222222222,6.5,2.861111111111111,55.5,51.125
Hanne Vandewinkel,4,1,3,0.4171779141104295,0.3774834437086093,0.006134969325153374,0.06748466257668712,0.23809523809523814,0.6075949367088608,0.2962962962962963,6.037037037037037,2.5185185185185186,47.0,61.75
Kamilla Rakhimova,6,2,4,0.45896656534954405,0.447098976109215,0.0486322188449848,0.060790273556231005,0.3731343283582089,0.59375,0.34,6.58,3.02,47.5,64.0
Karolina Pliskova,12,9,3,0.41630434782608694,0.4004884004884005,0.05,0.059782608695652176,0.3452593917710197,0.5263157894736843,0.3262411347517731,6.524822695035461,2.7163120567375887,48.5,55.416666666666664
Katie Boulter,9,4,5,0.4481481481481482,0.44399185336048885,0.046296296296296294,0.044444444444444446,0.4,0.53,0.3815789473684211,7.105263157894737,3.1842105263157894,87.0,96.88888888888889
Katie Volynets,7,2,5,0.445910290237467,0.41954022988505746,0.021108179419525065,0.06068601583113457,0.372,0.5891472868217054,0.375,6.767857142857143,3.017857142857143,76.0,263.85714285714283
Kimberly Birrell,3,1,2,0.5116279069767442,0.5185185185185186,0.03488372093023256,0.023255813953488372,0.5,0.525,0.5,7.166666666666667,3.6666666666666665,65.0,49.333333333333336
Magda Linette,6,3,3,0.36585365853658536,0.3648648648648649,0.06097560975609756,0.036585365853658534,0.24731182795698925,0.5211267605633803,0.2,6.56,2.4,36.5,80.83333333333333
Maria Timofeeva,1,0,1,0.3571428571428571,0.31999999999999995,0.03571428571428571,0.07142857142857142,0.32258064516129037,0.4,0.125,7.0,2.5,64.0,64.0
Maya Joint,3,0,3,0.3553719008264463,0.3448275862068966,0.01652892561983471,0.024793388429752067,0.32894736842105265,0.4,0.1111111111111111,6.722222222222222,2.388888888888889,30.0,50.0
Mayar Sherif,12,9,3,0.4715762273901809,0.4556616643929059,0.012919896640826873,0.040051679586563305,0.4319526627218935,0.5468164794007491,0.44545454545454544,7.036363636363636,3.3181818181818183,96.5,91.25
Mccartney Kessler,9,5,4,0.44952380952380955,0.4362549800796812,0.011428571428571429,0.03238095238095238,0.3858024691358025,0.5522388059701493,0.379746835443038,6.6455696202531644,2.9873417721518987,46.0,81.22222222222223
Moyuka Uchijima,5,0,5,0.4027777777777778,0.3787878787878788,0.027777777777777776,0.05555555555555555,0.3666666666666667,0.4629629629629629,0.23809523809523808,6.857142857142857,2.761904761904762,97.0,127.2
Oksana Selekhmeteva,3,0,3,0.39490445859872614,0.375886524822695,0.044585987261146494,0.05732484076433121,0.2571428571428571,0.6730769230769231,0.24,6.28,2.48,126.0,100.33333333333333
Panna Udvardy,20,12,8,0.44307692307692303,0.4273648648648649,0.03538461538461538,0.05384615384615385,0.3941958887545345,0.5285412262156448,0.3627450980392157,6.372549019607843,2.823529411764706,110.5,151.15
Paula Badosa,14,8,6,0.4686695278969957,0.45031905195989064,0.013733905579399141,0.04463519313304721,0.42327365728900257,0.5613577023498695,0.422360248447205,7.236024844720497,3.391304347826087,87.5,102.14285714285714
Petra Marcinko,12,8,4,0.4846870838881492,0.45809248554913296,0.015978695073235686,0.06258322237017311,0.4357429718875502,0.5810276679841897,0.45045045045045046,6.7657657657657655,3.279279279279279,131.5,198.08333333333334
Peyton Stearns,11,6,5,0.4291187739463601,0.4193548387096774,0.05363984674329502,0.05555555555555555,0.375,0.5268817204301075,0.3253012048192771,6.289156626506024,2.6987951807228914,48.0,51.18181818181818
Polina Kudermetova,2,1,1,0.4285714285714286,0.4055944055944056,0.01948051948051948,0.05194805194805195,0.3867924528301887,0.5208333333333333,0.30434782608695654,6.695652173913044,2.869565217391304,47.5,47.5
Renata Zarazua,4,2,2,0.4508670520231214,0.44654088050314467,0.04046242774566474,0.04046242774566474,0.43518518518518523,0.4769230769230769,0.39285714285714285,6.178571428571429,2.7857142857142856,61.0,174.75
Shuai Zhang,10,3,7,0.3996937212863706,0.390625,0.06278713629402756,0.055130168453292494,0.3178294573643411,0.518796992481203,0.28846153846153844,6.278846153846154,2.5096153846153846,47.5,55.0
Simona Waltert,8,2,6,0.4552102376599635,0.4377431906614786,0.016453382084095063,0.043875685557586835,0.43023255813953487,0.49753694581280783,0.38823529411764707,6.435294117647059,2.929411764705882,56.0,63.625
Sinja Kraus,6,1,5,0.44845360824742264,0.4491525423728814,0.04896907216494845,0.03865979381443299,0.41035856573705176,0.5182481751824817,0.3770491803278688,6.360655737704918,2.8524590163934427,75.0,84.0
Solana Sierra,11,7,4,0.47307692307692306,0.4421052631578948,0.01730769230769231,0.06923076923076923,0.38557993730407525,0.6119402985074627,0.425,6.5,3.075,49.0,79.81818181818181
Talia Gibson,5,1,4,0.39583333333333337,0.3851851851851852,0.027777777777777776,0.034722222222222224,0.3421052631578947,0.5,0.29545454545454547,6.545454545454546,2.590909090909091,76.0,149.4
Tatjana Maria,13,6,7,0.43644067796610164,0.4213740458015267,0.02824858757062147,0.046610169491525424,0.36989247311827955,0.5637860082304527,0.3644859813084112,6.616822429906542,2.8878504672897196,132.0,266.38461538461536
Taylor Townsend,5,2,3,0.4173553719008265,0.41409691629955947,0.03305785123966942,0.028925619834710745,0.3719512195121951,0.5128205128205128,0.2702702702702703,6.54054054054054,2.72972972972973,26.0,55.8
Tereza Valentova,4,1,3,0.4526748971193416,0.43103448275862066,0.00411522633744856,0.0411522633744856,0.389937106918239,0.5714285714285714,0.3939393939393939,7.363636363636363,3.3333333333333335,75.0,58.5
Viktorija Golubic,7,4,3,0.4818481848184818,0.4771929824561404,0.026402640264026403,0.033003300330033,0.419047619047619,0.6236559139784946,0.4473684210526316,7.973684210526316,3.8421052631578947,59.0,95.28571428571429
Xiyu Wang,4,3,1,,,,,,,,,,26.0,33.0
Yulia Putintseva,12,6,6,0.4718826405867971,0.4444444444444444,0.014669926650366748,0.061124694376528114,0.419047619047619,0.5665529010238908,0.43859649122807015,7.175438596491228,3.3859649122807016,91.5,94.41666666666667
Yuliia Starodubtseva,14,9,5,0.4766483516483516,0.46266471449487556,0.019230769230769232,0.042582417582417584,0.450207468879668,0.5284552845528455,0.43859649122807015,6.385964912280702,3.043859649122807,84.5,81.0
Zeynep Sonmez,8,4,4,0.47672253258845443,0.4543610547667343,0.0223463687150838,0.0595903165735568,0.4294117647058824,0.5583756345177665,0.4430379746835443,6.7974683544303796,3.240506329113924,41.5,103.25
