player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alina Korneeva,1,0,1,0.45333333333333337,0.4285714285714286,0.013333333333333334,0.05333333333333334,0.42500000000000004,0.48571428571428577,0.4166666666666667,6.25,2.8333333333333335,72.0,72.0
Alycia Parks,2,1,1,0.4358974358974359,0.4,0.02564102564102564,0.07692307692307693,0.29729729729729726,0.6744186046511628,0.2777777777777778,6.5,2.8333333333333335,204.5,204.5
Anna Blinkova,4,1,3,0.43296089385474856,0.41230769230769226,0.0335195530726257,0.05865921787709497,0.3615023474178404,0.5379310344827586,0.34615384615384615,6.884615384615385,2.980769230769231,48.5,58.5
Anna Bondar,3,0,3,0.3849056603773585,0.3632478632478633,0.052830188679245285,0.06415094339622641,0.25625,0.5809523809523809,0.225,6.625,2.55,56.0,50.666666666666664
Antonia Ruzic,5,1,4,0.4229691876750701,0.39473684210526316,0.06162464985994398,0.08683473389355742,0.34158415841584155,0.5290322580645161,0.2962962962962963,6.611111111111111,2.7962962962962963,51.0,51.8
Ashlyn Krueger,4,3,1,0.47058823529411764,0.4572649572649573,0.03137254901960784,0.050980392156862744,0.4342105263157895,0.5242718446601942,0.425,6.375,3.0,55.5,167.25
Camila Osorio,2,1,1,0.43356643356643354,0.4285714285714286,0.06293706293706294,0.055944055944055944,0.32499999999999996,0.5714285714285714,0.3333333333333333,6.809523809523809,2.9523809523809526,51.0,51.0
Caty Mcnally,10,6,4,0.4495159059474412,0.4348484848484848,0.034578146611341634,0.05255878284923928,0.3973509933774835,0.537037037037037,0.39814814814814814,6.694444444444445,3.009259259259259,56.5,60.0
Daria Kasatkina,5,2,3,0.41192411924119243,0.41887905604719766,0.05420054200542006,0.02710027100271003,0.331858407079646,0.5384615384615384,0.31666666666666665,6.15,2.533333333333333,62.0,185.6
Darja Vidmanova,1,0,1,0.368421052631579,0.39622641509433965,0.07017543859649122,0.0,0.2727272727272727,0.5,0.3,5.7,2.1,4.0,4.0
Elena Gabriela Ruse,8,5,3,0.41767068273092367,0.4031180400890868,0.04417670682730924,0.05421686746987952,0.303030303030303,0.5870646766169154,0.2894736842105263,6.552631578947368,2.736842105263158,23.0,32.625
Elisabetta Cocciaretto,2,0,2,0.3695652173913043,0.3313253012048193,0.02717391304347826,0.07065217391304347,0.2649572649572649,0.5522388059701493,0.2413793103448276,6.344827586206897,2.3448275862068964,68.5,68.5
Emiliana Arango,3,1,2,0.42105263157894735,0.36601307189542487,0.011695906432748537,0.0935672514619883,0.36283185840707965,0.5344827586206897,0.2962962962962963,6.333333333333333,2.6666666666666665,53.0,109.33333333333333
Emma Raducanu,5,4,1,0.49242424242424243,0.483739837398374,0.026515151515151516,0.041666666666666664,0.43312101910828027,0.5794392523364487,0.5116279069767442,6.1395348837209305,3.0232558139534884,76.0,59.2
Eva Lys,4,1,3,0.391941391941392,0.40756302521008403,0.09157509157509157,0.03663003663003663,0.2666666666666667,0.5833333333333333,0.25,6.825,2.675,19.5,23.0
Hanne Vandewinkel,3,1,2,0.34959349593495936,0.32432432432432434,0.04065040650406504,0.056910569105691054,0.2534246575342466,0.49,0.1951219512195122,6.0,2.097560975609756,61.0,84.0
Kamilla Rakhimova,4,2,2,0.4428969359331476,0.4285714285714286,0.055710306406685235,0.06685236768802229,0.33999999999999997,0.5723270440251572,0.38181818181818183,6.527272727272727,2.890909090909091,54.5,77.75
Karolina Pliskova,9,6,3,0.4160125588697017,0.3928571428571429,0.05023547880690738,0.0706436420722135,0.34895833333333337,0.5177865612648221,0.32,6.37,2.65,47.0,41.666666666666664
Katie Boulter,6,3,3,0.3689727463312369,0.344578313253012,0.06079664570230608,0.06918238993710692,0.28358208955223885,0.47846889952153115,0.20833333333333334,6.625,2.4444444444444446,30.5,55.666666666666664
Katie Volynets,3,1,2,0.4124293785310734,0.3941176470588236,0.005649717514124294,0.03389830508474576,0.368421052631579,0.4920634920634921,0.3103448275862069,6.103448275862069,2.5172413793103448,55.0,55.333333333333336
Kimberly Birrell,6,2,4,0.38426966292134834,0.41315789473684206,0.1146067415730337,0.03146067415730337,0.32028469750889677,0.49390243902439024,0.2608695652173913,6.449275362318841,2.4782608695652173,44.0,48.833333333333336
Lanlana Tararudee,2,1,1,0.3507853403141361,0.36994219653179194,0.07853403141361257,0.015706806282722512,0.30000000000000004,0.4590163934426229,0.1724137931034483,6.586206896551724,2.310344827586207,50.5,50.5
Magda Linette,5,3,2,0.42939481268011526,0.4183006535947712,0.05763688760806916,0.06051873198847262,0.34562211981566815,0.5692307692307692,0.34,6.94,2.98,67.0,94.2
Mananchaya Sawangkaew,3,2,1,0.43661971830985913,0.4285714285714286,0.03755868544600939,0.04225352112676056,0.3602941176470589,0.5714285714285714,0.36363636363636365,6.454545454545454,2.8181818181818183,21.0,37.0
Maria Timofeeva,2,1,1,0.4841269841269841,0.4568965517241379,0.015873015873015872,0.06349206349206349,0.41428571428571426,0.5714285714285714,0.45,6.3,3.05,80.5,80.5
Maya Joint,4,1,3,0.4061624649859944,0.3927492447129909,0.03081232492997199,0.04201680672268908,0.3732057416267942,0.45270270270270274,0.2962962962962963,6.611111111111111,2.685185185185185,59.0,64.0
Mccartney Kessler,7,3,4,0.42887029288702927,0.40930232558139534,0.0397489539748954,0.060669456066945605,0.34090909090909094,0.5882352941176471,0.3188405797101449,6.927536231884058,2.971014492753623,68.0,61.0
Oksana Selekhmeteva,2,1,1,0.4509803921568627,0.4087591240875912,0.0196078431372549,0.08496732026143791,0.3513513513513513,0.5443037974683544,0.36363636363636365,6.954545454545454,3.1363636363636362,59.5,59.5
Panna Udvardy,5,2,3,0.37014925373134333,0.3470790378006873,0.0626865671641791,0.06865671641791045,0.29957805907172996,0.5408163265306123,0.2037037037037037,6.203703703703703,2.2962962962962963,35.0,46.0
Paula Badosa,5,2,3,0.3835227272727273,0.36789297658862874,0.07954545454545454,0.07102272727272728,0.28695652173913044,0.5655737704918034,0.22641509433962265,6.6415094339622645,2.547169811320755,26.0,52.8
Petra Marcinko,5,3,2,0.4432717678100264,0.4064327485380117,0.021108179419525065,0.07651715039577836,0.3438735177865613,0.6428571428571428,0.33962264150943394,7.150943396226415,3.169811320754717,60.0,63.0
Peyton Stearns,1,0,1,0.3666666666666667,0.3623188405797102,0.14444444444444443,0.08888888888888889,0.16666666666666663,0.5952380952380952,0.26666666666666666,6.0,2.2,48.0,48.0
Polina Kudermetova,2,0,2,0.29166666666666663,0.3033707865168539,0.0625,0.010416666666666666,0.22413793103448276,0.39473684210526316,0.0625,6.0,1.75,34.5,34.5
Renata Zarazua,4,0,4,0.23404255319148937,0.2628205128205128,0.15425531914893617,0.015957446808510637,0.13492063492063489,0.4354838709677419,0.030303030303030304,5.696969696969697,1.3333333333333333,38.5,35.5
