player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alina Korneeva,10,6,4,0.4982993197278912,0.4763636363636363,0.011904761904761904,0.05272108843537415,0.43582887700534756,0.6074766355140186,0.5360824742268041,6.061855670103093,3.020618556701031,43.0,76.9
Alycia Parks,30,13,17,0.40411899313501143,0.37974051896207583,0.02700228832951945,0.055835240274599546,0.3326149425287356,0.5296343001261035,0.2746268656716418,6.522388059701493,2.635820895522388,81.0,99.5
Anhelina Kalinina,4,1,3,0.4229508196721311,0.4418604651162791,0.10491803278688525,0.04918032786885246,0.2865497076023392,0.5970149253731343,0.3125,6.354166666666667,2.6875,62.0,60.0
Anna Blinkova,19,8,11,0.42797202797202794,0.4195535026943803,0.044755244755244755,0.04685314685314685,0.3725934314835787,0.5173674588665448,0.33816425120772947,6.908212560386473,2.9565217391304346,84.0,92.36842105263158
Anna Bondar,22,9,13,0.4185901434809731,0.4022988505747126,0.02994385527136619,0.047411104179663134,0.3523523523523524,0.5281456953642384,0.29583333333333334,6.679166666666666,2.7958333333333334,81.5,98.45454545454545
Antonia Ruzic,24,11,13,0.4242610837438424,0.4213881019830028,0.07266009852216748,0.05788177339901478,0.3459183673469388,0.5434782608695652,0.3346613545816733,6.47011952191235,2.745019920318725,40.5,89.75
Ashlyn Krueger,20,8,12,0.39597780859916787,0.3832199546485261,0.03814147018030513,0.044382801664355064,0.32997762863534674,0.5036496350364963,0.248868778280543,6.524886877828054,2.583710407239819,61.5,72.9
Camila Osorio,28,12,16,0.4337287261474987,0.4216799091940976,0.0407426508509541,0.05054151624548736,0.3714759535655058,0.5361527967257844,0.34576271186440677,6.5728813559322035,2.8508474576271188,43.0,81.42857142857143
Caty Mcnally,26,13,13,0.44344344344344344,0.4298245614035088,0.036036036036036036,0.05105105105105105,0.3880825057295646,0.5486211901306242,0.3687707641196013,6.637873754152824,2.9435215946843853,84.5,92.57692307692308
Daria Kasatkina,15,5,10,0.4595278246205734,0.44507042253521123,0.04215851602023609,0.05986509274873524,0.38980716253443526,0.5695652173913044,0.4090909090909091,6.738636363636363,3.096590909090909,51.0,50.375
Darja Vidmanova,14,7,7,0.4267161410018553,0.39203354297693915,0.03525046382189239,0.07977736549165121,0.3566121842496285,0.5432098765432098,0.32515337423312884,6.613496932515337,2.8220858895705523,76.0,109.28571428571429
Elena Gabriela Ruse,16,6,10,0.42488479262672807,0.39737108190091,0.025806451612903226,0.06267281105990784,0.36046511627906974,0.5365239294710327,0.3141025641025641,6.955128205128205,2.9551282051282053,30.5,43.9375
Elisabetta Cocciaretto,28,17,11,0.43715239154616237,0.4285714285714286,0.05339265850945495,0.05506117908787542,0.34693877551020413,0.5722222222222222,0.35231316725978645,6.398576512455516,2.797153024911032,56.0,80.32142857142857
Emiliana Arango,22,8,14,0.44920525224602625,0.4159090909090909,0.01796821008984105,0.06979958534899793,0.3959731543624161,0.5352622061482821,0.36231884057971014,6.990338164251208,3.140096618357488,62.5,140.04545454545453
Emma Raducanu,20,9,11,0.44813935075217737,0.43582887700534756,0.050673000791765635,0.06096595407759303,0.37960687960687955,0.5723830734966593,0.3915343915343915,6.682539682539683,2.994708994708995,67.0,85.66666666666667
Eva Lys,17,8,9,0.4473409801876955,0.452353616532721,0.05526590198123045,0.0364963503649635,0.38054607508532423,0.552278820375335,0.40268456375838924,6.436241610738255,2.879194630872483,41.0,121.76470588235294
Hanne Vandewinkel,1,0,1,0.40384615384615385,0.32558139534883723,0.038461538461538464,0.1346153846153846,0.31999999999999995,0.4814814814814815,0.3333333333333333,5.777777777777778,2.3333333333333335,36.0,36.0
Kamilla Rakhimova,19,7,12,0.44497991967871486,0.436738519212746,0.07228915662650602,0.07068273092369477,0.3385826771653543,0.6128364389233955,0.3862433862433862,6.587301587301587,2.931216931216931,37.0,93.63157894736842
Karolina Pliskova,10,5,5,0.41551724137931034,0.4081237911025145,0.056896551724137934,0.05172413793103448,0.35519125683060104,0.5186915887850467,0.31868131868131866,6.373626373626373,2.6483516483516483,39.5,144.6
Katie Boulter,26,14,12,0.44052863436123346,0.4277580071174377,0.05349276274386407,0.062303335431088736,0.37934560327198363,0.5384615384615384,0.3629032258064516,6.407258064516129,2.8225806451612905,51.0,66.0
Katie Volynets,20,9,11,0.44063143445435826,0.42153146322971946,0.03568977350720659,0.059025394646533974,0.35941043083900226,0.5652173913043479,0.36607142857142855,6.504464285714286,2.8660714285714284,78.0,84.55
Kimberly Birrell,25,12,13,0.4256,0.41990291262135926,0.06453333333333333,0.05653333333333333,0.35500878734622143,0.5345997286295794,0.3345323741007194,6.744604316546763,2.870503597122302,71.0,91.96153846153847
Lanlana Tararudee,10,6,4,0.4521497919556172,0.4298507462686567,0.018030513176144243,0.052704576976421634,0.3506172839506173,0.5822784810126582,0.39215686274509803,7.068627450980392,3.196078431372549,73.0,122.72727272727273
Magda Linette,29,13,16,0.40085795996186846,0.3810504634397528,0.026215443279313633,0.048141086749285036,0.3376822716807367,0.5044025157232704,0.2761904761904762,6.660317460317461,2.6698412698412697,52.0,92.24137931034483
Mananchaya Sawangkaew,2,0,2,0.40441176470588236,0.3951612903225806,0.04411764705882353,0.04411764705882353,0.33684210526315794,0.5609756097560976,0.23809523809523808,6.476190476190476,2.619047619047619,70.0,70.0
Maria Timofeeva,7,2,5,0.44881889763779526,0.4368131868131868,0.013123359580052493,0.031496062992125984,0.39075630252100846,0.5454545454545454,0.34615384615384615,7.326923076923077,3.2884615384615383,55.0,77.875
Maya Joint,34,16,18,0.44373576309794993,0.4229007633587786,0.03963553530751709,0.06514806378132118,0.3534107402031931,0.5960832313341493,0.35276073619631904,6.733128834355829,2.9877300613496933,58.5,89.1470588235294
