player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Ajla Tomljanovic,5,0,5,0.0,0.5090361445783133,0.5486111111111112,11.0,0.03313253012048193,33.0,0.09939759036144578,0.30275229357798167,0.6716867469879518,0.5739910313901345,0.3761467889908257,0.5394736842105263,0.5434782608695652,7.217391304347826,3.5434782608695654
Alina Korneeva,3,1,2,0.3333333333333333,0.4931506849315068,0.5147058823529411,1.0,0.0136986301369863,4.0,0.0547945205479452,0.19047619047619047,0.7123287671232876,0.5384615384615384,0.38095238095238093,0.47058823529411764,0.6,7.3,3.7
Alycia Parks,11,5,6,0.45454545454545453,0.5716510903426791,0.5868794326241135,36.0,0.056074766355140186,42.0,0.06542056074766354,0.1414141414141414,0.5373831775700935,0.663768115942029,0.46464646464646464,0.5411764705882353,0.6888888888888889,7.133333333333334,3.0555555555555554
Anastasia Zakharova,5,1,4,0.2,0.4892086330935252,0.5230769230769231,0.0,0.0,18.0,0.06474820143884892,0.1935483870967742,0.6654676258992805,0.5243243243243243,0.41935483870967744,0.52,0.47619047619047616,6.619047619047619,3.380952380952381
Anhelina Kalinina,15,9,6,0.6,0.5315315315315315,0.5556900726392252,13.0,0.01463963963963964,49.0,0.05518018018018018,0.18773946360153257,0.706081081081081,0.5741626794258373,0.42911877394636017,0.5283018867924528,0.582089552238806,6.626865671641791,3.1044776119402986
Anna Bondar,22,14,8,0.6363636363636364,0.5778425655976677,0.5749537322640346,59.0,0.03440233236151603,35.0,0.02040816326530612,0.055379746835443035,0.6314868804664723,0.631578947368421,0.48575949367088606,0.5142378559463987,0.698744769874477,7.175732217573222,3.0292887029288704
Antonia Ruzic,6,2,4,0.3333333333333333,0.4713114754098361,0.49130434782608695,2.0,0.00819672131147541,12.0,0.04918032786885246,0.1276595744680851,0.6147540983606558,0.5333333333333333,0.3723404255319149,0.4268292682926829,0.425,6.1,3.225
Ashlyn Krueger,4,1,3,0.25,0.5378787878787878,0.5423728813559322,14.0,0.05303030303030303,14.0,0.05303030303030303,0.15053763440860216,0.6477272727272727,0.6023391812865497,0.41935483870967744,0.4936708860759494,0.5833333333333334,7.333333333333333,3.388888888888889
Camila Osorio,10,6,4,0.6,0.5518672199170125,0.5950226244343891,3.0,0.006224066390041493,37.0,0.07676348547717843,0.24025974025974026,0.6804979253112033,0.6189024390243902,0.4090909090909091,0.5384615384615384,0.6351351351351351,6.513513513513513,2.918918918918919
Caty Mcnally,11,6,5,0.5454545454545454,0.5352760736196319,0.5544871794871795,3.0,0.004601226993865031,25.0,0.03834355828220859,0.1358695652173913,0.7177914110429447,0.5790598290598291,0.42391304347826086,0.49056603773584906,0.574468085106383,6.9361702127659575,3.223404255319149
