player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alina Korneeva,1,0,1,0.0,0.5340909090909091,0.5180722891566265,4.0,0.045454545454545456,1.0,0.011363636363636364,0.034482758620689655,0.6704545454545454,0.5254237288135594,0.5517241379310345,0.5714285714285714,0.5454545454545454,8.0,3.727272727272727
Alycia Parks,2,1,1,0.5,0.5775862068965517,0.594059405940594,7.0,0.0603448275862069,8.0,0.06896551724137931,0.16,0.5689655172413793,0.6666666666666666,0.46,0.5476190476190477,0.6666666666666666,6.444444444444445,2.7222222222222223
Anhelina Kalinina,3,1,2,0.3333333333333333,0.5528455284552846,0.589041095890411,7.0,0.028455284552845527,20.0,0.08130081300813008,0.1834862385321101,0.556910569105691,0.6496350364963503,0.43119266055045874,0.5280898876404494,0.631578947368421,6.473684210526316,2.8947368421052633
Anna Blinkova,4,1,3,0.25,0.5014164305949008,0.5165165165165165,5.0,0.014164305949008499,15.0,0.042492917847025496,0.1111111111111111,0.6175637393767706,0.5596330275229358,0.4074074074074074,0.4583333333333333,0.54,7.06,3.52
Anna Bondar,3,0,3,0.0,0.5652173913043478,0.5755102040816327,15.0,0.05434782608695652,16.0,0.057971014492753624,0.1568627450980392,0.6304347826086957,0.5977011494252874,0.5098039215686274,0.6046511627906976,0.6410256410256411,7.076923076923077,3.076923076923077
Antonia Ruzic,5,1,4,0.2,0.5149051490514905,0.5319767441860465,7.0,0.018970189701897018,18.0,0.04878048780487805,0.18556701030927836,0.7371273712737128,0.5588235294117647,0.3917525773195876,0.4810126582278481,0.5272727272727272,6.709090909090909,3.2545454545454544
Ashlyn Krueger,4,3,1,0.75,0.5863309352517986,0.6239316239316239,17.0,0.06115107913669065,27.0,0.09712230215827339,0.25471698113207547,0.6187050359712231,0.686046511627907,0.42452830188679247,0.569620253164557,0.7317073170731707,6.780487804878049,2.8048780487804876
Camila Osorio,2,1,1,0.5,0.632,0.6578947368421053,4.0,0.032,7.0,0.056,0.15555555555555556,0.64,0.6875,0.5333333333333333,0.631578947368421,0.7619047619047619,5.9523809523809526,2.1904761904761907
Caty Mcnally,10,6,4,0.6,0.5697211155378487,0.5921052631578947,24.0,0.03187250996015936,45.0,0.05976095617529881,0.21844660194174756,0.7264276228419655,0.623400365630713,0.42718446601941745,0.546583850931677,0.7009345794392523,7.037383177570093,3.02803738317757
Daria Kasatkina,5,2,3,0.4,0.5594405594405595,0.6026315789473684,11.0,0.02564102564102564,38.0,0.08857808857808858,0.2753623188405797,0.6783216783216783,0.6391752577319587,0.391304347826087,0.54,0.6440677966101694,7.271186440677966,3.2033898305084745
Darja Vidmanova,1,0,1,0.0,0.4745762711864407,0.46551724137931033,1.0,0.01694915254237288,0.0,0.0,0.0,0.6949152542372882,0.4878048780487805,0.4444444444444444,0.4444444444444444,0.45454545454545453,5.363636363636363,2.8181818181818183
Elena Gabriela Ruse,8,5,3,0.625,0.6231578947368421,0.6529562982005142,42.0,0.08842105263157894,44.0,0.09263157894736843,0.20276497695852536,0.5431578947368421,0.7209302325581395,0.5069124423963134,0.6358381502890174,0.7837837837837838,6.418918918918919,2.418918918918919
Elisabetta Cocciaretto,2,0,2,0.0,0.5333333333333333,0.5723270440251572,5.0,0.027777777777777776,16.0,0.08888888888888889,0.17777777777777778,0.5,0.6333333333333333,0.43333333333333335,0.527027027027027,0.6071428571428571,6.428571428571429,3.0
