player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alexandra Eala,57,34,23,0.44757033248081846,0.4401510749564207,0.05959079283887468,0.06010230179028133,0.37139323990107176,0.5721024258760108,0.3732394366197183,6.883802816901408,3.0809859154929575,45.0,57.35087719298246
Amanda Anisimova,41,28,13,0.4480446927374302,0.43011198672749895,0.04022346368715084,0.061824953445065174,0.3691671588895452,0.5826612903225806,0.3787128712871287,6.646039603960396,2.977722772277228,42.0,57.348837209302324
Anastasia Potapova,43,26,17,0.4482885535517115,0.43183640737770645,0.030180345969819652,0.05189547294810453,0.3907839616995811,0.5401529636711281,0.38349514563106796,6.594660194174757,2.9563106796116503,52.0,75.51162790697674
Anhelina Kalinina,22,11,11,0.4715447154471545,0.46337817638266066,0.04200542005420054,0.051490514905149054,0.4098901098901099,0.5706713780918728,0.42081447963800905,6.678733031674208,3.1493212669683257,73.0,77.30434782608695
Ann Li,51,26,25,0.42067876874506704,0.4016041248925809,0.029729018679294922,0.051828466193107076,0.3605809128630706,0.5248023005032351,0.30973451327433627,6.727433628318584,2.8300884955752212,67.5,64.44
Anna Kalinskaya,49,28,21,0.4318624269954575,0.4230627983841352,0.058403634003893576,0.058079169370538614,0.3466029723991507,0.5659432387312187,0.3468950749464668,6.599571734475375,2.8501070663811565,44.0,52.55102040816327
Aryna Sabalenka,57,47,10,0.44124764721699383,0.4430955993930197,0.06534014520032266,0.048668997042215646,0.35972850678733037,0.5606361829025845,0.36531365313653136,6.861623616236162,3.0276752767527677,27.0,47.73684210526316
Barbora Krejcikova,35,23,12,0.4418181818181818,0.42813610970035554,0.046363636363636364,0.05863636363636364,0.3756495916852264,0.5463071512309496,0.38198757763975155,6.832298136645963,3.018633540372671,64.0,105.35135135135135
Belinda Bencic,52,38,14,0.4511705685618729,0.44287309266840347,0.048160535117056855,0.053177257525083614,0.35801104972375686,0.5940677966101695,0.38631346578366443,6.600441501103753,2.977924944812362,39.5,67.07142857142857
Clara Tauson,40,17,23,0.42041829138603337,0.40419635787806807,0.04608294930875576,0.05848989719957462,0.3366745283018868,0.5466666666666666,0.3033175355450237,6.684834123222749,2.81042654028436,63.5,79.2
Coco Gauff,66,50,16,0.4749156355455568,0.46663477636928963,0.023397075365579303,0.0359955005624297,0.41279069767441856,0.5759007678676905,0.4423676012461059,6.923676012461059,3.2881619937694704,29.0,43.38805970149254
Cristina Bucsa,30,12,18,0.438872970391595,0.4293276866066702,0.04632282712511939,0.05157593123209169,0.372827804107425,0.5398550724637681,0.3450479233226837,6.6900958466453675,2.9361022364217253,61.0,68.74193548387096
Daria Snigur,22,14,8,0.4560283687943263,0.4526315789473684,0.06453900709219858,0.059574468085106386,0.3688622754491018,0.5826086956521739,0.38207547169811323,6.650943396226415,3.0330188679245285,76.5,97.13636363636364
Diana Shnaider,54,31,23,0.43671806808263025,0.4287544028178034,0.044224614489380275,0.04713412860052371,0.3601675197766403,0.56444099378882,0.35135135135135137,6.635135135135135,2.8976833976833976,37.0,47.129629629629626
Diane Parry,26,14,12,0.40445644834571237,0.384041759880686,0.03781228899392303,0.05671843349088454,0.3467656415694592,0.5055762081784387,0.28761061946902655,6.553097345132743,2.650442477876106,96.5,164.6153846153846
Donna Vekic,26,12,14,0.4161419576416714,0.4011335012594458,0.03949627933600458,0.05151688609044076,0.338680926916221,0.5552,0.29615384615384616,6.719230769230769,2.796153846153846,67.0,112.85185185185185
Ekaterina Alexandrova,50,24,26,0.42176308539944907,0.41444750535659625,0.0512396694214876,0.048760330578512395,0.35099637681159424,0.5316455696202531,0.31608133086876156,6.709796672828096,2.8299445471349354,39.5,57.32
Elena Rybakina,72,57,15,0.42633841344275103,0.41350301984469373,0.04239937475576397,0.05177803829620946,0.34065584208850685,0.5624683864441072,0.3249001331557923,6.81491344873502,2.9054593874833556,27.0,37.16438356164384
Elina Svitolina,56,43,13,0.46374622356495465,0.4451038575667656,0.027794561933534745,0.055891238670694864,0.3848396501457726,0.5934504792332269,0.4171656686626746,6.606786427145709,3.063872255489022,42.0,53.93103448275862
Elise Mertens,46,27,19,0.4337494965767217,0.41045109423849935,0.034635521546516314,0.06363270237615787,0.3561643835616438,0.544477028347996,0.3447368421052632,6.53421052631579,2.8342105263157893,48.0,59.340425531914896
Emma Navarro,45,25,20,0.43034257748776505,0.4173819742489271,0.03817292006525286,0.04959216965742251,0.3609958506224067,0.5479331574318382,0.3384279475982533,6.692139737991266,2.8799126637554586,56.0,59.6
Hailey Baptiste,33,18,15,0.41245593419506466,0.40150880134115674,0.0282021151586369,0.03721112416764591,0.3561973525872443,0.5173961840628507,0.29333333333333333,6.808,2.808,41.0,65.72727272727273
Iga Swiatek,59,42,17,0.4848577546650352,0.4773852756685375,0.030896298562251453,0.04252064851636586,0.41360476663356505,0.599203187250996,0.46311475409836067,6.698770491803279,3.247950819672131,34.0,43.86440677966102
Iva Jovic,57,37,20,0.4619565217391305,0.44808907613602167,0.03967391304347826,0.05733695652173913,0.3930942895086321,0.5714285714285714,0.411231884057971,6.666666666666667,3.079710144927536,61.0,67.3157894736842
Janice Tjen,42,19,23,0.4044067796610169,0.38315629742033386,0.04440677966101695,0.062033898305084746,0.31654294803817606,0.5601503759398496,0.26636568848758463,6.659142212189616,2.6930022573363432,63.0,126.83333333333333
Jaqueline Cristian,40,19,21,0.417601087325858,0.4028347631480791,0.038396194359497114,0.050628610261637785,0.3498435870698644,0.5443902439024391,0.308584686774942,6.82830626450116,2.851508120649652,47.0,55.51219512195122
Jasmine Paolini,46,27,19,0.43658810325476993,0.43005396430053966,0.049756827534605315,0.04900860456416012,0.3686440677966102,0.5465230166503428,0.35903614457831323,6.440963855421686,2.8120481927710843,46.0,56.869565217391305
Jelena Ostapenko,41,21,20,0.44823747680890536,0.45382365231926447,0.06679035250463822,0.04526901669758813,0.37780473013947846,0.5592734225621414,0.38072289156626504,6.493975903614458,2.910843373493976,60.0,64.39024390243902
Jessica Pegula,74,56,18,0.4533258803801006,0.4478820598006644,0.05123905347493944,0.05142537730575741,0.3810096153846154,0.5713585090730751,0.3848101265822785,6.793670886075949,3.079746835443038,25.5,37.5
Karolina Muchova,54,41,13,0.42750929368029744,0.413510101010101,0.04117815270231627,0.052902487846725764,0.3702031602708804,0.5265210608424338,0.32761904761904764,6.660952380952381,2.8476190476190477,34.5,52.25925925925926
Katerina Siniakova,38,19,19,0.4428958575300038,0.4190395240118997,0.027874564459930314,0.061169183120402634,0.38727959697732994,0.5316582914572865,0.36220472440944884,6.7795275590551185,3.0026246719160103,42.5,87.57894736842105
Leylah Fernandez,50,25,25,0.41714449541284404,0.40240430243593794,0.04128440366972477,0.05246559633027523,0.3441258094357077,0.5361990950226244,0.3170731707317073,6.544090056285178,2.7298311444652907,47.5,56.38
Lilli Tagger,24,14,10,0.42249417249417254,0.40492735312697414,0.028554778554778556,0.04895104895104895,0.35626767200754006,0.5297709923664122,0.3254901960784314,6.729411764705882,2.843137254901961,67.5,127.08333333333333
Linda Noskova,57,40,17,0.4129973474801061,0.4196969696969697,0.07904509283819629,0.04562334217506631,0.3349097162510748,0.5387811634349031,0.30675909878682844,6.533795493934142,2.6984402079722702,36.0,46.88135593220339
Liudmila Samsonova,42,19,23,0.4214718063077413,0.41316725978647684,0.05320165657852819,0.05160879260911118,0.35012722646310435,0.540885860306644,0.3270042194092827,6.622362869198312,2.7911392405063293,38.0,52.27906976744186
Madison Keys,44,29,15,0.4319972593353888,0.4116331096196868,0.027406646111682084,0.05378554299417609,0.3617820719269995,0.5558712121212122,0.3364485981308411,6.820093457943925,2.946261682242991,50.0,75.79545454545455
Magdalena Frech,38,17,21,0.43776671408250356,0.4172549019607843,0.033783783783783786,0.059388335704125175,0.3637971698113207,0.5501792114695341,0.3415233415233415,6.909090909090909,3.0245700245700244,51.0,64.02564102564102
Maja Chwalinska,14,9,5,0.4375,0.42500000000000004,0.03009259259259259,0.04398148148148148,0.39860139860139865,0.5136986301369864,0.391304347826087,6.260869565217392,2.739130434782609,43.5,87.07142857142857
Maria Sakkari,41,20,21,0.41976388281591603,0.40631067961165046,0.045474420638390904,0.05378224748578924,0.3458009880028229,0.5402298850574713,0.31666666666666665,6.352777777777778,2.6666666666666665,52.0,62.63414634146341
Marie Bouzkova,54,33,21,0.45290172061825607,0.43514376996805115,0.031496062992125984,0.055701370662000586,0.38577291381668943,0.5720064724919094,0.37424547283702214,6.899396378269618,3.124748490945674,61.0,78.5
