player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alexandra Eala,10,4,6,0.43157894736842106,0.4194831013916501,0.056140350877192984,0.06140350877192982,0.36363636363636365,0.5412844036697247,0.32967032967032966,6.263736263736264,2.7032967032967035,29.0,43.7
Amanda Anisimova,3,2,1,,,,,,,,,,121.0,122.0
Anastasia Potapova,18,14,4,0.4860392967942089,0.47398190045248867,0.033092037228541885,0.052740434332988625,0.4328593996840442,0.5868263473053892,0.46621621621621623,6.533783783783784,3.175675675675676,46.0,57.666666666666664
Ann Li,15,9,6,0.42629482071713143,0.4,0.02390438247011952,0.05976095617529881,0.3751962323390895,0.5149863760217983,0.32903225806451614,6.47741935483871,2.761290322580645,39.0,46.46666666666667
Anna Kalinskaya,12,8,4,0.44273127753303965,0.4325,0.05726872246696035,0.06167400881057269,0.3503401360544217,0.6125,0.38028169014084506,6.394366197183099,2.8309859154929575,64.5,74.33333333333333
Aryna Sabalenka,11,8,3,0.45186640471512773,0.45351473922902497,0.07465618860510806,0.05893909626719057,0.3617747440273038,0.5740740740740741,0.391304347826087,7.3768115942028984,3.3333333333333335,33.0,37.45454545454545
Barbora Krejcikova,3,1,2,0.3826086956521739,0.36363636363636365,0.008695652173913044,0.034782608695652174,0.3375,0.48571428571428577,0.2777777777777778,6.388888888888889,2.4444444444444446,26.0,30.333333333333332
Belinda Bencic,12,8,4,0.45141065830721006,0.43103448275862066,0.03134796238244514,0.05956112852664577,0.3586387434554974,0.58984375,0.36666666666666664,7.088888888888889,3.2,44.5,53.25
Clara Tauson,3,0,3,0.3465346534653465,0.33673469387755106,0.009900990099009901,0.019801980198019802,0.25757575757575757,0.5142857142857142,0.06666666666666667,6.733333333333333,2.3333333333333335,68.0,64.66666666666667
Coco Gauff,14,10,4,0.4898612593383138,0.4821634062140391,0.029882604055496264,0.042689434364994665,0.43447037701974867,0.5710526315789474,0.48175182481751827,6.839416058394161,3.3503649635036497,26.5,43.785714285714285
Cristina Bucsa,4,0,4,0.43243243243243246,0.4185185185185185,0.037162162162162164,0.05067567567567568,0.37,0.5625,0.325,7.4,3.2,70.5,97.0
Daria Snigur,4,2,2,0.45251396648044695,0.4506172839506173,0.05027932960893855,0.0446927374301676,0.3955223880597015,0.6222222222222222,0.34782608695652173,7.782608695652174,3.5217391304347827,47.5,44.25
Diana Shnaider,15,10,5,0.4522691705790297,0.45896147403685095,0.04225352112676056,0.023474178403755867,0.4041570438799076,0.5533980582524272,0.4105263157894737,6.726315789473684,3.042105263157895,48.0,45.333333333333336
Diane Parry,7,4,3,0.4010152284263959,0.3820224719101124,0.04060913705583756,0.05583756345177665,0.32539682539682535,0.5352112676056338,0.26666666666666666,6.566666666666666,2.6333333333333333,37.0,49.714285714285715
Donna Vekic,7,4,3,0.3892045454545454,0.384375,0.05113636363636364,0.03977272727272727,0.31818181818181823,0.5454545454545454,0.2545454545454545,6.4,2.4909090909090907,92.5,112.25
Ekaterina Alexandrova,6,1,5,0.3913043478260869,0.3913043478260869,0.08115942028985507,0.05217391304347826,0.31481481481481477,0.5193798449612403,0.25,6.634615384615385,2.5961538461538463,66.0,109.66666666666667
Elena Rybakina,13,10,3,0.4466588511137163,0.4283870967741935,0.03399765533411489,0.05744431418522861,0.3754863813229572,0.5545722713864307,0.3790322580645161,6.879032258064516,3.0725806451612905,42.0,45.84615384615385
Elina Svitolina,15,12,3,0.45504087193460485,0.4497041420118343,0.03814713896457766,0.04087193460490463,0.36961451247165533,0.5836177474402731,0.4166666666666667,6.796296296296297,3.0925925925925926,25.0,68.4
Elise Mertens,9,5,4,0.4390243902439024,0.42391304347826086,0.022357723577235773,0.042682926829268296,0.3919753086419753,0.5297619047619048,0.35064935064935066,6.3896103896103895,2.8051948051948052,54.0,66.0
Emma Navarro,8,6,2,0.5064377682403434,0.5,0.019313304721030045,0.032188841201716736,0.46496815286624205,0.5921052631578947,0.5230769230769231,7.1692307692307695,3.6307692307692307,32.5,32.875
Hailey Baptiste,12,7,5,0.4094036697247706,0.40240963855421685,0.021788990825688075,0.026376146788990827,0.3611584327086882,0.5087719298245614,0.28225806451612906,7.032258064516129,2.879032258064516,63.0,74.91666666666667
Iga Swiatek,13,9,4,0.5087999999999999,0.4930795847750865,0.0224,0.0528,0.41666666666666663,0.6556016597510373,0.5227272727272727,7.1022727272727275,3.6136363636363638,35.0,45.07692307692308
Iva Jovic,13,8,5,0.4612452350698857,0.4520166898470097,0.03811944091486658,0.048284625158831,0.401656314699793,0.555921052631579,0.38461538461538464,6.726495726495727,3.1025641025641026,37.0,40.0
Janice Tjen,7,2,5,0.4265536723163842,0.3942307692307693,0.03954802259887006,0.07909604519774012,0.3203463203463204,0.6260162601626016,0.30357142857142855,6.321428571428571,2.6964285714285716,53.0,92.14285714285714
Jaqueline Cristian,11,5,6,0.4258271077908218,0.4094036697247706,0.02454642475987193,0.044823906083244394,0.37459807073954987,0.526984126984127,0.3082706766917293,7.045112781954887,3.0,62.0,65.45454545454545
Jasmine Paolini,7,3,4,0.42699115044247793,0.42542787286063566,0.05309734513274336,0.0420353982300885,0.38275862068965516,0.5061728395061729,0.31746031746031744,7.174603174603175,3.0634920634920637,47.0,60.0
Jelena Ostapenko,12,7,5,0.47651006711409394,0.4737654320987654,0.06577181208053691,0.06442953020134229,0.3954545454545455,0.5934426229508196,0.43478260869565216,6.478260869565218,3.0869565217391304,61.5,64.0
Jessica Pegula,12,9,3,0.45130641330166266,0.441025641025641,0.030878859857482184,0.04275534441805225,0.4022988505747126,0.53125,0.36752136752136755,7.196581196581197,3.247863247863248,52.0,56.0
Karolina Muchova,9,6,3,0.40941176470588236,0.3938618925831202,0.03294117647058824,0.047058823529411764,0.3548387096774194,0.5136986301369864,0.3088235294117647,6.25,2.5588235294117645,38.0,57.77777777777778
Katerina Siniakova,8,4,4,0.4707112970711297,0.449438202247191,0.016736401673640166,0.05230125523012552,0.4320987654320988,0.551948051948052,0.4264705882352941,7.029411764705882,3.3088235294117645,59.5,61.625
Leylah Fernandez,14,8,6,0.4342915811088296,0.41797752808988764,0.033880903490759756,0.052361396303901436,0.35144312393887944,0.561038961038961,0.35172413793103446,6.7172413793103445,2.9172413793103447,47.0,63.357142857142854
Lilli Tagger,6,2,4,0.4010152284263959,0.3875338753387534,0.025380710659898477,0.03807106598984772,0.33333333333333337,0.525179856115108,0.3050847457627119,6.677966101694915,2.6779661016949152,58.5,61.833333333333336
Linda Noskova,10,6,4,0.4131147540983606,0.41869158878504675,0.07704918032786885,0.04590163934426229,0.3564593301435407,0.5364583333333333,0.3333333333333333,6.777777777777778,2.8,27.0,40.27272727272727
Liudmila Samsonova,8,3,5,0.42604856512141276,0.4220623501199041,0.04194260485651214,0.037527593818984545,0.36274509803921573,0.5578231292517006,0.3333333333333333,6.863636363636363,2.9242424242424243,39.0,58.77777777777778
Madison Keys,10,7,3,0.45495495495495497,0.4393203883495146,0.024774774774774775,0.0472972972972973,0.3920863309352518,0.5602409638554218,0.38235294117647056,6.529411764705882,2.9705882352941178,66.0,62.2
Magdalena Frech,7,2,5,0.4231805929919138,0.39233038348082594,0.0215633423180593,0.0646900269541779,0.36,0.5205479452054795,0.2807017543859649,6.508771929824562,2.754385964912281,68.0,74.85714285714286
Maja Chwalinska,7,6,1,,,,,,,,,,24.0,39.0
Maria Sakkari,8,3,5,0.3691275167785235,0.3533834586466166,0.053691275167785234,0.053691275167785234,0.297752808988764,0.475,0.26,5.96,2.2,102.5,100.5
Marie Bouzkova,13,9,4,0.46476510067114096,0.4509803921568627,0.018456375838926176,0.040268456375838924,0.40885416666666663,0.5660377358490566,0.4090909090909091,6.7727272727272725,3.147727272727273,96.0,103.3076923076923
Marta Kostyuk,17,16,1,0.547925608011445,0.5246913580246914,0.011444921316165951,0.06151645207439199,0.46420323325635104,0.6842105263157895,0.6057692307692307,6.721153846153846,3.6826923076923075,63.0,59.588235294117645
Mirra Andreeva,25,22,3,0.4593406593406594,0.4551181102362205,0.0336996336996337,0.035897435897435895,0.3884976525821596,0.5769980506822612,0.40298507462686567,6.791044776119403,3.1194029850746268,59.0,84.08
Naomi Osaka,10,7,3,0.453125,0.4382022471910112,0.026041666666666668,0.046875,0.41825095057034223,0.5289256198347108,0.4262295081967213,6.295081967213115,2.8524590163934427,33.5,43.4
Nikola Bartunkova,4,2,2,0.4,0.3928571428571429,0.046511627906976744,0.04186046511627907,0.303448275862069,0.6,0.2777777777777778,5.972222222222222,2.388888888888889,14.5,68.0
Oleksandra Oliynykova,18,11,7,0.4727104532839963,0.455078125,0.011100832562442183,0.041628122109158186,0.4283687943262411,0.5558510638297872,0.43870967741935485,6.974193548387097,3.296774193548387,97.0,159.73684210526315
Sara Bejlek,6,2,4,0.45418326693227096,0.43983402489626555,0.00796812749003984,0.03187250996015936,0.42603550295857984,0.5121951219512195,0.4166666666666667,6.972222222222222,3.1666666666666665,42.5,122.66666666666667
Sorana Cirstea,18,14,4,0.44886363636363635,0.43773119605425403,0.03295454545454545,0.045454545454545456,0.38235294117647056,0.5565476190476191,0.3923076923076923,6.769230769230769,3.0384615384615383,65.0,108.26315789473684
Tamara Korpatsch,12,8,4,0.4618181818181818,0.4373795761078998,0.007272727272727273,0.04909090909090909,0.3866666666666667,0.6228571428571428,0.38823529411764707,6.470588235294118,2.988235294117647,64.5,110.75
Tereza Valentova,4,1,3,0.4526748971193416,0.43103448275862066,0.00411522633744856,0.0411522633744856,0.389937106918239,0.5714285714285714,0.3939393939393939,7.363636363636363,3.3333333333333335,75.0,58.5
Victoria Mboko,8,5,3,0.4178272980501393,0.3909090909090909,0.022284122562674095,0.0584958217270195,0.33333333333333337,0.5597014925373134,0.2909090909090909,6.527272727272727,2.727272727272727,37.5,43.25
Xin Yu Wang,7,2,5,0.3852941176470588,0.3668831168831169,0.041176470588235294,0.052941176470588235,0.2954545454545454,0.55,0.23529411764705882,6.666666666666667,2.5686274509803924,90.0,102.14285714285714
