player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alexandra Eala,11,7,4,0.428763440860215,0.43313069908814594,0.06989247311827956,0.0456989247311828,0.34907597535934287,0.5797665369649805,0.35185185185185186,6.888888888888889,2.9537037037037037,19.0,31.545454545454547
Amanda Anisimova,5,3,2,0.41210374639769454,0.3793103448275862,0.01729106628242075,0.06340057636887608,0.33047210300429186,0.5789473684210527,0.2982456140350877,6.087719298245614,2.508771929824561,44.0,82.4
Anastasia Potapova,4,1,3,0.32367149758454106,0.3163265306122449,0.028985507246376812,0.024154589371980676,0.2627118644067796,0.4044943820224719,0.15625,6.46875,2.09375,59.5,65.75
Ann Li,5,2,3,0.410752688172043,0.3985849056603774,0.04086021505376344,0.047311827956989246,0.36184210526315785,0.5031055900621118,0.2676056338028169,6.549295774647887,2.6901408450704225,73.0,68.6
Anna Kalinskaya,6,3,3,0.39958158995815896,0.3913043478260869,0.07322175732217573,0.060669456066945605,0.29181494661921703,0.5532994923857868,0.27941176470588236,7.029411764705882,2.8088235294117645,46.5,51.666666666666664
Aryna Sabalenka,7,5,2,0.41279069767441856,0.420479302832244,0.07170542635658915,0.03875968992248062,0.3125,0.5566037735849056,0.2727272727272727,6.701298701298701,2.7662337662337664,31.0,53.0
Barbora Krejcikova,9,7,2,0.4439178515007899,0.43661971830985913,0.05055292259083728,0.052132701421800945,0.3891752577319587,0.5306122448979591,0.3870967741935484,6.806451612903226,3.021505376344086,75.0,135.7
Belinda Bencic,4,3,1,0.45483870967741935,0.45255474452554745,0.06129032258064516,0.054838709677419356,0.3717277486910995,0.5882352941176471,0.3829787234042553,6.595744680851064,3.0,29.5,85.5
Clara Tauson,6,2,4,0.3812636165577342,0.3624678663239075,0.0784313725490196,0.07407407407407407,0.2607003891050583,0.5346534653465347,0.208955223880597,6.850746268656716,2.611940298507463,51.5,93.83333333333333
Coco Gauff,7,5,2,0.4273927392739274,0.4084507042253521,0.018151815181518153,0.04455445544554455,0.3643617021276596,0.5304347826086957,0.3111111111111111,6.733333333333333,2.8777777777777778,56.0,63.714285714285715
Daria Snigur,7,4,3,0.4357894736842105,0.42431761786600497,0.07578947368421053,0.07578947368421053,0.30451127819548873,0.6028708133971292,0.34210526315789475,6.25,2.723684210526316,102.0,143.14285714285714
Diana Shnaider,4,1,3,0.42662116040955633,0.4156862745098039,0.06484641638225255,0.06484641638225255,0.2795031055900621,0.6060606060606061,0.30612244897959184,5.979591836734694,2.5510204081632653,51.5,51.0
Diane Parry,4,2,2,0.36363636363636365,0.35443037974683544,0.056818181818181816,0.045454545454545456,0.2962962962962963,0.47058823529411764,0.21428571428571427,6.285714285714286,2.2857142857142856,21.5,40.5
Donna Vekic,7,5,2,0.45386064030131823,0.4439746300211417,0.05084745762711865,0.0583804143126177,0.3739130434782608,0.6021505376344086,0.3815789473684211,6.9868421052631575,3.1710526315789473,73.0,92.42857142857143
Ekaterina Alexandrova,9,5,4,0.4158415841584159,0.41774491682070236,0.06435643564356436,0.0429042904290429,0.3401759530791789,0.5132075471698113,0.3068181818181818,6.886363636363637,2.8636363636363638,26.0,36.111111111111114
Elena Rybakina,6,3,3,0.39250493096646943,0.36203090507726265,0.03747534516765286,0.06903353057199212,0.3052959501557633,0.543010752688172,0.22535211267605634,7.140845070422535,2.8028169014084505,51.0,65.16666666666667
Elina Svitolina,5,3,2,0.49275362318840576,0.4861660079051383,0.036231884057971016,0.04710144927536232,0.3941176470588236,0.6509433962264151,0.46808510638297873,5.872340425531915,2.893617021276596,47.0,51.0
Elise Mertens,11,7,4,0.41807044410413474,0.39518900343642616,0.042879019908116385,0.06584992343032159,0.32180851063829785,0.5487364620938628,0.33653846153846156,6.278846153846154,2.625,37.0,51.09090909090909
Emma Navarro,12,8,4,0.40313111545988256,0.3849509269356598,0.04500978473581213,0.057729941291585124,0.3348765432098766,0.5213903743315508,0.2894736842105263,6.723684210526316,2.710526315789474,66.5,65.0
Iga Swiatek,4,2,2,0.4591194968553459,0.4607508532423208,0.0440251572327044,0.03459119496855346,0.421875,0.5158730158730158,0.4,7.066666666666666,3.2444444444444445,52.5,52.0
Iva Jovic,8,6,2,0.47005444646098005,0.46123260437375746,0.038112522686025406,0.04900181488203267,0.38655462184873945,0.6237113402061856,0.41975308641975306,6.802469135802469,3.197530864197531,35.0,36.75
Janice Tjen,5,1,4,0.363013698630137,0.3493670886075949,0.0502283105022831,0.04794520547945205,0.2987421383647799,0.5333333333333333,0.11666666666666667,7.3,2.65,65.0,91.6
Jaqueline Cristian,3,1,2,0.2777777777777778,0.25531914893617025,0.07407407407407407,0.05555555555555555,0.17582417582417587,0.4084507042253521,0.07142857142857142,5.785714285714286,1.6071428571428572,73.0,70.33333333333333
Jasmine Paolini,6,4,2,0.41709844559585496,0.4137931034482759,0.054404145077720206,0.04404145077720207,0.3319148936170213,0.5496688741721854,0.30158730158730157,6.126984126984127,2.5555555555555554,52.5,76.16666666666667
