player,matches,wins,losses,rpw,rpw_in_play,vs_ace_pct,vs_df_pct,vs_first_win_pct,vs_second_win_pct,break_pct,pts_per_return_game,pts_won_per_return_game,median_opp_rank,mean_opp_rank
Alexandra Eala,36,23,13,0.4564714946070878,0.44673388864533103,0.0573959938366718,0.06394453004622497,0.3799621928166351,0.576808721506442,0.3902439024390244,7.035230352303523,3.2113821138211383,52.0,69.02777777777777
Amanda Anisimova,33,23,10,0.4533789563729683,0.4378585086042065,0.04362703165098375,0.06159110350727117,0.37534246575342467,0.5831435079726651,0.3919308357348703,6.737752161383285,3.0547550432276656,26.0,48.22857142857143
Anastasia Potapova,21,11,10,0.44134802333117307,0.4214992927864215,0.028515878159429683,0.05508749189889825,0.37826086956521743,0.5345104333868379,0.3620689655172414,6.650862068965517,2.935344827586207,59.0,92.66666666666667
Anhelina Kalinina,4,1,3,0.4229508196721311,0.4418604651162791,0.10491803278688525,0.04918032786885246,0.2865497076023392,0.5970149253731343,0.3125,6.354166666666667,2.6875,62.0,60.0
Ann Li,31,15,16,0.4202401372212693,0.40288775034932467,0.030017152658662092,0.049313893653516294,0.35398230088495575,0.5330243337195828,0.30973451327433627,6.87905604719764,2.8908554572271385,79.5,72.73333333333333
Anna Kalinskaya,31,17,14,0.43674418604651166,0.427972760607648,0.05534883720930232,0.05674418604651163,0.3575248281130634,0.5600475624256838,0.35365853658536583,6.554878048780488,2.8628048780487805,37.0,44.29032258064516
Aryna Sabalenka,39,34,5,0.44469190794357827,0.4455114822546973,0.062360801781737196,0.04862657757980698,0.3682579045257285,0.5587419056429233,0.3787878787878788,6.803030303030303,3.025252525252525,20.0,49.69230769230769
Barbora Krejcikova,23,15,8,0.4455922865013774,0.4298993028659953,0.047520661157024795,0.06336088154269973,0.37315130830489196,0.5567190226876091,0.3886255924170616,6.881516587677726,3.066350710900474,61.0,102.08333333333333
Belinda Bencic,34,26,8,0.4505386875612145,0.4451718494271686,0.051420176297747304,0.050930460333006855,0.35569927243330635,0.5962732919254659,0.3924050632911392,6.462025316455696,2.911392405063291,44.5,72.02631578947368
Clara Tauson,31,15,16,0.43166740380362667,0.4153997057381069,0.04113224237063246,0.057054400707651484,0.3546977421704297,0.5506756756756757,0.3323529411764706,6.65,2.8705882352941177,67.0,77.7741935483871
Coco Gauff,45,35,10,0.480013783597519,0.4737609329446064,0.022398345968297727,0.032046864231564436,0.4161627267729522,0.5872576177285318,0.4578313253012048,6.99277108433735,3.3566265060240963,30.5,40.17391304347826
Cristina Bucsa,26,12,14,0.4399332591768632,0.4311303273625695,0.047830923248053395,0.05172413793103448,0.37335834896810505,0.5368852459016393,0.34798534798534797,6.586080586080586,2.8974358974358974,57.0,64.55555555555556
Daria Snigur,11,8,3,0.46957671957671954,0.4701492537313433,0.06084656084656084,0.05291005291005291,0.4,0.5638629283489096,0.415929203539823,6.6902654867256635,3.1415929203539825,78.0,87.0909090909091
Diana Shnaider,35,20,15,0.43393213572854294,0.42228093350946716,0.04231536926147705,0.05109780439121756,0.35627009646302255,0.5610526315789474,0.3422459893048128,6.697860962566845,2.906417112299465,28.0,47.457142857142856
Diane Parry,15,8,7,0.4156862745098039,0.3920086393088553,0.03235294117647059,0.059803921568627454,0.3633587786259542,0.5095890410958904,0.3116883116883117,6.623376623376624,2.7532467532467533,131.0,251.33333333333334
