player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alexandra Eala,10,4,6,0.4,0.5518796992481203,0.568503937007874,6.0,0.009022556390977444,24.0,0.03609022556390978,0.10084033613445378,0.6421052631578947,0.6042154566744731,0.4579831932773109,0.5093457943925234,0.6344086021505376,7.150537634408602,3.204301075268817
Amanda Anisimova,3,2,1,0.6666666666666666,,,,,,,,,,,,,,
Anastasia Potapova,18,14,4,0.7777777777777778,0.5931558935361216,0.601890756302521,51.0,0.04847908745247148,49.0,0.04657794676806084,0.1163895486935867,0.5998098859315589,0.6893819334389857,0.4489311163895487,0.5080645161290323,0.7152317880794702,6.966887417218543,2.834437086092715
Anhelina Kalinina,15,9,6,0.6,0.5315315315315315,0.5556900726392252,13.0,0.01463963963963964,49.0,0.05518018018018018,0.18773946360153257,0.706081081081081,0.5741626794258373,0.42911877394636017,0.5283018867924528,0.582089552238806,6.626865671641791,3.1044776119402986
Ann Li,15,9,6,0.6,0.574447646493756,0.5699263932702419,56.0,0.053794428434197884,34.0,0.03266090297790586,0.08353808353808354,0.6090297790585975,0.6624605678233438,0.43734643734643736,0.4772117962466488,0.6774193548387096,6.716129032258064,2.858064516129032
Anna Kalinskaya,12,8,4,0.6666666666666666,0.5333333333333333,0.56,10.0,0.021505376344086023,30.0,0.06451612903225806,0.16759776536312848,0.6150537634408603,0.6013986013986014,0.4245810055865922,0.5100671140939598,0.6,6.642857142857143,3.1
Aryna Sabalenka,11,8,3,0.7272727272727273,0.6252771618625277,0.6383495145631068,19.0,0.04212860310421286,20.0,0.04434589800443459,0.13157894736842105,0.6629711751662971,0.6755852842809364,0.5263157894736842,0.6060606060606061,0.7777777777777778,6.263888888888889,2.3472222222222223
Barbora Krejcikova,3,1,2,0.3333333333333333,0.5769230769230769,0.6126126126126126,7.0,0.05384615384615385,12.0,0.09230769230769231,0.23529411764705882,0.6076923076923076,0.6582278481012658,0.45098039215686275,0.5897435897435898,0.7058823529411765,7.647058823529412,3.235294117647059
Belinda Bencic,12,8,4,0.6666666666666666,0.5826235093696763,0.5970425138632163,19.0,0.03236797274275979,27.0,0.04599659284497445,0.13989637305699482,0.6712095400340715,0.6573604060913706,0.43005181347150256,0.5,0.6931818181818182,6.670454545454546,2.784090909090909
Clara Tauson,3,0,3,0.0,0.45544554455445546,0.4639175257731959,1.0,0.009900990099009901,3.0,0.0297029702970297,0.09090909090909091,0.6732673267326733,0.45588235294117646,0.45454545454545453,0.5,0.4666666666666667,6.733333333333333,3.6666666666666665
Coco Gauff,14,10,4,0.7142857142857143,0.5773081201334817,0.5936739659367397,31.0,0.034482758620689655,46.0,0.05116796440489433,0.1619718309859155,0.6840934371523916,0.6422764227642277,0.43661971830985913,0.5210084033613446,0.6524822695035462,6.375886524822695,2.6950354609929077
Cristina Bucsa,4,0,4,0.0,0.524,0.5358649789029536,4.0,0.016,9.0,0.036,0.0989010989010989,0.636,0.5911949685534591,0.4065934065934066,0.45121951219512196,0.5384615384615384,6.410256410256411,3.051282051282051
Daria Snigur,4,2,2,0.5,0.4768211920529801,0.5035971223021583,2.0,0.013245033112582781,10.0,0.06622516556291391,0.2,0.6688741721854304,0.5346534653465347,0.36,0.45,0.45454545454545453,6.863636363636363,3.590909090909091
Diana Shnaider,15,10,5,0.6666666666666666,0.5504587155963303,0.5761047463175123,8.0,0.012232415902140673,35.0,0.053516819571865444,0.14583333333333334,0.6330275229357798,0.5990338164251208,0.4666666666666667,0.5463414634146342,0.648936170212766,6.957446808510638,3.127659574468085
Diane Parry,7,4,3,0.5714285714285714,0.5233160621761658,0.5393258426966292,5.0,0.025906735751295335,10.0,0.05181347150259067,0.15384615384615385,0.6632124352331606,0.5390625,0.49230769230769234,0.5818181818181818,0.5517241379310345,6.655172413793103,3.1724137931034484
Donna Vekic,7,4,3,0.5714285714285714,0.5835616438356165,0.6030769230769231,17.0,0.04657534246575343,23.0,0.06301369863013699,0.17293233082706766,0.6356164383561644,0.6939655172413793,0.39097744360902253,0.4727272727272727,0.7142857142857143,6.517857142857143,2.7142857142857144
Ekaterina Alexandrova,6,1,5,0.16666666666666666,0.5382436260623229,0.5529801324503312,23.0,0.06515580736543909,28.0,0.07932011331444759,0.1696969696969697,0.5325779036827195,0.6436170212765957,0.41818181818181815,0.5036496350364964,0.5576923076923077,6.788461538461538,3.1346153846153846
Elena Rybakina,13,10,3,0.7692307692307693,0.6382978723404256,0.6332863187588152,61.0,0.07634543178973717,29.0,0.03629536921151439,0.08950617283950617,0.5944931163954944,0.72,0.5185185185185185,0.5694915254237288,0.8031496062992126,6.291338582677166,2.2755905511811023
Elina Svitolina,15,12,3,0.8,0.5994729907773386,0.6080114449213162,30.0,0.039525691699604744,30.0,0.039525691699604744,0.10752688172043011,0.6324110671936759,0.6708333333333333,0.4767025089605735,0.5341365461847389,0.7685185185185185,7.027777777777778,2.814814814814815
Elise Mertens,9,5,4,0.5555555555555556,0.6036217303822937,0.6131221719457014,29.0,0.05835010060362173,26.0,0.052313883299798795,0.13612565445026178,0.6156941649899397,0.6764705882352942,0.4869109947643979,0.5636363636363636,0.7307692307692307,6.371794871794871,2.5256410256410255
Emma Navarro,8,6,2,0.75,0.5620915032679739,0.5845070422535211,9.0,0.0196078431372549,24.0,0.05228758169934641,0.11320754716981132,0.5381263616557734,0.6356275303643725,0.47641509433962265,0.5372340425531915,0.6417910447761194,6.850746268656716,3.0
Hailey Baptiste,12,7,5,0.5833333333333334,0.6104783599088838,0.6135770234986945,66.0,0.07517084282460136,46.0,0.05239179954441914,0.12432432432432433,0.5785876993166287,0.6830708661417323,0.5108108108108108,0.5833333333333334,0.746031746031746,6.968253968253968,2.7142857142857144
Iga Swiatek,13,9,4,0.6923076923076923,0.6230366492146597,0.6384180790960452,18.0,0.031413612565445025,24.0,0.041884816753926704,0.12060301507537688,0.6527050610820244,0.679144385026738,0.5175879396984925,0.5885714285714285,0.7526881720430108,6.161290322580645,2.3225806451612905
Iva Jovic,13,8,5,0.6153846153846154,0.5714285714285714,0.5782122905027933,26.0,0.033766233766233764,28.0,0.03636363636363636,0.09120521172638436,0.6012987012987013,0.6436285097192225,0.46254071661237783,0.5089605734767025,0.6666666666666666,6.416666666666667,2.75
Janice Tjen,7,2,5,0.2857142857142857,0.5318559556786704,0.5440729483282675,13.0,0.036011080332409975,19.0,0.05263157894736842,0.1417910447761194,0.628808864265928,0.6211453744493393,0.3805970149253731,0.4434782608695652,0.5636363636363636,6.5636363636363635,3.0727272727272728
Jaqueline Cristian,11,5,6,0.45454545454545453,0.578215527230591,0.586848635235732,26.0,0.030127462340672075,31.0,0.03592120509849363,0.096875,0.6292004634994206,0.6261510128913443,0.496875,0.5501730103806228,0.6875,6.7421875,2.84375
Jasmine Paolini,7,3,4,0.42857142857142855,0.5586854460093896,0.5700245700245701,6.0,0.014084507042253521,13.0,0.03051643192488263,0.08441558441558442,0.6384976525821596,0.6323529411764706,0.42857142857142855,0.46808510638297873,0.6451612903225806,6.870967741935484,3.032258064516129
Jelena Ostapenko,12,7,5,0.5833333333333334,0.5555555555555556,0.5906148867313916,40.0,0.05486968449931413,71.0,0.09739368998628258,0.23588039867109634,0.5871056241426612,0.6448598130841121,0.42857142857142855,0.5608695652173913,0.646551724137931,6.2844827586206895,2.793103448275862
Jessica Pegula,12,9,3,0.75,0.6219839142091153,0.6214285714285714,29.0,0.0388739946380697,17.0,0.022788203753351208,0.06319702602230483,0.6394101876675603,0.689727463312369,0.5018587360594795,0.5357142857142857,0.7631578947368421,6.543859649122807,2.473684210526316
Karolina Muchova,9,6,3,0.6666666666666666,0.57981220657277,0.5664160401002506,21.0,0.04929577464788732,6.0,0.014084507042253521,0.041379310344827586,0.6596244131455399,0.6334519572953736,0.47586206896551725,0.49640287769784175,0.696969696969697,6.454545454545454,2.712121212121212
