player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alexandra Eala,11,7,4,0.6363636363636364,0.5844504021447721,0.5815295815295816,33.0,0.04423592493297587,20.0,0.02680965147453083,0.06472491909385113,0.5857908847184986,0.6567505720823799,0.48220064724919093,0.5155709342560554,0.7207207207207207,6.7207207207207205,2.7927927927927927
Amanda Anisimova,5,3,2,0.6,0.6278481012658228,0.6417910447761194,33.0,0.08354430379746836,27.0,0.06835443037974684,0.20610687022900764,0.6683544303797468,0.696969696969697,0.48854961832061067,0.6153846153846154,0.7758620689655172,6.810344827586207,2.5344827586206895
Anastasia Potapova,4,1,3,0.25,0.5281385281385281,0.5539906103286385,4.0,0.017316017316017316,14.0,0.06060606060606061,0.11864406779661017,0.48917748917748916,0.6283185840707964,0.4322033898305085,0.49038461538461536,0.6060606060606061,7.0,3.303030303030303
Ann Li,5,2,3,0.4,0.5906183368869936,0.568922305764411,50.0,0.10660980810234541,20.0,0.042643923240938165,0.1092896174863388,0.6098081023454158,0.7027972027972028,0.41530054644808745,0.4662576687116564,0.7,6.7,2.742857142857143
Anna Kalinskaya,6,3,3,0.5,0.6092233009708737,0.625,26.0,0.06310679611650485,26.0,0.06310679611650485,0.15757575757575756,0.5995145631067961,0.6923076923076923,0.48484848484848486,0.5755395683453237,0.6818181818181818,6.242424242424242,2.4393939393939394
Aryna Sabalenka,7,5,2,0.7142857142857143,0.6279527559055118,0.6187214611872146,48.0,0.09448818897637795,22.0,0.04330708661417323,0.11702127659574468,0.6299212598425197,0.709375,0.48936170212765956,0.5542168674698795,0.7662337662337663,6.597402597402597,2.4545454545454546
Barbora Krejcikova,9,7,2,0.7777777777777778,0.618978102189781,0.6229508196721312,44.0,0.06423357664233577,31.0,0.04525547445255475,0.11969111969111969,0.621897810218978,0.704225352112676,0.47876447876447875,0.543859649122807,0.7878787878787878,6.91919191919192,2.6363636363636362
Belinda Bencic,4,3,1,0.75,0.6303630363036303,0.6487455197132617,10.0,0.033003300330033,14.0,0.0462046204620462,0.1308411214953271,0.6468646864686468,0.6938775510204082,0.514018691588785,0.5913978494623656,0.7659574468085106,6.446808510638298,2.382978723404255
Clara Tauson,6,2,4,0.3333333333333333,0.6040609137055838,0.6,37.0,0.09390862944162437,22.0,0.05583756345177665,0.13580246913580246,0.5888324873096447,0.7370689655172413,0.41358024691358025,0.4785714285714286,0.7384615384615385,6.061538461538461,2.4
Coco Gauff,7,5,2,0.7142857142857143,0.6312178387650086,0.6495049504950495,40.0,0.0686106346483705,38.0,0.06518010291595197,0.15637860082304528,0.5831903945111492,0.7323529411764705,0.4897119341563786,0.5804878048780487,0.8043478260869565,6.336956521739131,2.3369565217391304
