player,matches,wins,losses,match_win_pct,spw,spw_in_play,aces,ace_pct,dfs,df_pct,df_pct_2nd,first_in_pct,first_win_pct,second_win_pct,second_win_pct_in_play,hold_pct,pts_per_service_game,pts_lost_per_service_game
Alexandra Eala,36,23,13,0.6388888888888888,0.5738255033557047,0.5950155763239875,31.0,0.013003355704697987,106.0,0.044463087248322146,0.125,0.6442953020134228,0.626953125,0.47759433962264153,0.545822102425876,0.6604774535809018,6.323607427055703,2.6949602122015914
Amanda Anisimova,33,23,10,0.696969696969697,0.5973639455782312,0.611975483262612,107.0,0.04549319727891157,124.0,0.05272108843537415,0.14605418138987045,0.639030612244898,0.6626746506986028,0.4817432273262662,0.5641379310344827,0.7325905292479109,6.5515320334261835,2.637883008356546
Anastasia Potapova,21,11,10,0.5238095238095238,0.5352286773794809,0.5618591934381408,44.0,0.027194066749072928,111.0,0.06860321384425216,0.15524475524475526,0.5580964153275649,0.6223698781838317,0.4251748251748252,0.5033112582781457,0.5982905982905983,6.914529914529915,3.213675213675214
Ann Li,34,17,17,0.5,0.5954784012918853,0.588604755495738,163.0,0.06580540976988292,85.0,0.03431570448122729,0.08034026465028356,0.572870407751312,0.6906272022551092,0.4678638941398866,0.5087358684480987,0.7127371273712737,6.712737127371274,2.7154471544715446
Anna Kalinskaya,31,17,14,0.5483870967741935,0.5704057279236276,0.5850234009360374,70.0,0.03341288782816229,102.0,0.0486873508353222,0.13144329896907217,0.6295942720763723,0.6322971948445792,0.4652061855670103,0.5356083086053413,0.6594427244582043,6.486068111455109,2.7863777089783284
Aryna Sabalenka,39,34,5,0.8717948717948718,0.6467907330041778,0.6382705479452054,212.0,0.08051652107861755,85.0,0.032282567413596655,0.08900523560209424,0.6372958602354728,0.7127532777115614,0.5308900523560209,0.5827586206896552,0.8329238329238329,6.469287469287469,2.285012285012285
Barbora Krejcikova,23,15,8,0.6521739130434783,0.6081180811808118,0.6307821698906644,74.0,0.05461254612546126,92.0,0.06789667896678966,0.17358490566037735,0.6088560885608856,0.6921212121212121,0.47735849056603774,0.5776255707762558,0.75,6.514423076923077,2.5528846153846154
Belinda Bencic,34,26,8,0.7647058823529411,0.615678776290631,0.6301652892561983,68.0,0.032504780114722756,88.0,0.04206500956022945,0.11473272490221642,0.6333652007648184,0.6784905660377358,0.5071707953063885,0.572901325478645,0.7724358974358975,6.705128205128205,2.576923076923077
Clara Tauson,34,17,17,0.5,0.5958132045088567,0.5904180366369187,223.0,0.08977455716586151,132.0,0.05314009661835749,0.13836477987421383,0.6159420289855072,0.692156862745098,0.4412997903563941,0.5121654501216545,0.7248677248677249,6.571428571428571,2.6560846560846563
Coco Gauff,45,35,10,0.7777777777777778,0.5844865258557902,0.6287526427061311,118.0,0.04297159504734159,263.0,0.09577567370721049,0.2588582677165354,0.6300072833211945,0.6820809248554913,0.4183070866141732,0.5644090305444888,0.6886792452830188,6.476415094339623,2.6910377358490565
Cristina Bucsa,28,13,15,0.4642857142857143,0.5520291363163371,0.571191135734072,30.0,0.015608740894901144,87.0,0.04526534859521332,0.12682215743440234,0.6430801248699272,0.6286407766990292,0.4139941690962099,0.4741235392320534,0.6306620209059234,6.696864111498257,3.0
Daria Snigur,11,8,3,0.7272727272727273,0.5881561238223418,0.6020260492040521,21.0,0.02826379542395693,31.0,0.04172274562584118,0.13901345291479822,0.6998654104979811,0.6480769230769231,0.4484304932735426,0.5208333333333334,0.7297297297297297,6.693693693693693,2.7567567567567566
Diana Shnaider,35,20,15,0.5714285714285714,0.5926524020993137,0.6148501953973079,52.0,0.020993136859103756,122.0,0.04925312878482035,0.14420803782505912,0.6584578118691966,0.6615573267933783,0.4598108747044917,0.537292817679558,0.7165354330708661,6.501312335958005,2.648293963254593
Diane Parry,20,13,7,0.65,0.599023709902371,0.6010886469673405,86.0,0.0599721059972106,62.0,0.043235704323570434,0.1,0.5676429567642957,0.7039312039312039,0.4612903225806452,0.5125448028673835,0.7397260273972602,6.5479452054794525,2.625570776255708
Donna Vekic,13,3,10,0.23076923076923078,0.5368421052631579,0.5573366214549939,58.0,0.061052631578947365,81.0,0.08526315789473685,0.1832579185520362,0.5347368421052632,0.6535433070866141,0.40271493212669685,0.4930747922437673,0.6137931034482759,6.551724137931035,3.0344827586206895
Ekaterina Alexandrova,36,18,18,0.5,0.5899230230930721,0.6055488540410132,180.0,0.06298110566829951,191.0,0.06682995101469559,0.17114695340501793,0.6095171448565431,0.6745120551090701,0.4578853046594982,0.5524324324324325,0.7177033492822966,6.837320574162679,2.8038277511961724
Elena Rybakina,53,44,9,0.8301886792452831,0.64689880304679,0.6324324324324324,389.0,0.1058215451577802,142.0,0.03862894450489663,0.09085092770313499,0.5748095756256801,0.7415996213913867,0.5188739603326935,0.5707248416608023,0.8295652173913044,6.39304347826087,2.257391304347826
Elina Svitolina,35,27,8,0.7714285714285715,0.591044776119403,0.6014218009478673,117.0,0.04989339019189765,118.0,0.05031982942430704,0.12215320910973085,0.5880597014925373,0.6715010877447426,0.47619047619047616,0.5424528301886793,0.7241379310344828,6.738505747126437,2.7557471264367814
Elise Mertens,29,17,12,0.5862068965517241,0.5932094811018578,0.6086631814787155,111.0,0.07110826393337603,111.0,0.07110826393337603,0.16395864106351551,0.5663036515054453,0.6968325791855203,0.45790251107828656,0.5477031802120141,0.7131147540983607,6.397540983606557,2.6024590163934427
