date,tournament,surface,ace_pct,surface_speed
2010-01-03,Brisbane,Hard,0.125,1.11
2010-01-04,Chennai,Hard,0.067,0.81
2010-01-04,Doha,Hard,0.09300000000000001,0.92
2010-01-11,Sydney,Hard,0.12,1.07
2010-01-11,Auckland,Hard,0.102,0.97
2010-01-18,Australian Open,Hard,0.099,1.0
2010-02-01,Santiago,Clay,0.067,0.92
2010-02-01,Johannesburg,Hard,0.12300000000000001,1.24
2010-02-01,Zagreb,Hard,0.12300000000000001,1.22
2010-02-08,Rotterdam,Hard,0.09699999999999999,0.95
2010-02-08,Costa Do Sauipe,Clay,0.071,1.08
2010-02-08,San Jose,Hard,0.139,1.22
2010-02-15,Buenos Aires,Clay,0.044000000000000004,0.69
2010-02-15,Memphis,Hard,0.158,1.1
2010-02-15,Marseille,Hard,0.149,1.25
2010-02-22,Delray Beach,Hard,0.13699999999999998,1.09
2010-02-22,Acapulco,Clay,0.065,0.79
2010-02-22,Dubai,Hard,0.10800000000000001,1.22
2010-03-11,Indian Wells Masters,Hard,0.105,0.97
2010-03-24,Miami Masters,Hard,0.099,0.94
2010-04-05,Casablanca,Clay,0.057,0.74
2010-04-05,Houston,Clay,0.067,0.73
2010-04-11,Monte Carlo Masters,Clay,0.054000000000000006,0.62
2010-04-19,Barcelona,Clay,0.07200000000000001,0.72
2010-04-25,Rome Masters,Clay,0.077,0.78
2010-05-02,Munich,Clay,0.07400000000000001,0.76
2010-05-03,Estoril,Clay,0.035,0.51
2010-05-03,Belgrade,Clay,0.09300000000000001,0.69
2010-05-09,Madrid Masters,Clay,0.083,0.75
2010-05-16,Nice,Clay,0.066,0.88
2010-05-16,Dusseldorf,Clay,0.075,0.64
2010-05-24,Roland Garros,Clay,0.083,0.82
2010-06-07,Queen's Club,Grass,0.133,1.25
2010-06-07,Halle,Grass,0.12,1.22
2010-06-13,s Hertogenbosch,Grass,0.10300000000000001,1.09
2010-06-13,Eastbourne,Grass,0.094,1.14
2010-06-21,Wimbledon,Grass,0.131,1.36
2010-07-05,Newport,Grass,0.14400000000000002,1.42
2010-07-12,Stuttgart,Clay,0.077,0.94
2010-07-12,Bastad,Clay,0.065,0.82
2010-07-19,Atlanta,Hard,0.151,1.1
2010-07-19,Hamburg,Clay,0.069,0.93
2010-07-25,Gstaad,Clay,0.087,0.8
2010-07-26,Umag,Clay,0.033,0.5
2010-07-26,Los Angeles,Hard,0.09,0.82
2010-08-01,Washington,Hard,0.1,0.97
2010-08-09,Canada Masters,Hard,0.102,1.05
2010-08-15,Cincinnati Masters,Hard,0.122,1.15
2010-08-22,New Haven,Hard,0.081,0.93
2010-08-30,US Open,Hard,0.105,1.11
2010-09-20,Bucharest,Clay,0.034,0.55
2010-09-20,Metz,Hard,0.11599999999999999,1.25
2010-09-27,Kuala Lumpur,Hard,0.085,0.99
2010-09-27,Bangkok,Hard,0.11199999999999999,1.33
2010-10-04,Beijing,Hard,0.114,1.07
2010-10-04,Tokyo,Hard,0.13,1.38
2010-10-10,Shanghai Masters,Hard,0.09300000000000001,0.99
2010-10-18,Stockholm,Hard,0.099,1.05
2010-10-18,Moscow,Hard,0.113,1.29
2010-10-25,Vienna,Hard,0.10300000000000001,1.28
2010-10-25,Montpellier,Hard,0.127,1.36
2010-10-25,St. Petersburg,Hard,0.079,1.0
2010-10-31,Valencia,Hard,0.077,0.92
2010-11-01,Basel,Hard,0.11599999999999999,1.14
2010-11-07,Paris Masters,Hard,0.145,1.44
2010-11-21,Tour Finals,Hard,0.124,1.15
2011-01-02,Brisbane,Hard,0.132,1.21
2011-01-03,Doha,Hard,0.126,1.54
2011-01-03,Chennai,Hard,0.08,0.91
2011-01-10,Auckland,Hard,0.081,1.07
2011-01-10,Sydney,Hard,0.098,1.11
2011-01-17,Australian Open,Hard,0.09699999999999999,1.14
2011-01-31,Johannesburg,Hard,0.153,1.25
2011-01-31,Zagreb,Hard,0.122,1.24
2011-01-31,Santiago,Clay,0.049,1.04
2011-02-07,Costa Do Sauipe,Clay,0.062,0.98
2011-02-07,Rotterdam,Hard,0.14,1.26
2011-02-07,San Jose,Hard,0.154,1.32
2011-02-14,Memphis,Hard,0.157,1.31
2011-02-14,Buenos Aires,Clay,0.045,0.84
2011-02-14,Marseille,Hard,0.135,1.35
2011-02-21,Acapulco,Clay,0.057,0.78
2011-02-21,Delray Beach,Hard,0.10800000000000001,1.17
2011-02-21,Dubai,Hard,0.096,1.09
2011-03-10,Indian Wells Masters,Hard,0.08800000000000001,0.94
2011-03-23,Miami Masters,Hard,0.091,1.04
2011-04-04,Casablanca,Clay,0.047,0.77
2011-04-04,Houston,Clay,0.063,0.66
2011-04-10,Monte Carlo Masters,Clay,0.051,0.61
2011-04-18,Barcelona,Clay,0.049,0.63
2011-04-24,Munich,Clay,0.065,0.86
2011-04-25,Belgrade,Clay,0.048,0.65
2011-04-25,Estoril,Clay,0.055999999999999994,0.67
2011-05-01,Madrid Masters,Clay,0.081,0.87
2011-05-08,Rome Masters,Clay,0.059000000000000004,0.67
2011-05-15,Dusseldorf,Clay,0.039,0.47
2011-05-15,Nice,Clay,0.07,0.78
2011-05-22,Roland Garros,Clay,0.068,0.83
2011-06-06,Halle,Grass,0.125,1.44
2011-06-06,Queen's Club,Grass,0.124,1.26
2011-06-12,s Hertogenbosch,Grass,0.083,1.07
2011-06-12,Eastbourne,Grass,0.078,1.05
2011-06-20,Wimbledon,Grass,0.11800000000000001,1.26
2011-07-04,Newport,Grass,0.13699999999999998,1.07
2011-07-11,Bastad,Clay,0.066,0.63
2011-07-11,Stuttgart,Clay,0.067,1.0
2011-07-18,Hamburg,Clay,0.063,0.81
2011-07-18,Atlanta,Hard,0.113,1.0
2011-07-25,Los Angeles,Hard,0.086,0.78
2011-07-25,Gstaad,Clay,0.084,1.01
2011-07-25,Umag,Clay,0.05,0.61
2011-07-31,Kitzbuhel,Clay,0.069,0.93
2011-07-31,Washington,Hard,0.099,1.05
2011-08-08,Canada Masters,Hard,0.106,1.01
2011-08-14,Cincinnati Masters,Hard,0.114,1.11
2011-08-21,Winston-Salem,Hard,0.09699999999999999,1.19
2011-08-29,US Open,Hard,0.085,0.95
2011-09-19,Bucharest,Clay,0.04,0.73
2011-09-19,Metz,Hard,0.11800000000000001,1.06
2011-09-26,Bangkok,Hard,0.094,1.28
2011-09-26,Kuala Lumpur,Hard,0.075,1.04
2011-10-03,Tokyo,Hard,0.08900000000000001,1.1
2011-10-03,Beijing,Hard,0.113,0.99
2011-10-09,Shanghai Masters,Hard,0.094,1.07
2011-10-17,Moscow,Hard,0.11,1.19
2011-10-17,Stockholm,Hard,0.09300000000000001,0.98
2011-10-24,St. Petersburg,Hard,0.068,0.75
2011-10-24,Vienna,Hard,0.141,1.24
2011-10-31,Valencia,Hard,0.081,1.13
2011-10-31,Basel,Hard,0.09,1.15
2011-11-07,Paris Masters,Hard,0.102,1.0
2011-11-20,Tour Finals,Hard,0.09300000000000001,1.0
2012-01-01,Brisbane,Hard,0.107,1.2
2012-01-02,Doha,Hard,0.076,0.96
2012-01-02,Chennai,Hard,0.11699999999999999,1.26
