tournament,tournament_url,player1,player1_slug,odds1,odds2,match_id,sets_won1,player2,player2_slug,sets_won2,score,date
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Ward R.,ward-fb35f,,,3307525,,Fannin L.,fannin-ab62c,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Gale L.,gale-bf9f7,2.38,1.45,3307499,,Khan L.,khan-a7c2a,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Baker C.,baker-a821a,,,3307527,,Savic S.,savic-898c2,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Smith K.,smith-fd3f7,,,3307529,,Leon I.,leon-ee045,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Burke T.,burke-1bb6b,,,3307531,,Stergiopoulos C.,stergiopoulos,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Dougherty P.,dougherty-c778e,,,3306229,,Niewiadomska P.,niewiadomska,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Kholdarova S.,kholdarova,11.5,1.02,3306751,,Hrastar A.,hrastar,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Rustemova Z.,rustemova,1.46,2.4,3306749,,Peresypkina L.,peresypkina,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Daughters P.,daughters,,,3306255,,Scudiero C.,scudiero,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Stone H.,stone-a091d,,,3306233,,Cisse-Ignatiev S.,cisse-ignatiev,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Gray A.,gray-b5d9a,,,3306215,,Clayton S.,clayton-740aa,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Anson Sanchez C.,anson-sanchez,1.72,1.94,3307621,,Niewiadomska P.,niewiadomska,,,2026-08-29
UTR Pro Match Series,https://www.tennisexplorer.com/utr-pro-match-series/2026/wta-women/,Duong A.,duong-2d29d,,,3307623,,Marakhtanova P.,marakhtanova,,,2026-08-29
UTR Pro Tennis Series,https://www.tennisexplorer.com/utr-pro-tennis-series/2026/wta-women/,Lopez E.,lopez-b45cd,,,3307519,,Katz A.,katz-af458,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Horvit M.,horvit,,,3306107,,Ricaud C.,ricaud,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Jaeger E.,jaeger-9ffb2,,,3306111,,Adeniran K.,adeniran,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Van Poppel E.,van-poppel,1.63,2.06,3306121,,Rook O.,rook-c4bf1,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Gordon A.,gordon-95c75,10.17,1.02,3307015,,Djakouris C.,djakouris-d0c41,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Tripathi E.,tripathi-ce173,8.33,1.03,3306993,,Jones H.,jones-44ce4,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Benoit J.,benoit-f9422,,,3306137,,Bielen S.,bielen,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Kemp H.,kemp-88269,,,3306161,,Kalinin A.,kalinin-8d95f,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Ciric A.,ciric-6368a,1.03,8.67,3307523,,Castellanos M.,castellanos-44125,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Gordon A.,gordon-95c75,3.55,1.24,3307609,,Bushuev P.,bushuev,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,McEwan W.,mcewan,1.06,7.5,3306155,,Chetewy Ungar B.,chetewy-ungar,,,2026-08-29
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Di Giulio P.,di-giulio-691ee,,,3307645,,Duong D.,duong-c13c0,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/atp-men/,Moore E.,moore-8370a,,,3306091,,McKay K.,mckay-baa2d,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/atp-men/,George R.,george-d49f7,7.5,1.03,3307505,,Fryer C.,fryer-6d838,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/atp-men/,McLennaghan W.,mclennaghan,,,3306095,,McElnea H.,mcelnea,,,2026-08-29
Monterrey,https://www.tennisexplorer.com/monterrey/2026/wta-women/,Parry D.,parry-d5e54,2.35,1.58,3307607,2.0,Li A.,li-f8666,0.0,7-4,2026-08-29
Monterrey,https://www.tennisexplorer.com/monterrey/2026/wta-women/,Mertens E.,mertens-f8826,1.6,2.31,3307641,2.0,Bartunkova N.,bartunkova-db92f,1.0,1-6 6-4 6-2,2026-08-29
Philadelphia WTA,https://www.tennisexplorer.com/philadelphia-wta/2026/wta-women/,Volynets K.,volynets,2.48,1.51,3307925,,Valentova T.,valentova,,,2026-08-29
Bytom ITF,https://www.tennisexplorer.com/bytom-itf/2026/wta-women/,Hodzic M.,hodzic-4835b,2.99,1.3,3307731,,Palicova B.,palicova,,,2026-08-29
Bytom ITF,https://www.tennisexplorer.com/bytom-itf/2026/wta-women/,Zoldakova D.,zoldakova,1.45,2.5,3307747,,Mikulskyte J.,mikulskyte,,,2026-08-29
Kursumlijska Banja 16 ITF,https://www.tennisexplorer.com/kursumlijska-banja-16-itf/2026/wta-women/,De Stefano S.,de-stefano,1.35,2.99,3307745,,Golovina M.,golovina,,,2026-08-29
Kursumlijska Banja 16 ITF,https://www.tennisexplorer.com/kursumlijska-banja-16-itf/2026/wta-women/,Dencheva R.,dencheva,1.11,5.68,3307749,,Stankovic A.,stankovic-c7d3f,,,2026-08-29
Oldenzaal ITF,https://www.tennisexplorer.com/oldenzaal-itf/2026/wta-women/,Ebeling Koning L.,ebeling-koning,2.39,1.52,3307715,,Schunk N.,schunk,,,2026-08-29
Oldenzaal ITF,https://www.tennisexplorer.com/oldenzaal-itf/2026/wta-women/,Pace F.,pace-1c15d,3.12,1.3,3307695,,Steur J.,steur-8a849,,,2026-08-29
Barueri ITF,https://www.tennisexplorer.com/barueri-itf/2026/wta-women/,Mi L.,mi,2.3,1.54,3307823,,Sanchez A.,sanchez-e4e94,,,2026-08-29
Barueri ITF,https://www.tennisexplorer.com/barueri-itf/2026/wta-women/,Leme Da Silva N.,leme-da-silva,2.32,1.39,3307911,,Brace C.,brace,,,2026-08-29
Trieste ITF,https://www.tennisexplorer.com/trieste-itf/2026/wta-women/,Ce G.,ce,1.84,1.85,3307753,,Lovric P.,lovric-39161,,,2026-08-29
Verbier 2 ITF,https://www.tennisexplorer.com/verbier-2-itf/2026/wta-women/,Lene E.,lene,1.55,2.27,3307719,,Cvetkovic A.,cvetkovic-da1f9,,,2026-08-29
Verbier 2 ITF,https://www.tennisexplorer.com/verbier-2-itf/2026/wta-women/,Ryser V.,ryser,1.62,2.17,3307691,,Okutoyi A.,okutoyi,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Bosman P.,bosman-ae289,,,3307927,,Ricaud C.,ricaud,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Hernandez Miranda J.,hernandez-miranda,1.08,5.75,3307929,,Rook O.,rook-c4bf1,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Romanova L.,romanova-476f1,,,3307825,,Johnstone S.,johnstone-5b749,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Adeniran K.,adeniran,,,3307931,,Sharratt Blanksby L.,sharratt-blanksby,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Hurrion S.,hurrion-d7fa8,6.0,1.07,3307791,,Ngounoue M.,ngounoue,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Horvit M.,horvit,1.15,4.43,3307793,,Korhonen C.,korhonen,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Jaeger E.,jaeger-9ffb2,1.36,2.7,3307795,,Pringle H.,pringle,,,2026-08-29
UTR Pro Tennis Series 5,https://www.tennisexplorer.com/utr-pro-tennis-series-5/2026/wta-women/,Savic L.,savic-234d1,,,3307933,,Franchi F.,franchi,,,2026-08-29
